[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),label
8.19,-0.39,3.01,3.2,6.78,3.28,-0.83,9.59,38.06,13.52,9.58,7.44,8.55,0.0,6420.2,0.55,0.62,1.93,4.08,5.31,14.67,24.89,89.51,68.69,0.01,0.0,0.68,0.77,0.95,799.53,644.18,117.95,11.0,62.61,2129.35,31.57,71.56,90.09,36118.08,18.39,105.99,361.66,33.91,43.24,56.76,39.86,3.09,28.32,0
1.52,44.43,21.97,13.75,-32.93,1.51,0.0,20.44,4.68,-18.41,-4.5,-17.78,-36.03,-589.0,3179.49,0.97,1.96,1.56,20.4,4.08,6.72,54.32,17.89,89.52,0.02,0.06,1.31,2.55,2.91,95.67,82.7,11.07,168.63,-1.62,1304.15,172.27,35.87,37.23,12105.95,11.97,26.5,53.45,13.19,147.91,-47.91,-139.56,2.33,-2.38,0
-4.08,-1.42,1.66,-0.93,9.03,-1.86,-16.14,-9.88,8.49,2.86,7.29,4.12,9.03,1456.0,36483.08,1.44,3.16,5.38,6.75,3.07,20.12,18.14,54.07,119.02,0.01,0.0,1.18,1.97,2.77,155.87,112.42,14.47,109.4,26.12,3361.91,56.81,72.87,47.75,21474.85,13.87,62.37,1046.6,9.59,41.44,58.56,29.83,5.89,3.29,0
75.57,-7.85,-0.09,-2.6,-6.24,-4.77,0.0,2.7,5.46,0.36,6.14,1.4,1.06,21.0,36483.08,1.79,4.67,6.59,36.35,16.84,25.27,14.44,10.04,21.68,0.06,0.04,2.03,3.74,5.56,138.98,110.0,27.06,138.59,14.72,376.45,113.38,52.48,41.91,17723.39,4.51,33.12,3883.54,1.15,0.0,0.0,31.38,25.92,3.73,0
-18.96,2.76,13.61,10.56,0.98,3.0,-92.58,0.0,11.16,1.9,1.91,0.87,1.4,0.0,4040.09,0.46,0.58,0.62,63.57,18.78,37.36,9.77,5.74,19.44,0.06,0.02,1.09,1.71,1.75,176.23,171.51,97.05,26.05,11.57,1389.86,92.33,26.76,79.33,35214.14,21.97,36.69,73.23,48.15,47.82,52.18,3.95,0.73,4.78,0
15.11,1.79,-6.99,10.19,-7.93,21.38,-53.31,14.37,6.31,0.62,3.85,0.99,2.28,136.0,21681.88,1.6,3.68,4.41,9.44,3.59,12.77,28.58,38.65,101.7,0.01,0.67,1.34,2.5,3.41,111.81,82.96,1.82,151.88,7.05,1129.97,83.87,66.7,39.7,10112.66,7.11,56.92,627.72,4.66,46.62,53.38,13.29,11.82,1.35,0
-24.76,-0.71,-3.71,-2.34,4.44,-1.81,-30.49,43.6,53.46,13.85,17.26,7.97,10.47,1198.0,8673.95,0.58,0.76,2.09,15.4,6.39,11.9,30.67,23.71,57.13,0.02,0.1,0.6,0.79,0.84,366.52,344.01,117.74,27.7,52.8,2327.09,34.97,72.61,78.31,19700.87,25.68,134.85,0.0,44.1,62.85,37.15,31.4,3.05,166.01,0
1.56,-1.3,-1.15,3.76,11.21,6.43,-18.79,38.52,26.33,10.63,13.47,10.07,11.86,1350.0,12700.27,0.95,1.12,2.76,5.71,3.64,16.43,22.22,63.94,100.19,0.01,0.0,1.22,1.44,1.93,653.3,467.19,45.06,13.89,56.27,2389.16,38.23,66.44,87.8,37575.21,21.45,85.61,4371.35,23.06,42.04,57.96,46.08,3.67,553.79,0
75.57,-38.18,3.43,65.71,16.95,100.82,0.0,-10.88,26.4,5.8,4.77,4.54,6.66,62.0,1064.78,0.78,1.15,1.38,36.55,6.0,25.81,14.14,9.99,60.82,0.02,0.06,1.11,1.8,1.9,133.78,129.76,92.27,69.79,13.6,200.06,78.34,53.86,58.9,4342.95,9.13,548.98,0.0,14.57,14.71,85.29,39.83,28.8,0.93,0
-17.16,-5.21,6.07,-4.86,-0.24,-9.58,0.0,-19.27,23.68,-5.68,5.42,-3.92,-5.11,-313.0,4656.26,0.69,0.9,2.17,7.45,5.84,10.9,33.49,49.03,62.49,0.01,0.42,0.8,1.01,1.17,312.21,272.23,31.83,27.29,45.1,1009.43,42.83,66.35,78.56,2273.01,2.72,42.15,187.21,3.84,184.4,-84.4,-147.8,10.68,4.69,0
9.2,-1.6,10.28,-0.86,0.59,-13.27,-66.04,0.0,42.79,4.12,3.6,2.64,2.99,323.0,7149.96,0.64,0.72,1.09,7.84,11.34,44.23,8.25,46.55,32.19,0.01,0.0,1.29,1.55,1.93,500.27,401.4,288.17,11.8,33.11,1942.69,65.54,41.38,89.44,33279.55,16.71,40.35,132.12,26.06,58.96,41.04,15.82,1.51,167.22,0
-35.86,5.15,-3.64,16.08,1.14,18.6,-48.63,123.63,23.24,8.35,6.49,5.1,9.11,0.0,3556.4,0.61,1.1,5.93,4.11,6.67,1.59,81.54,88.78,54.72,0.0,0.11,0.46,0.68,0.82,191.12,148.4,37.75,92.93,43.19,653.51,18.14,88.77,51.83,12533.19,12.39,284.66,22492.75,21.8,48.2,51.8,38.31,13.38,34.83,0
-9.62,11.37,-11.62,-10.25,-25.55,-8.26,86.17,2.61,14.9,-38.81,-0.53,-18.9,-41.43,0.0,1003.0,0.49,1.08,0.83,8.45,2.7,5.96,61.27,43.19,135.34,0.01,0.19,0.51,1.18,1.37,72.22,61.54,1.9,147.72,-16.05,158.44,144.37,41.72,40.37,-3309.92,-8.72,-18.51,-165.03,-16.93,0.0,0.0,0.0,1.15,-0.32,0
8.73,-1.38,9.32,12.58,9.0,14.77,414.14,-7.81,64.89,16.03,4.88,7.85,9.72,381.0,2240.79,0.49,0.61,1.24,6.49,2.34,11.99,30.44,56.2,155.93,0.01,0.0,0.72,0.81,0.93,690.35,613.05,288.17,25.71,52.15,771.22,49.06,60.98,79.55,5182.58,22.42,192.21,72527.6,48.49,54.95,45.05,33.06,3.94,35.81,0
8.23,-44.11,-10.92,11.43,11.64,58.21,31.95,16.38,32.79,18.8,5.45,7.53,10.04,1009.0,6450.8,0.4,0.59,0.66,5.9,9.85,86.45,3.95,61.92,37.07,0.01,0.0,0.65,1.02,1.23,162.31,137.78,57.42,44.69,17.62,2103.48,78.27,45.9,69.11,30055.69,19.65,111.01,4746.54,51.68,29.24,70.76,36.37,1.54,7.73,0
-24.77,-1.31,8.41,-4.36,-3.7,-11.16,0.0,-6.16,13.33,-8.81,1.29,-3.49,-3.8,-627.0,6949.11,0.4,0.43,1.07,1.52,2.17,17.16,21.27,157.66,162.17,0.0,0.0,0.57,0.63,1.08,959.79,550.05,170.07,8.31,54.32,3163.56,42.63,60.64,92.33,4058.24,0.89,2.95,21.09,2.2,184.4,-84.4,-181.31,1.33,80.26,0
10.84,7.25,25.41,5.61,6.86,-1.29,14.95,3.59,45.42,14.98,9.95,7.88,8.51,637.0,4170.71,0.53,0.57,1.86,1.5,4.36,86.45,1.95,157.66,83.68,0.0,0.0,0.69,0.73,1.44,972.03,783.43,166.55,7.3,64.93,1528.59,32.9,69.33,93.2,21499.89,24.17,116.98,283.34,47.18,51.04,48.96,31.76,2.36,114.62,0
2.9,-7.63,-2.31,3.97,-4.0,8.93,-81.07,43.97,10.23,0.13,1.61,0.23,0.56,9.0,7812.4,1.79,4.67,4.23,6.79,17.47,30.27,12.06,53.73,20.9,0.02,0.0,1.58,3.16,5.56,100.44,47.51,12.27,179.76,0.26,314.57,116.11,58.5,35.75,17196.34,9.91,29.75,734.24,5.59,66.29,33.71,2.31,5.11,0.67,0
-31.56,-4.64,-10.65,-9.34,-2.31,-8.5,-86.04,1.09,44.52,-3.97,-4.79,-2.57,-3.52,-122.0,2496.5,0.65,0.89,1.66,5.3,4.77,6.12,59.67,68.84,76.54,0.01,0.25,0.79,1.06,1.33,329.92,260.35,73.45,31.68,42.69,556.58,51.01,61.26,75.94,5813.73,15.0,51.49,578.38,22.01,83.0,17.0,-18.05,2.28,-10.79,0
-1.12,16.4,18.06,23.9,1.3,29.54,-70.81,-15.12,15.16,2.26,1.74,1.77,2.8,167.0,7327.94,0.78,1.24,1.63,5.11,12.94,8.95,40.79,71.44,28.22,0.02,0.11,0.9,1.5,2.12,130.97,99.68,50.25,74.29,12.57,1190.35,81.65,53.15,57.38,20034.96,20.12,100.05,336.96,28.48,70.51,29.49,7.94,3.65,4.73,0
9.78,4.36,0.96,5.79,10.98,27.58,418.84,-11.41,22.99,8.8,7.83,5.04,8.83,421.0,4844.01,0.57,0.99,0.72,14.1,6.42,35.14,10.39,25.88,56.85,0.01,0.0,1.13,2.86,3.58,61.62,51.16,21.46,68.84,-13.63,996.52,131.88,21.89,59.23,44881.47,14.22,22.35,129.12,25.51,32.8,67.2,34.48,0.78,6.08,0
7.91,0.13,-0.39,5.03,8.32,8.37,-8.68,-58.12,22.6,5.52,7.36,6.04,12.14,0.0,13794.79,1.09,2.19,2.95,11.69,4.2,19.12,19.09,31.21,86.9,0.01,0.0,1.0,1.74,2.04,138.13,126.49,23.99,97.65,17.65,1306.49,71.29,63.93,50.59,11360.87,20.39,74.44,4131.83,19.11,55.17,44.83,28.89,3.9,5.57,0
52.31,6.82,3.02,10.0,11.2,15.37,52.6,45.55,12.49,5.79,11.08,7.54,11.87,762.0,12882.11,1.3,2.05,3.1,9.38,4.38,15.32,23.83,38.92,83.39,0.01,0.0,1.48,2.24,2.95,194.45,142.98,13.83,56.65,28.81,1324.42,63.74,59.31,63.84,13275.51,14.95,59.77,203.83,12.04,27.35,72.65,48.12,5.06,23.21,0
-8.45,15.13,4.17,-9.68,-2.65,-14.64,-206.32,-72.83,16.59,-2.66,-1.25,-1.38,-1.99,-69.0,2772.4,0.52,0.76,1.84,53.9,1.99,5.94,61.42,6.77,162.17,0.01,0.02,0.57,0.73,0.73,444.3,441.52,131.49,40.11,53.93,690.5,42.6,69.59,71.37,8145.29,10.55,82.96,1041.22,19.26,83.76,16.24,-13.82,3.06,-94.35,0
41.64,24.69,28.07,26.14,28.41,20.87,113.15,32.83,19.12,9.36,11.81,8.52,24.47,744.0,8917.19,0.91,2.29,1.23,28.81,6.34,19.02,19.19,12.67,57.53,0.02,0.06,1.4,3.49,3.97,65.3,57.06,14.82,152.83,-13.61,683.8,188.07,25.61,39.55,175124.17,37.34,61.37,73.84,45.77,40.61,59.39,20.45,1.37,7.8,0
5.22,28.44,27.23,17.64,15.65,9.18,-0.57,20.04,21.66,6.63,11.13,8.37,17.35,613.0,9908.08,1.26,2.7,2.58,9.15,7.75,9.73,37.53,39.88,47.12,0.02,0.14,1.34,2.47,3.39,118.19,84.82,23.37,115.51,7.58,3552.55,109.3,49.28,46.4,64444.11,27.27,72.21,205.7,23.36,45.71,54.29,28.4,3.03,13.58,0
24.32,-6.95,0.37,-6.96,-9.17,-9.32,214.78,-11.56,-5.52,-19.18,-7.42,-5.98,-7.9,-1364.0,7110.4,0.31,0.41,1.24,0.67,2.95,15.24,23.95,157.66,123.79,0.0,0.0,0.33,0.42,1.1,382.57,147.71,27.68,33.69,54.51,3286.67,35.03,73.8,74.8,4806.46,2.6,29.23,220.21,8.04,184.4,-84.4,-181.31,3.5,-18.03,0
13.09,-3.16,-2.08,-2.33,3.93,-2.64,154.18,-8.95,10.5,3.15,6.22,3.83,7.33,352.0,11171.29,1.22,2.33,2.21,6.53,6.55,13.02,28.04,55.92,55.7,0.01,0.67,1.49,2.71,4.62,133.86,80.24,13.07,85.5,11.34,979.45,102.33,44.84,53.91,27446.5,26.27,51.51,131.21,21.36,56.2,43.8,14.75,2.35,4.88,0
75.57,119.29,97.26,71.67,101.41,100.82,0.0,0.0,16.15,28.03,1.81,18.77,57.21,3174.0,26458.42,0.37,0.7,0.54,3.7,2.36,9.03,40.4,98.57,154.52,0.0,0.0,0.69,1.17,1.72,144.8,98.9,15.29,89.6,9.78,3552.55,129.69,31.6,52.74,175124.17,32.69,82.29,299.51,69.96,8.74,91.26,82.5,0.85,4.65,0
-8.75,-8.42,14.1,-0.69,-0.98,-10.76,-78.06,-27.08,22.4,-8.1,1.9,-4.85,-6.1,-140.0,1684.94,0.6,0.73,1.38,9.07,5.69,20.52,17.79,40.22,64.16,0.01,0.0,0.81,1.06,1.2,307.33,275.2,44.13,22.75,36.06,415.58,57.14,53.45,81.47,6884.88,9.56,31.02,367.02,15.9,82.25,17.75,-50.92,1.87,2.52,0
5.05,64.59,22.24,26.38,28.26,35.95,8.69,-0.73,63.91,-4.52,-3.3,-1.28,-1.78,-259.0,5642.44,0.28,0.39,0.41,5.93,7.07,35.01,10.42,61.53,51.61,0.01,0.0,0.71,0.9,1.06,267.83,232.81,29.67,38.6,20.33,3223.36,93.63,32.45,72.15,8111.83,4.62,11.57,208.74,18.28,133.65,-33.65,-24.75,0.79,-18.17,0
-3.33,19.76,14.65,-0.55,-1.26,-21.13,215.3,-13.17,6.95,-1.28,0.02,-1.08,-2.05,-45.0,3473.35,0.85,1.59,1.37,17.5,8.85,12.11,30.15,20.86,41.26,0.03,0.07,1.56,2.23,2.55,195.5,169.3,59.57,89.83,16.45,430.64,125.9,33.68,52.68,21185.13,27.68,64.54,160.09,32.58,82.06,17.94,-3.93,1.6,-0.82,0
-9.3,2.65,6.35,-15.3,-23.32,-34.32,-206.32,38.64,31.03,-31.25,-6.45,-9.04,-12.78,-249.0,1088.67,0.29,0.48,0.55,2.81,2.92,36.76,9.93,129.89,125.13,0.0,0.0,0.5,0.61,0.77,223.56,152.89,40.22,72.63,22.81,3009.64,101.38,41.28,57.93,4191.77,4.49,15.13,72.72,14.23,184.4,-84.4,-181.31,0.95,-4.0,0
39.78,47.91,27.43,27.35,-7.27,27.28,10.96,-37.99,8.61,-2.36,4.35,-4.28,-7.95,-162.0,6716.97,1.79,3.36,3.95,13.93,9.27,10.25,35.6,26.2,39.38,0.03,0.08,1.97,3.34,4.39,122.92,102.78,30.35,116.46,10.1,384.37,99.25,54.15,46.2,16136.58,10.16,35.67,68.15,6.3,97.32,2.68,-37.56,4.98,2.63,0
-1.55,0.5,-1.99,-1.65,9.04,-0.93,22.03,-3.18,29.6,7.41,9.18,5.45,9.62,627.0,9301.45,0.74,1.29,1.08,4.63,8.05,19.69,18.54,78.75,45.32,0.01,0.0,1.09,2.3,4.55,90.42,46.16,18.07,68.45,-3.41,1355.7,114.24,32.18,59.36,47267.38,29.04,70.56,221.59,39.14,60.03,39.97,18.92,1.8,9.46,0
-85.27,-2.35,-28.41,23.68,-6.27,100.82,-15.08,15.52,35.18,-157.46,-12.0,-16.97,-26.96,-683.0,336.61,0.08,0.13,0.15,1.1,3.53,1.05,81.54,157.66,103.39,0.01,0.28,0.14,0.19,0.23,696.84,607.24,229.15,81.57,49.47,485.68,76.69,57.76,55.08,-8503.89,-9.9,-27.22,-222.48,-79.7,0.0,0.0,0.0,0.21,-34.59,0
40.92,-9.36,-2.24,32.48,101.41,100.82,-22.43,-68.58,-5.52,-40.66,-18.04,-21.74,-58.89,-348.0,884.27,0.53,1.45,0.89,17.48,6.47,67.56,5.4,20.88,56.42,0.01,0.0,0.61,1.35,1.46,117.34,114.18,91.48,126.88,7.05,109.67,118.66,47.7,44.08,5822.92,22.12,49.98,93.52,47.15,101.13,-1.13,-86.23,1.01,-4.67,0
11.08,-13.73,21.5,27.88,20.6,32.42,1.41,86.98,38.31,8.53,12.94,7.2,10.13,699.0,9516.28,0.84,1.07,2.08,45.42,7.67,86.45,0.79,8.04,47.58,0.02,0.0,1.07,1.42,1.46,374.98,361.62,179.35,21.59,44.34,1485.14,48.06,60.47,82.25,54805.39,32.33,296.11,688.0,43.03,56.63,43.37,19.83,6.34,37.25,0
32.56,-5.09,-13.71,13.71,21.49,35.6,12.02,29.81,32.87,13.99,21.8,13.62,21.96,1321.0,9429.01,0.97,1.57,2.51,5.07,6.31,25.41,14.36,72.0,57.85,0.01,0.0,1.11,1.59,2.31,249.89,173.11,108.0,56.54,39.78,1320.08,52.73,66.32,63.88,65467.11,38.45,130.04,492.1,42.05,41.23,58.77,33.28,2.93,26.36,0
-1.57,-5.19,10.36,11.56,7.08,12.81,283.92,-5.16,59.1,12.94,9.86,8.37,9.18,850.0,6647.84,0.65,0.78,1.27,6.84,10.6,29.9,12.21,53.33,34.42,0.01,0.0,1.07,1.31,1.63,614.79,506.33,271.96,22.45,41.44,1670.03,61.86,49.48,81.67,78829.52,27.41,125.15,2061.38,44.66,49.19,50.81,28.96,2.67,52.73,0
-14.63,0.39,26.2,-7.66,-1.91,-38.76,-104.64,0.0,0.0,-0.31,0.94,-0.26,-0.21,-5.0,2495.74,0.84,1.08,1.5,0.0,8.53,8.23,44.34,0.0,42.81,0.0,0.67,1.29,1.93,1.93,178.58,178.58,48.56,24.86,15.22,446.67,81.68,34.58,80.09,14817.27,22.65,998.91,1241.51,25.81,68.76,31.24,-1.18,38.77,16.93,0
29.17,37.68,34.8,27.54,39.75,26.11,106.43,-53.25,32.66,12.53,2.5,1.82,13.08,1782.0,36483.08,0.15,1.22,0.85,217.91,20.71,86.45,3.41,0.65,7.2,0.07,0.0,0.11,0.17,0.17,155.74,155.72,2.95,302.31,29.56,3177.23,157.98,82.6,23.99,175124.17,3.39,234.53,72527.6,26.22,30.72,69.28,47.81,9.85,62.94,0
8.95,12.58,15.79,23.92,6.12,28.99,-57.78,3.68,13.65,2.18,9.75,2.87,5.88,287.0,13381.44,1.32,2.7,3.55,11.74,3.93,9.36,38.98,31.09,92.77,0.01,0.16,1.18,2.09,2.54,127.96,107.39,7.92,120.77,14.01,978.34,79.27,64.09,45.3,35357.57,19.87,67.36,165.41,16.72,57.24,42.76,13.05,3.93,16.92,0
12.55,7.83,18.04,25.19,49.66,29.22,19.31,4.2,49.83,22.77,20.21,16.95,22.43,822.0,3233.33,0.74,0.99,2.14,6.56,7.3,14.72,24.79,55.65,50.02,0.01,0.0,0.95,1.14,1.38,570.77,480.78,117.21,22.73,54.49,787.02,41.64,66.07,81.48,7294.94,26.8,129.81,540.74,40.03,31.51,68.49,56.89,3.36,29.54,0
9.31,113.31,9.78,-1.53,20.17,-10.27,0.0,45.14,26.93,5.39,-0.34,5.41,17.52,97.0,1757.17,1.0,3.05,2.18,37.53,5.82,86.45,3.7,9.73,62.71,0.01,0.0,0.93,1.86,1.95,99.79,93.6,27.6,164.66,-0.11,120.35,128.55,51.43,37.78,1824.68,4.23,237.21,1768.24,4.19,184.4,-84.4,128.72,44.87,-4.1,0
18.27,5.39,-0.39,-0.9,13.4,-3.12,562.78,-17.09,24.26,1.97,7.36,1.05,1.91,84.0,4551.1,0.53,1.02,0.66,10.98,5.75,32.0,11.4,33.24,63.48,0.01,0.0,1.08,2.91,3.96,70.75,53.46,7.39,75.76,-7.5,918.48,143.86,18.15,56.9,27239.23,9.13,13.33,73.5,16.99,53.98,46.02,11.57,0.75,5.95,0
73.26,1.6,-2.21,5.55,31.66,14.87,0.0,44.36,25.31,6.45,7.26,5.17,14.6,588.0,8105.9,0.8,2.25,1.53,14.56,0.0,7.05,51.79,25.06,0.0,0.0,0.13,0.77,1.69,1.91,86.86,75.75,5.91,154.31,-7.48,816.78,128.52,49.46,39.32,52230.12,22.51,81.44,1598.37,28.87,53.39,46.61,22.36,2.75,2.91,0
-4.16,0.39,-4.77,-16.24,-19.15,-27.28,-206.32,-18.54,-5.52,-10.42,-14.6,-12.69,-35.73,-310.0,2977.16,1.22,3.43,2.34,6.57,10.35,5.24,69.62,55.54,35.27,0.05,0.09,1.25,2.54,4.15,89.53,52.6,6.58,187.07,-5.18,155.24,160.01,44.26,34.83,2978.14,10.67,23.78,81.04,7.98,155.04,-55.04,-130.49,2.98,-13.73,0
8.9,-2.65,-1.8,33.09,16.29,63.34,0.0,21.91,10.15,2.12,7.04,4.29,15.07,108.0,4871.19,1.79,4.67,5.13,19.16,4.29,5.0,72.98,19.05,85.02,0.03,0.05,1.61,3.35,4.05,96.99,81.99,0.67,272.91,-2.04,147.35,127.8,65.73,26.82,10139.32,13.99,60.08,19143.79,7.89,59.88,40.12,26.87,7.51,5.23,0
-3.19,-14.33,-14.27,-8.19,1.41,2.83,-28.24,-20.66,67.45,-2.57,9.45,-1.97,-4.68,-158.0,6155.43,0.77,1.82,1.23,6.2,9.33,32.13,11.36,58.87,39.13,0.01,0.0,1.08,2.04,3.05,140.58,100.17,81.63,125.59,11.5,676.93,135.71,39.84,44.33,14286.11,21.95,42.54,348.5,27.35,84.63,15.37,-9.39,1.43,4.93,0
-36.01,-48.38,-49.27,-50.53,-57.31,-52.94,0.0,-27.19,-5.52,-157.46,-8.74,-39.36,-58.89,-686.0,109.23,0.31,0.44,0.46,6.06,1.58,4.98,73.35,60.25,162.17,0.0,0.37,0.48,0.91,1.07,89.65,71.9,0.43,59.33,-3.77,117.0,107.3,32.65,62.76,-2349.77,-10.53,-70.93,-74.86,-79.7,0.0,0.0,0.0,0.47,-6.65,0
75.57,-8.86,42.36,-6.87,45.82,-51.09,0.0,-61.28,18.43,10.97,4.38,6.45,35.12,121.0,213.09,0.59,3.03,0.99,2.17,20.71,7.2,50.72,157.66,5.37,0.01,0.02,0.64,1.45,4.36,66.77,28.87,8.54,302.31,-13.77,81.86,226.43,27.66,23.99,28570.76,20.66,160.52,13331.57,33.88,27.88,72.12,32.38,4.12,1.63,0
21.77,-11.06,-2.34,10.73,-4.36,23.17,-60.59,0.0,6.39,-3.84,-0.43,-3.75,-9.99,-64.0,1668.42,0.98,2.6,2.27,6.34,3.32,7.2,50.71,57.61,109.9,0.01,0.41,1.07,1.72,2.35,164.21,119.75,14.87,166.18,22.28,128.29,114.53,56.97,37.57,4389.41,10.35,43.93,155.51,10.59,82.21,17.79,-36.28,4.12,-0.23,0
11.38,4.7,-19.99,-2.15,-8.18,27.82,564.63,0.0,16.98,12.12,16.29,14.59,20.73,805.0,6345.07,1.2,1.7,2.35,0.0,9.33,13.17,27.71,0.0,39.1,0.07,0.0,1.66,2.47,2.47,203.07,203.07,13.36,40.76,24.73,149.19,72.16,48.73,71.04,76029.79,91.05,2365.36,11214.92,69.96,83.16,16.84,16.02,17.64,43.63,0
-21.71,-0.85,-13.94,-15.34,-10.58,-16.11,0.0,-86.69,36.41,-7.59,-5.92,-7.85,-11.17,-80.0,1055.93,1.04,1.47,2.91,217.91,4.65,6.58,55.48,0.43,78.49,0.04,0.0,1.12,1.61,1.61,244.2,244.08,59.25,38.17,37.88,135.38,49.54,64.15,72.37,-2878.77,-10.34,-83.5,-320.21,-9.16,0.0,0.0,0.0,9.08,-94.28,0
9.75,14.33,15.45,10.32,84.97,2.53,-13.09,4.38,13.89,2.9,6.19,3.5,13.26,326.0,36483.08,1.21,4.57,1.96,4.9,9.92,7.68,47.52,74.49,36.81,0.02,0.14,1.3,3.16,5.56,76.32,26.71,0.27,205.97,-11.46,2602.96,193.01,36.92,32.68,23196.73,22.65,38.53,124.23,19.67,53.01,46.99,14.74,2.0,2.6,0
9.24,10.37,9.95,14.05,8.65,34.67,0.0,32.51,21.72,8.17,5.89,4.24,8.78,468.0,5737.01,0.52,1.07,0.64,12.71,7.72,39.77,9.18,28.72,47.29,0.01,0.0,1.5,2.85,3.68,108.37,84.21,29.29,111.72,1.51,1111.64,170.2,19.61,47.23,175124.17,15.84,27.74,90.69,32.49,38.83,61.17,25.14,0.85,2.35,0
25.46,0.84,4.5,3.21,3.88,-0.02,16.29,6.46,26.72,17.58,5.76,4.94,5.68,241.0,1369.0,0.28,0.32,0.39,6.14,19.97,17.98,20.3,59.44,18.28,0.02,0.12,0.88,1.0,1.2,719.94,598.63,288.17,14.66,23.73,863.59,83.06,27.56,87.21,8315.43,11.02,18.68,1023.87,39.84,43.93,56.07,44.12,0.47,3145.21,0
14.26,35.4,16.12,6.61,-8.19,-3.54,-36.36,65.95,10.29,-40.68,-6.72,-18.59,-28.5,-161.0,396.57,0.46,0.7,0.85,3.56,3.85,8.27,44.12,102.67,94.86,0.01,0.0,0.72,0.99,1.38,373.37,240.82,94.63,65.28,32.05,106.17,92.92,43.78,60.5,-322.33,-0.71,-2.84,0.0,-1.6,0.0,0.0,0.0,1.11,-8.64,0
-13.51,-13.86,-4.35,-21.12,3.22,-36.61,-80.16,42.22,3.94,2.9,-0.5,1.09,1.57,305.0,10527.71,0.38,0.54,0.72,22.1,5.06,6.19,58.98,16.51,72.15,0.03,0.05,0.54,0.79,0.82,457.19,432.36,39.07,24.7,32.63,3552.55,72.63,41.76,80.19,32921.88,15.99,63.68,114.53,37.45,59.68,40.32,7.74,1.42,-9.4,0
14.85,-0.74,71.76,71.67,101.41,100.82,195.76,87.61,50.91,11.42,4.13,4.12,4.28,350.0,3064.91,0.36,0.37,0.97,16.56,7.06,18.53,19.7,22.04,51.69,0.02,0.2,0.54,0.58,0.6,972.03,860.06,288.17,2.85,65.44,2078.11,32.7,68.21,97.23,2989.93,13.48,88.28,242.93,55.5,69.65,30.35,20.58,1.58,-12.2675,0
7.02,-0.29,-0.61,4.65,1.98,8.03,-48.11,-20.86,10.3,1.01,7.26,1.61,3.35,128.0,12647.43,1.59,3.31,4.18,10.79,4.49,9.1,40.13,33.84,81.36,0.01,0.16,1.56,2.58,3.38,168.81,134.51,26.5,110.41,25.62,771.22,78.19,62.84,47.53,32697.58,25.34,88.68,207.05,16.26,55.86,44.14,6.23,5.04,5.99,0
13.89,35.09,41.5,16.09,16.45,3.87,29.05,1.63,45.75,28.03,21.8,18.77,22.0,3099.0,9376.64,0.62,0.67,1.71,26.55,6.29,43.95,8.31,13.75,58.07,0.02,0.0,0.88,0.97,1.01,972.03,860.06,272.66,7.19,54.25,3031.47,42.43,60.42,93.3,50135.07,38.47,241.47,370.22,66.65,34.87,65.13,49.59,2.5,3145.21,0
15.96,58.44,53.65,19.68,12.35,12.4,3.08,-94.95,46.34,15.68,13.37,11.49,16.78,521.0,3301.59,0.73,1.07,3.6,76.34,1.86,3.86,81.54,4.78,162.17,0.01,0.01,0.69,0.92,0.93,298.83,298.51,57.27,50.41,51.46,652.57,34.09,77.34,66.48,7189.5,23.63,212.91,0.0,35.12,47.58,52.42,44.63,7.43,46.42,0
57.05,11.08,5.21,13.68,0.64,22.52,0.0,2.54,4.38,0.92,1.13,1.46,3.51,163.0,17662.23,1.58,3.8,3.22,5.51,14.63,38.01,9.6,66.2,24.94,0.01,0.0,1.7,3.1,5.56,125.22,60.39,7.83,155.13,10.61,931.83,120.66,52.71,39.2,10188.46,21.43,86.21,356.35,14.42,51.89,48.11,6.39,6.04,0.47,0
35.87,-0.85,0.15,-0.25,8.24,-0.51,123.65,8.62,6.05,3.96,8.22,7.23,13.77,216.0,5443.12,1.79,3.47,4.64,4.56,10.96,43.23,8.44,80.07,33.31,0.01,0.0,1.91,3.0,5.56,184.11,57.41,0.41,82.91,27.7,325.81,71.99,60.64,54.67,15137.72,20.48,59.17,155.47,11.21,34.74,65.26,35.36,5.25,7.38,0
