[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),label
-10.95,-47.08,-20.91,-3.45,10.04,3.49,34.93,-12.86,65.43,1.29,2.84,1.07,1.61,68.0,4756.31,0.83,1.25,3.21,4.54,1.99,14.77,24.71,80.44,162.17,0.0,0.0,0.81,1.12,1.49,304.3,235.41,28.22,40.9,51.49,765.12,32.85,76.69,70.97,28171.46,31.62,2365.36,0.0,37.38,64.82,35.18,3.45,44.87,13.92,0
6.49,4.43,12.77,10.39,6.39,8.55,0.0,32.02,19.74,3.02,4.59,2.18,6.72,170.73,5072.07,0.72,2.12,1.64,5.34,2.94,69.37,5.26,68.32,123.99,0.01,0.0,0.63,1.29,1.69,94.54,69.67,6.4,197.89,-3.21,491.09,132.42,55.55,33.57,14800.71,9.62,43.79,343.95,14.03,40.03,59.97,21.55,2.88,2.35,0
-4.81,1.59,3.6,-11.86,67.22,-35.41,564.63,-31.74,10.04,21.6,0.83,18.77,44.09,1430.0,5865.7,0.93,2.04,1.43,217.91,6.69,8.59,42.48,1.21,54.58,0.07,0.0,1.33,2.69,2.72,107.95,106.96,9.05,63.78,2.14,359.61,116.22,29.04,61.06,42954.52,44.98,67.63,700.7,45.17,25.64,74.36,47.82,1.47,0.42,0
-26.63,-5.93,7.59,-15.55,-21.8,-51.39,25.3,-9.65,-5.52,-157.46,-14.26,-19.72,-23.56,-1117.0,385.67,0.07,0.08,0.1,1.46,9.5,8.31,43.9,157.66,38.43,0.0,0.38,0.19,0.21,0.25,630.99,496.59,8.83,28.39,19.0,799.1,99.41,22.58,77.88,-7495.59,-10.42,-45.03,-1071.67,-79.7,0.0,0.0,0.0,0.31,-45.07,0
1.79,47.73,48.44,18.87,5.52,-6.81,-58.32,123.63,14.33,5.82,8.0,7.85,10.89,883.0,14947.57,1.35,1.87,2.56,8.9,7.71,8.21,44.47,41.01,47.37,0.02,0.12,1.8,2.86,4.2,132.07,68.61,11.62,46.75,10.19,1640.16,85.17,41.96,68.14,38559.29,18.69,47.2,152.58,15.05,43.82,56.18,38.66,3.26,37.14,0
-34.35,-4.09,12.73,-19.01,12.72,-49.03,525.43,123.63,44.21,10.58,18.38,8.28,16.83,2168.0,20209.79,0.78,1.52,1.37,217.91,6.01,10.56,34.56,0.15,60.73,0.04,0.0,1.11,1.82,1.83,152.55,152.28,66.7,71.33,11.14,2694.76,115.92,32.34,58.37,175124.17,34.55,165.47,4947.93,39.54,46.5,53.5,26.76,4.1,10.3,0
10.04,29.1,30.84,3.72,0.98,-5.92,-8.77,-24.24,35.68,13.06,6.34,5.02,5.39,501.0,3760.01,0.38,0.41,1.29,217.91,3.38,0.0,0.0,0.69,107.87,0.01,0.0,0.5,0.55,0.55,838.12,837.35,9.61,8.73,58.92,183.22,35.99,66.9,91.97,23670.95,23.76,97.47,0.0,62.95,70.49,29.51,20.75,1.74,40.72,0
42.57,37.5,-9.8,5.13,-5.33,19.46,118.99,50.26,21.79,-5.77,-0.86,-6.56,-19.0,-196.0,2585.54,1.14,2.32,2.5,4.96,5.74,6.95,52.5,73.53,63.56,0.01,0.27,1.14,2.08,3.59,133.52,71.74,10.18,110.43,14.55,199.91,88.44,57.97,47.52,5145.23,9.47,38.91,117.89,8.54,114.51,-14.51,-67.64,5.17,-0.71,0
-8.64,52.79,-10.65,15.81,19.57,25.04,36.75,0.0,16.02,6.94,14.11,9.57,15.67,1111.0,15920.4,1.38,2.26,6.08,0.0,20.71,29.85,12.23,0.0,14.83,0.07,0.0,1.2,1.78,1.78,216.7,216.7,38.65,61.35,43.1,1535.05,32.2,80.04,61.98,34487.68,37.13,1542.73,72527.6,28.88,72.45,27.55,24.01,44.87,2003.29,0
-28.95,-16.25,-10.74,-8.85,13.17,-7.83,70.99,0.0,29.69,11.9,8.49,7.2,9.12,303.0,2405.77,0.61,0.77,1.76,10.2,8.05,15.11,24.16,35.8,45.34,0.02,0.32,0.78,0.92,1.01,562.45,511.56,256.5,26.67,53.92,627.79,43.6,65.58,78.94,27627.75,20.24,147.4,3920.18,33.46,41.23,58.77,35.56,4.41,16.4,0
18.07,119.29,97.26,71.67,101.41,31.98,0.0,-27.55,38.92,4.08,5.59,2.22,3.61,53.0,1310.55,0.54,0.89,1.63,9.03,20.71,31.66,11.53,40.43,13.39,0.02,0.22,0.57,0.81,0.89,165.3,154.29,39.91,57.72,21.72,392.15,70.99,54.99,63.41,4485.47,13.43,966.87,7706.74,34.14,66.4,33.6,11.95,44.87,1.13,0
0.17,2.15,-2.3,5.33,6.17,8.48,-7.26,9.09,41.37,8.45,8.15,7.19,8.47,429.0,5036.6,0.85,1.0,3.03,6.37,1.62,16.16,22.59,57.29,162.17,0.0,0.0,1.0,1.18,1.45,566.47,460.99,27.86,17.24,60.08,1035.88,31.71,72.96,85.3,18019.95,26.98,121.21,2478.14,32.53,65.89,34.11,25.99,3.76,201.37,0
45.36,11.22,4.41,5.24,12.0,7.35,564.63,28.37,14.84,-37.44,-9.14,-22.09,-41.42,-700.0,3626.16,0.59,1.09,0.83,8.85,10.07,20.1,18.16,41.23,36.24,0.02,0.0,0.84,2.06,2.68,66.1,49.41,8.07,88.95,-14.84,349.32,134.27,28.94,52.93,-9706.23,-5.12,-36.5,-156.16,-8.89,0.0,0.0,0.0,4.32,-2.92,0
2.09,4.66,3.14,1.48,11.78,0.5,307.76,15.95,11.16,4.05,7.72,6.39,12.79,522.0,12911.32,1.58,3.16,4.22,11.54,4.52,10.04,36.37,31.63,80.79,0.01,0.17,1.58,2.53,3.23,167.25,128.04,27.9,91.03,25.02,862.09,72.14,62.23,52.35,34573.96,26.4,91.44,217.46,16.84,58.05,41.95,24.03,5.04,7.12,0
19.44,-2.83,-4.72,7.18,4.73,26.67,0.0,-4.55,13.6,1.74,2.54,1.33,2.43,35.0,1990.5,0.76,1.4,1.3,6.59,7.5,9.46,38.6,55.41,48.63,0.02,0.22,1.14,1.84,2.54,209.77,158.68,89.77,85.52,23.44,729.33,102.44,44.78,53.9,16153.53,24.36,97.57,208.97,33.12,73.67,26.33,5.26,2.89,3.56,0
48.1,119.29,97.26,71.67,39.42,100.82,-62.97,0.0,15.61,3.07,0.77,0.64,4.19,45.0,1316.86,0.21,1.28,0.45,26.79,0.55,4.29,81.54,13.63,162.17,0.0,0.04,0.16,0.39,0.4,72.36,71.3,17.4,302.31,-20.33,142.1,226.43,53.21,23.99,13495.99,3.34,165.26,0.0,16.02,76.38,23.62,19.16,10.31,84.04,0
13.82,8.36,9.6,29.44,6.36,41.67,31.41,-5.24,36.61,7.18,4.86,2.48,3.87,222.0,3061.65,0.34,0.54,0.99,4.71,3.69,21.99,16.6,77.51,98.83,0.01,0.0,0.46,0.53,0.6,791.82,717.98,288.17,71.03,59.16,1171.45,55.22,67.72,58.47,7677.84,9.17,32.66,1100.36,30.01,55.91,44.09,23.93,1.03,7.9,0
12.45,-32.88,22.58,22.52,9.59,22.5,-1.8,123.63,9.2,4.92,10.91,7.64,12.7,649.0,12850.34,1.55,2.58,6.19,94.83,19.6,86.45,0.06,3.85,18.63,0.04,0.0,1.39,2.07,2.12,192.63,187.34,26.43,74.82,36.02,1041.89,43.88,74.9,57.2,79429.24,22.46,789.45,940.21,15.93,36.28,63.72,30.88,37.6,80.08,0
-15.65,119.12,-7.39,30.68,46.09,72.46,272.58,11.2,0.54,-157.46,-11.21,-33.05,-58.89,-1934.0,279.17,0.01,0.03,0.03,1.51,4.51,3.13,81.54,157.66,80.98,0.0,0.35,0.02,0.02,0.02,564.24,556.74,114.86,86.59,51.77,1826.43,69.19,62.92,53.59,-15435.0,-10.53,-120.45,-1057.46,-79.7,0.0,0.0,0.0,0.06,-7.05,0
-21.07,-7.55,-27.83,-15.83,-13.38,-4.76,0.0,-54.59,11.72,-6.69,2.07,-7.41,-14.25,-339.0,5528.64,1.11,2.34,2.47,78.7,2.91,11.24,32.47,4.64,125.5,0.01,0.01,1.12,2.01,2.06,124.13,122.11,24.28,109.36,11.44,441.09,86.12,58.86,47.76,175124.17,30.25,131.97,2226.31,24.97,97.85,2.15,-26.8,5.07,13.16,0
-2.8,12.16,-0.23,19.53,11.2,47.72,-11.61,5.06,28.13,18.39,17.63,12.84,14.28,893.0,4948.59,0.7,0.78,1.3,18.64,5.34,23.32,15.65,19.58,68.4,0.01,0.67,1.32,1.5,1.63,778.16,724.33,288.17,15.0,44.39,3552.55,56.43,50.93,86.96,68521.16,22.19,75.31,159.55,34.62,13.41,86.59,53.13,1.98,19.17,0
14.64,-5.11,-5.51,11.88,18.77,16.88,-90.85,0.0,0.0,-2.27,0.87,-0.9,0.24,12.0,5210.04,0.4,1.14,1.93,217.91,5.4,8.51,42.9,1.17,67.65,0.04,0.0,0.3,0.5,0.5,180.84,180.31,28.69,178.31,36.26,1062.55,52.54,81.12,35.93,15300.95,5.09,1215.0,0.0,13.55,76.18,23.82,-16.74,44.87,0.3,0
-10.07,-5.25,97.26,29.99,31.16,-3.69,73.31,-37.88,51.79,18.38,6.68,8.74,13.14,360.0,2149.35,0.48,0.56,1.11,217.91,4.61,86.45,0.98,0.44,79.11,0.01,0.0,0.68,0.83,0.83,394.64,394.34,192.41,18.68,37.15,622.11,59.62,49.76,84.26,32392.58,25.11,260.22,11247.27,59.7,71.09,28.91,30.79,4.24,105.72,0
43.94,37.96,46.53,71.67,41.14,100.82,-3.0,123.63,43.3,5.15,21.8,6.41,21.26,886.0,9631.27,1.24,2.0,2.69,8.03,10.03,28.74,12.7,45.46,36.39,0.01,0.0,1.57,2.31,3.25,229.44,149.54,48.61,66.67,32.6,925.14,70.35,57.79,60.0,45484.15,25.15,78.74,251.5,26.32,43.45,56.55,19.57,3.08,43.2,0
4.81,0.74,18.51,13.58,5.64,7.68,71.12,6.92,56.21,7.29,6.45,5.46,10.13,414.0,5654.55,0.75,1.39,1.35,5.77,10.88,22.31,16.36,63.25,33.55,0.01,0.0,0.92,1.69,2.4,130.8,92.57,13.5,91.98,10.17,835.59,109.06,43.19,52.09,26957.56,24.01,1133.54,0.0,34.05,64.6,35.4,21.4,33.41,8.59,0
23.17,5.25,2.18,23.4,14.58,61.41,66.77,0.0,9.97,7.22,5.46,5.33,18.63,1835.0,25416.23,0.74,2.58,1.27,0.0,3.25,5.33,68.53,0.0,112.23,0.02,0.0,0.8,1.76,1.76,88.77,88.77,28.44,261.86,-5.93,210.34,192.3,46.86,27.63,45833.16,22.78,61.02,66.81,34.11,15.09,84.91,21.16,1.52,2.9,0
-4.13,-70.9,-39.95,-47.17,17.46,-60.66,475.52,-72.34,21.8,5.75,3.72,3.86,18.58,2729.0,20377.11,0.67,1.31,0.98,6.36,5.54,29.14,12.53,57.38,65.88,0.01,0.0,0.98,2.11,3.16,83.53,62.27,11.3,52.24,-5.12,2706.03,112.71,25.97,65.69,54553.99,28.26,128.73,234.26,29.13,37.49,62.51,19.73,1.99,2.1,0
17.54,2.94,88.63,38.25,67.9,4.84,0.0,14.48,27.31,28.03,2.05,18.77,40.27,1432.0,4462.78,0.66,1.17,1.37,6.88,2.18,8.78,41.58,53.06,162.17,0.01,0.67,0.82,1.28,1.58,152.36,122.7,13.69,66.18,15.67,875.68,90.42,45.59,60.18,89435.91,37.03,190.6,698.87,64.77,30.09,69.91,49.16,2.97,1.24,0
40.62,40.3,32.74,59.45,101.41,71.27,0.0,100.84,5.79,2.35,14.31,8.53,18.32,966.0,36483.08,1.79,4.67,6.59,19.87,13.38,10.56,34.56,18.37,27.28,0.07,0.04,2.03,3.74,5.56,152.99,112.28,42.11,96.33,25.79,1417.04,50.12,74.47,50.94,30071.22,26.26,139.18,208.07,8.9,47.28,52.72,26.41,18.23,53.53,0
41.08,106.09,24.61,-6.99,25.56,-10.77,39.32,-80.18,39.71,27.98,19.82,17.98,22.1,2062.0,7370.98,0.64,0.79,5.16,4.59,12.65,7.63,47.85,79.56,28.86,0.02,0.1,0.61,0.73,0.87,972.03,860.06,288.17,6.47,79.64,2048.08,15.26,85.67,93.93,22118.32,26.99,2365.36,72527.6,40.49,18.02,81.98,69.11,23.74,2135.07,0
1.38,119.29,-24.73,-3.22,0.63,6.59,-86.71,14.29,34.89,1.27,-0.5,1.22,2.03,84.0,4786.56,0.96,1.15,3.46,6.5,20.71,25.07,14.56,56.11,12.67,0.02,0.1,1.14,1.34,1.68,761.29,599.47,116.2,16.82,65.7,828.23,28.46,75.64,85.6,10518.66,16.1,336.89,13707.78,16.42,89.16,10.84,7.71,34.02,-12.42,0
-3.74,1.74,0.95,-5.57,12.09,-10.91,-26.97,-0.67,24.17,7.5,13.73,7.69,13.17,2779.0,35386.25,1.03,1.76,2.2,9.22,6.59,22.98,15.88,39.58,55.37,0.01,0.0,1.2,1.92,2.42,193.79,151.18,66.15,57.36,25.11,3552.55,75.72,51.88,63.55,94927.83,29.79,71.0,407.78,28.23,46.88,53.12,26.57,2.42,16.45,0
-11.39,6.11,-1.8,-12.95,-28.83,-20.13,0.0,8.68,23.49,-32.35,-2.26,-14.73,-33.0,-381.0,1164.73,0.46,1.02,1.1,3.61,2.17,5.93,61.6,101.04,162.17,0.0,0.0,0.42,0.78,0.99,101.3,75.71,6.13,150.78,0.71,189.86,110.73,55.84,39.88,-987.28,-0.96,-3.03,-7.84,-1.97,0.0,0.0,0.0,1.58,-0.76,0
41.83,-0.21,2.16,12.91,9.18,49.72,-6.85,10.43,29.84,3.45,4.19,1.99,5.21,128.0,3714.45,0.58,1.49,0.79,8.4,5.06,10.79,33.82,43.45,72.14,0.01,0.38,0.82,2.18,2.94,65.68,50.79,4.75,162.22,-15.67,508.64,183.6,29.98,38.14,18025.7,15.43,36.03,179.68,28.38,53.86,46.14,12.14,1.23,1.36,0
2.34,119.29,96.47,13.29,4.79,8.01,70.2,-77.62,21.05,9.92,13.1,10.2,13.46,200.0,2008.09,1.03,1.36,6.59,16.97,4.42,6.88,53.03,21.51,82.52,0.02,0.07,0.9,1.12,1.2,351.91,343.72,163.06,36.99,64.17,302.94,14.19,88.77,73.0,5886.4,23.64,353.87,10063.42,24.43,49.57,50.43,40.62,27.4,553.6066666666667,0
45.57,26.32,32.45,71.67,101.41,100.82,39.24,123.63,45.52,24.88,21.8,18.77,25.5,965.0,3448.94,0.87,1.02,2.19,113.99,6.14,31.65,11.53,3.2,59.47,0.02,0.01,1.17,1.44,1.46,574.47,566.87,32.65,14.26,56.38,987.21,36.27,68.26,87.52,21853.73,30.67,194.69,234.53,50.25,18.79,81.21,49.52,4.26,172.04,0
75.57,-19.68,6.4,7.08,-2.67,7.41,53.52,123.63,20.87,-8.18,1.43,-5.18,-6.08,-67.0,827.82,0.63,0.75,1.98,13.95,11.56,12.95,28.19,26.17,31.57,0.03,0.08,0.8,0.93,1.0,492.78,433.12,92.25,23.65,54.29,213.38,39.43,68.12,80.87,4656.76,7.72,47.2,449.25,12.59,118.52,-18.52,-64.97,3.34,2.94,0
75.57,8.35,5.11,13.5,-19.39,61.83,38.98,0.0,14.59,-13.0,4.4,-10.7,-31.92,-392.0,3003.99,0.82,2.46,1.01,82.71,8.4,37.25,9.8,4.41,43.45,0.03,0.02,1.25,3.74,4.8,38.78,35.34,0.48,255.42,-22.07,215.92,226.43,21.09,28.14,50417.28,25.92,38.69,52.02,33.5,55.59,44.41,-38.81,1.18,1.19,0
12.83,-2.8,1.4,-3.34,0.66,-5.33,-64.9,6.85,12.13,1.04,1.61,1.37,2.6,113.0,10838.49,1.32,2.5,4.34,5.8,4.07,7.18,50.85,62.9,89.61,0.01,0.37,1.2,1.89,2.8,175.99,115.13,13.66,86.47,29.76,868.23,57.94,68.93,53.63,13714.25,18.61,84.54,853.44,13.9,80.25,19.75,7.48,5.99,1.93,0
-6.22,119.29,97.26,71.67,50.48,38.8,0.0,0.0,9.91,-84.3,-18.18,-24.67,-31.86,-1934.0,4242.0,0.29,0.53,0.54,8.81,8.91,6.89,53.0,41.41,40.96,0.03,0.09,0.34,0.64,0.69,109.77,101.78,24.5,79.35,4.06,1616.0,97.48,45.65,55.76,-4959.78,-8.91,-194.27,-671.05,-30.45,0.0,0.0,0.0,6.38,-7.01,0
20.87,119.29,5.49,10.45,15.53,11.54,-52.75,-14.43,8.81,0.87,9.45,2.27,7.26,301.0,28552.79,1.79,4.67,6.59,9.77,6.8,19.3,18.91,37.36,53.71,0.01,0.0,1.89,3.16,4.66,141.62,101.62,17.73,150.49,24.3,804.56,43.33,82.7,39.92,13835.38,12.07,469.26,18325.25,4.88,57.59,42.41,17.9,44.87,4.05,0
