ÅõÀÚÀÏÀÚ,ÀÏÀÏ¼öÀÍ·ü(%),´©Àû¼öÀÍ·ü(%),¿¬´©Àû¼öÀÍ·ü(%),ÄÚ½º´ÚÁ¾°¡,ÄÚ½º´Ú¼öÀÍ·ü(%),ÄÚ½º´Ú´©Àû¼öÀÍ·ü(%),ÄÚ½º´Ú¿¬´©Àû¼öÀÍ·ü(%),ÅõÀÚ¿¬Â÷
2011-04-04,0.3518096421024655,0.351809642102463,0.351809642102463,534.9,0.5337743863473999,0.5337743863474076,0.5337743863474076,1.0
2011-04-05,0.8099177116573179,1.164576722362498,1.164576722362498,537.66,0.51598429613011,1.0525128744878431,1.0525128744878431,1.0
2011-04-06,1.508387085960834,2.6905301332095677,2.6905301332095677,533.98,-0.68444742030278,0.3608615569672846,0.3608615569672846,1.0
2011-04-07,0.1539786470693575,2.8486516221770453,2.8486516221770453,534.97,0.18540020225477,0.546930797278522,0.546930797278522,1.0
2011-04-08,-0.054824076318732005,2.7922657989189137,2.7922657989189137,534.2,-0.14393330467128,0.4022102770364411,0.4022102770364411,1.0
2011-04-11,0.1312073014236085,2.9271367569458695,2.9271367569458695,533.11,-0.20404342942719,0.19734616396647198,0.19734616396647198,1.0
2011-04-12,-1.0639623951030903,1.832030727495626,1.832030727495626,525.11,-1.50062838813753,-1.3062436567304325,-1.3062436567304325,1.0
2011-04-13,1.261114940543905,3.116249681259342,3.116249681259342,528.7,0.68366627944622,-0.6315077246926815,-0.6315077246926815,1.0
2011-04-14,0.7563632539741759,3.8961831027246374,3.8961831027246374,531.47,0.52392661244562,-0.11088974927637718,-0.11088974927637718,1.0
2011-04-15,1.1683230121232828,5.110026118631517,5.110026118631517,534.58,0.58516943571602,0.4736307935195416,0.4736307935195416,1.0
2011-04-18,-1.0853451115277541,3.9692195884273973,3.9692195884273973,528.52,-1.13360020951027,-0.665338495658363,-0.665338495658363,1.0
2011-04-19,-0.14426674959587601,3.819226574746981,3.819226574746981,526.62,-0.35949443729659,-1.0224410780738658,-1.0224410780738658,1.0
2011-04-20,-0.16068844163690948,3.6524010774445337,3.6524010774445337,532.25,1.06908207056322,0.03571025824158358,0.03571025824158358,1.0
2011-04-21,-0.7891026704419429,2.834477212565223,2.834477212565223,529.58,-0.5016439643024699,-0.466112844415989,-0.466112844415989,1.0
2011-04-22,-0.767312859857878,2.0454150445455843,2.0454150445455843,525.26,-0.81574077570906,-1.278051347592335,-1.278051347592335,1.0
2011-04-25,0.2355710381890675,2.2858044881903794,2.2858044881903794,528.6,0.6358755663861699,-0.6503025974513688,-0.6503025974513688,1.0
2011-04-26,-1.212315888993678,1.0457774281950494,1.0457774281950494,521.68,-1.30911842603104,-1.9509077923542173,-1.9509077923542173,1.0
2011-04-27,-0.8147907863164595,0.2224657437482902,0.2224657437482902,518.39,-0.63065480754485,-2.5692591061158176,-2.5692591061158176,1.0
2011-04-28,-0.41496707877297395,-0.19342449462278477,-0.19342449462278477,514.67,-0.71760643530932,-3.2684283727398733,-3.2684283727398733,1.0
2011-04-29,-1.0996986863378015,-1.2909960943341625,-1.2909960943341625,511.0,-0.7130782831717299,-3.958200202984574,-3.958200202984574,1.0
2011-05-02,0.63683571814242,-0.6623819004402898,-0.6623819004402898,516.76,1.12720156555772,-2.875615532082798,-2.875615532082798,1.0
2011-05-03,-1.2213843197901455,-1.8756759915613208,-1.8756759915613208,512.51,-0.8224320767861201,-3.6743976243280185,-3.6743976243280185,1.0
2011-05-04,-0.7458091490128514,-2.607496177423274,-2.607496177423274,510.53,-0.3863339251917,-4.046536104950493,-4.046536104950493,1.0
2011-05-06,-1.3736435955289517,-3.945322068707391,-3.945322068707391,506.42,-0.80504573678333,-4.819005375333518,-4.819005375333518,1.0
2011-05-09,-0.1496511151547545,-4.089068965389886,-4.089068965389886,504.37,-0.40480233798033005,-5.204300266887096,-5.204300266887096,1.0
2011-05-11,0.6164769960592416,-3.497800138855267,-3.497800138855267,505.18,0.16059638757262001,-5.05206179754153,-5.05206179754153,1.0
2011-05-12,-0.8891919779530809,-4.355889958568815,-4.355889958568815,504.46,-0.14252345698563,-5.187384881404256,-5.187384881404256,1.0
2011-05-13,0.9663633266900128,-3.431620354989373,-3.431620354989373,507.28,0.5590135986996,-4.657369469608586,-4.657369469608586,1.0
2011-05-16,-0.09295844056788002,-3.5213888147890504,-3.5213888147890504,506.07,-0.23852704620721,-4.88478742998899,-4.88478742998899,1.0
2011-05-17,-0.42110881802301103,-3.9276687539961053,-3.9276687539961053,501.72,-0.8595648823285199,-5.702364394992932,-5.702364394992932,1.0
2011-05-18,-0.8340840313504582,-4.728992727465142,-4.728992727465142,498.94,-0.5540939169257699,-6.224861857685104,-6.224861857685104,1.0
2011-05-19,-3.516382305427474,-8.07908556939908,-8.07908556939908,487.03,-2.38706056840501,-8.463331203247627,-8.463331203247627,1.0
2011-05-20,-0.8110408631922379,-8.824601747251226,-8.824601747251226,486.24,-0.16220766687883,-8.611810698041445,-8.611810698041445,1.0
2011-05-23,-2.6620460452957007,-11.251732830721128,-11.251732830721128,472.94,-2.7352747614346797,-11.111528774950063,-11.111528774950063,1.0
2011-05-24,0.36284113928725104,-10.929717607026411,-10.929717607026411,474.32,0.29179177062629996,-10.852159530879835,-10.852159530879835,1.0
2011-05-25,-1.7683486011404095,-12.504790699754375,-12.504790699754375,471.23,-0.6514589306797,-11.432921099124016,-11.432921099124016,1.0
2011-05-26,1.2926224848545105,-11.37380795116889,-11.37380795116889,479.96,1.85259851877002,-9.792128707288516,-9.792128707288516,1.0
