회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)아이오케이컴퍼니,078860,2020/12,-1.17,-4.04,-56.98,  영상ㆍ오디오 기록물 제작 및 배급업,2006/06/27,,147.1,147.1,89.74,14.94,46.78,348.54,4.41,-2.15,999999999,8.16,78.3,46.66,11.32,-14.07,-8.33,-0.64,-1.98,-2.84,0.14,0.2,0.2,204.54,6.43,36.71,9.94,1.78,56.76,0.02,0.01,-9.27,-6.29,0,-80,-92.17,-41.69,149.08,0,0,413.16,,-58.14,68.13,0.24,10.06,0.45,0.45,,,,,,2028.23,,,,1.43,670,1798.27,9.67,176.73,-76.73,-86.17
(주)아이윈,090150,2017/12,-3.07,-7.21,-8.14,  자동차 및 트레일러 제조업,2006/10/20,,112.79,72.61,26.05,5.68,145.38,820.63,35.02,-3.59,-3.42,2.98,122.47,50.09,17.6,-3.65,-3.07,-3.44,-3.65,-8.56,1,2.34,2.12,5.34,5.92,5.88,62.04,68.39,61.62,0.01,0.19,-0.14,-8.41,-244.14,-330,-4.66,12.61,-10.26,-9,-333.53,10062.81,,-367.43,40.75,1.07,5.97,1.89,2.92,,,,,,11783.59,,,,12.12,74.66,0,12.12,108.01,-8.01,-25.35
(주)아이윈,090150,2018/12,-2.55,-6.78,-3.5,  자동차 및 트레일러 제조업,2006/10/20,,104.92,61.45,13.17,2.08,170.9,719.46,41.09,-2.38,-1.5,2.93,150.59,44.41,17.09,-2.8,-2.69,-2.56,-2.66,-6.86,0.95,2.45,1.8,5.24,5.66,7.1,51.41,69.7,64.5,0.01,0.26,3.2,-12.33,0,-278,31.95,14.95,-8.51,6.4,0,9710.38,,-272.27,36.91,1.05,5.09,2.01,3.26,,,,,,13450.36,,,,13.4,64.41,0,14.34,99.27,0.73,-18.74
(주)아이즈비전,031310,2019/12,-0.17,-1.1,-17.87,  우편 및 통신업,1997/07/25,,779.31,672.24,357.02,69.13,37.3,1130.03,10.69,-2.1,999999999,2.03,28.42,79.3,19.88,-0.35,-0.2,0.7,-0.3,-0.4,0.85,1.14,3.34,6.35,7.67,36.19,10.09,57.53,47.57,0.01,0,4.39,-2.69,0,-67,-4.16,-29.39,19.29,-29.45,0,8340.32,,-28.83,72.83,0.99,5.96,1.15,1.4,,,,,,21883.39,,,,13.9,101.37,5323.52,16.64,93.02,6.98,-1.18
(주)아이톡시,052770,2014/12,-20.2,-47.06,-20.5,  도매 및 상품 중개업,2002/08/22,,64.47,64.47,1.89,-21.76,168.4,89.42,30.4,-6.56,-10.21,6.16,162.39,39.49,53.84,-12.08,-21.94,-11.01,-11.12,-25.9,0.92,2.14,1.67,0,3.51,11.73,31.11,0,104.11,0.01,0,-20.22,-37.35,0,-275,-6.57,-4.61,-36.21,0,0,1246.27,,-150.52,37.26,0.92,25.34,2.05,2.05,,,,,,6884.56,,,,26,657.54,2019.49,25.07,114.68,-14.68,-87.52
(주)아이톡시,052770,2019/12,-24.15,-76.24,-73.97,  도매 및 상품 중개업,2002/08/22,,116.54,116.54,71.5,6.61,66.95,140.66,23.95,-15.73,-15.03,4.43,89.21,46.56,52.41,-55,-76.75,-17.29,-17.31,-70.88,0.31,1.29,0.82,0,4.22,2.57,142.24,0,86.48,0,0.6,-44.53,602.12,0,-731,-22.51,-0.48,-63.21,0,0,120.12,,-66.07,59.9,0.23,10.04,0.51,0.51,,,,,,148.9,,,,1.74,45.35,729.41,3.94,896.6,-796.6,-1945.53
(주)아이티엠반도체,084850,2016/12,-9.73,-47.37,-6.95,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019/11/07,,68,47.11,4.69,-17.8,417.55,538.8,65.61,1.42,0.7,3.68,321.79,37.82,17.97,3.9,-11.05,3.53,3.44,16.74,0.88,4.29,1.37,7.48,6.64,14.34,25.45,48.83,54.97,0.01,0,-4.61,-15.01,0,0,-16.51,-10.75,7.57,-7.02,1460.62,15156.53,,591.84,19.32,1.01,1.58,2.47,3.69,,,,,,41876.09,,,,22.17,44.26,69.57,24.59,64.82,35.18,-44.95
(주)아이팩토리,053810,2011/12,-10.64,-43.43,-37.95,  기타 기계 및 장비 제조업,2002/07/19,2016/09/19,28.41,26.22,1.23,-43.01,342.79,162.88,61.26,-1.1,-1.07,8.22,367.21,17.07,14.38,-7.92,-17.07,-4.82,-4.93,-19.8,0.62,2.5,0.8,52.61,7.02,7.04,51.85,6.94,51.96,0.14,0.02,-9.23,-21.84,0,-426,-1.83,2.58,-41.78,12.44,0,2360.96,,-186.92,22.58,0.79,1.04,2.82,2.98,,,,,,9627.11,,,,10.67,17.14,433.47,16.29,124.63,-24.63,-104.81
(주)아이팩토리,053810,2012/12,-23.65,-164.57,-60.15,  기타 기계 및 장비 제조업,2002/07/19,2016/09/19,16.5,15.58,0.66,-64.73,2292.64,117.66,74.05,-1.42,-3.31,7.69,2086.62,12.79,1.08,-25.24,-81.86,-7.13,-7.29,-50.74,0.29,2.01,0.34,27.53,8.85,6.74,54.16,13.26,41.22,3.12,0.03,-19.37,-85.08,0,-3794,-7.34,-15.21,-39.58,-56.14,0,920.43,,-232.33,4.18,0.35,0.44,1.91,2.05,,,,,,-3379.28,,,,-4.64,-6.49,-159.71,-14.35,0,0,0
(주)아이팩토리,053810,2014/12,-18.21,-103.06,-58.95,  기타 기계 및 장비 제조업,2002/07/19,2016/09/19,27.19,24.29,0.36,-52.48,482.51,59.27,56.5,-2.43,-3.29,7.96,468.34,19.6,-10.22,-57.62,-101.19,-10.3,-10.37,-56.97,0.18,0.99,0.23,16.04,2.92,1.81,201.43,22.76,125.1,0,0.06,1.73,-14.86,0,-474,9.86,8.38,-18.7,1418.86,0,335.35,,-193.24,17.17,0.2,0.28,0.82,0.86,,,,,,-5308.41,,,,-6.37,-9.63,-471.85,-35.7,0,0,0
(주)아이팩토리,053810,2015/12,-8.12,-33.16,-26.61,  기타 기계 및 장비 제조업,2002/07/19,2016/09/19,223.93,221.48,12.1,23.14,149.57,570.67,46.16,1.61,2.18,3.54,145.24,41.8,32.49,17.66,-47.63,3.02,3.01,11.96,0.17,0.68,0.23,11.23,1.32,2.54,143.64,32.51,276.23,0.01,0.1,-46.35,33.45,0,-103,-62.37,-61.17,14.44,-88.28,0,215.23,,38,40.07,0.21,0.29,0.62,0.66,,,,,,4311.89,,,,9.64,20.61,615.18,39.51,18.99,81.01,-120.55
(주)아인스엠앤엠,040740,2010/12,-9.1,-28.47,-9.86,  소매업; 자동차 제외,2004/01/28,2012/05/01,91.15,63.27,0.98,-5.16,188.54,108.23,45.94,0.7,-0.89,10.4,134.99,53.22,37.83,3.86,-12.47,3.56,2.82,7.2,0.73,1.86,1.63,4.64,4.3,5.64,64.75,78.65,84.86,0.01,0.3,4.74,-20.71,0,-189,7.24,15.05,-2.91,12.55,-37.99,1426.17,,55.08,34.66,0.65,31.39,1.32,1.85,,,,,,-3000.62,,,,-2.85,-121.05,-2887.52,-3.99,0,0,0
(주)알덱스,025970,2010/12,-22.67,-65.96,-88.19,  1차 금속 제조업,1995/09/07,2011/12/20,259.62,239.54,50.44,27.1,27.13,82.61,8.03,0.89,999999999,1.88,71.09,44.08,0,2.13,-93.91,1.25,0.51,1.25,0.24,0.59,0.44,6.36,1.14,2.01,181.87,57.38,319.44,0.01,0.18,-82.13,-52.08,0,-387,-97.35,-81.92,-82.38,-84.23,0,408.61,,8.72,78.66,0.26,0.94,0.54,0.59,,,,,,-53413.77,,,,-77.98,-1786.94,-1843.49,-97.96,0,0,0
(주)알에프세미,096610,2017/12,-1.5,-2.56,-3.11,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/11/20,,142.3,67.72,25.42,13.62,80.03,1280.53,31.92,0.3,-1.88,2.73,97.57,45.81,12.78,0.35,-2.21,0.25,0.24,0.41,0.68,1.17,1.25,2.87,6.16,27.56,13.24,127.34,59.3,0.01,0,3.87,-3.78,-230.1,-167,2.38,4.38,3.29,7.5,-91.64,7657.35,,27.03,55.54,0.86,1.58,1.47,3.03,,,,,,23459.72,,,,25.05,60.65,111.77,37.73,80.62,19.38,-5.86
(주)알에프세미,096610,2019/12,-2.65,-5.37,-18.17,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/11/20,,132.62,30.81,11.21,12.99,105.66,1228.04,39.52,-0.47,-0.8,4.18,97.09,52.79,19.35,-1.85,-6.49,-0.71,-0.76,-1.53,0.41,0.83,0.84,1.17,7.16,59.57,6.13,311.25,51,0,0,-2.33,-5.42,-1264.46,-348,-11.65,-7.7,3.04,34.78,-224.35,5226.79,,-96.94,48.62,0.47,1.06,0.8,2.48,,,,,,23575.99,,,,22.99,63.48,167.03,55.54,73.87,26.13,-11.68
(주)알에프세미,096610,2020/12,-21.35,-46.59,-20.08,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/11/20,,129.83,34.97,10.58,11.3,135.39,785.47,46.27,-11.79,-12.74,4.4,119.67,49.16,-33.12,-62.01,-59.89,-22.09,-22.11,-48.28,0.36,0.78,0.73,0.93,7.86,60.14,6.07,393.14,46.46,0,0,-14.43,-25.22,0,-2411,-12.04,-7.85,-20.32,-24.16,0,4156.96,,-2577.81,42.48,0.4,0.96,0.7,2.8,,,,,,-5326.08,,,,-6.07,-16.08,-49.72,-15.7,0,0,0
(주)알에프텍,061040,2014/12,-3.35,-6.8,-18.7,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2002/05/16,,114.56,71.18,32.6,8.15,133.49,1656.42,21.4,-3.11,-5.06,4.63,83.77,64.12,6.89,-1.37,-1.72,-2.29,-2.68,-6.24,1.95,4.55,5.83,7.06,13.06,5.86,62.3,51.72,27.94,0.06,0.07,-7.22,-6.75,0,-583,8.7,6.44,-13.43,-26.78,0,38497.57,,-528.45,42.83,1.61,9.4,2.93,5.02,,,,,,44971.12,,,,22.42,102,173.64,11.06,93.08,6.92,-15.51
