회사명,거래소코드,회계년도,감사의견코드(IFRS),감사의견(IFRS),기수(IFRS),소속코드,업종코드,회계년월,산업명,산업코드,산업명.1,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),year,month
(주)씨티네트웍스,189540,2016/12,,,,4,1,2019/12,    통신 및 방송 장비 제조업,32604,    통신 및 방송 장비 제조업,    통신 및 방송 장비 제조업,2013/12/24,20200512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,12
(주)씨티네트웍스,189540,2017/12,,,,4,1,2019/12,    통신 및 방송 장비 제조업,32604,    통신 및 방송 장비 제조업,    통신 및 방송 장비 제조업,2013/12/24,20200512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,12
(주)씨티네트웍스,189540,2018/12,,,,4,1,2019/12,    통신 및 방송 장비 제조업,32604,    통신 및 방송 장비 제조업,    통신 및 방송 장비 제조업,2013/12/24,20200512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,12
(주)씨티네트웍스,189540,2019/12,,,,4,1,2019/12,    통신 및 방송 장비 제조업,32604,    통신 및 방송 장비 제조업,    통신 및 방송 장비 제조업,2013/12/24,20200512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,12
(주)씨티앤티,50470,2011/12,,,,4,1,2011/12,    자동차용 엔진 및 자동차 제조업,33001,    자동차용 엔진 및 자동차 제조업,    자동차용 엔진 및 자동차 제조업,2002/04/23,20120501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,12
(주)아라온테크,41060,2011/12,UQ,,16.0,4,1,2013/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2000/06/07,20140508.0,304.41,304.41,40.06,40.07,24.98,129.7,17.17,-68.88,-94.45,8.97,50.4,59.67,8.09,-456.43,-623.12,-80.59,-80.7,-110.17,-143.78,-110.02,0.18,0.24,0.22,18.94,2.54,6.38,57.24,19.27,143.79,0.01,0.07,-2.19,-80.89,-79.85,0.0,-3403.0,-68.88,-91.31,0.85,0.0,0.0,446.59,,-2038.35,80.01,0.51,8.94,0.93,0.98,,,,,,-38716.03,,,,-301.03,-10283.29,-128343.27,-546.31,0.0,0.0,2011,12
(주)아라온테크,41060,2012/12,UQ,,17.0,4,1,2013/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2000/06/07,20140508.0,263.46,263.46,17.2,53.77,50.16,74.09,18.76,10.82,999999999.0,3.61,20.02,86.67,13.41,3.61,-35.85,7.9,7.02,-69.73,-95.01,9.56,1.95,2.65,7.2,0.0,7.53,37.49,9.74,0.0,48.49,0.03,0.0,248.47,-2.56,-18.9,0.0,-427.0,-87.07,-67.79,41.51,0.0,0.0,1096.26,,39.54,66.6,1.96,116.17,2.66,2.66,,,,,,-6789.73,,,,-54.18,-13948.33,0.0,-27.49,0.0,0.0,2012,12
(주)아라온테크,41060,2013/12,DU,"2013년 10월 23일 횡령 배임 혐의발생 및 코스닥시장상장규정 제38조제2항제5호의 종합적 요건에 의한 상장폐지 가능성 등에 의해 상장적격성 실질심사 대상으로 결정, 특허권 및 금융보증채무 감사범위제한이 있음.",18.0,4,1,2013/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2000/06/07,20140508.0,378.69,378.69,49.64,29.79,12.79,80.2,2.53,-9.41,999999999.0,15.13,67.13,40.48,0.37,-48.24,17.16,-14.44,-16.35,5.81,7.6,-21.37,0.34,0.44,1.0,0.0,1.6,5.25,69.47,0.0,227.68,0.01,0.0,-84.41,-18.7,8.24,0.0,29.0,2842.22,262.97,-62.03,0.0,0.0,170.88,,-82.43,88.66,0.38,5.2,0.51,0.51,,,,,,2834.14,,,,27.82,197.89,201.48,73.62,58.2,41.8,2013,12
(주)아이디에스,78780,2011/12,UQ,,13.0,4,1,2015/12,    전자부품 제조업,32602,    전자부품 제조업,    전자부품 제조업,2005/11/29,20160428.0,79.19,68.46,29.15,-12.35,162.18,613.94,25.84,-4.66,-58.15,6.16,138.96,47.0,0.5,-4.05,-5.49,-6.17,-7.62,-10.33,-23.99,-17.69,1.88,4.37,3.27,31.08,13.37,7.31,49.94,11.74,27.3,0.0,0.03,3.34,2.21,-19.01,0.0,-943.0,-10.25,-13.0,27.3,13.58,0.0,14979.1,,-606.85,38.14,2.06,3.96,4.44,5.17,,,,,,-13095.42,,,,-10.35,-23.3,-66.82,-5.56,0.0,0.0,2011,12
(주)아이디에스,78780,2012/12,UQ,,14.0,4,1,2015/12,    전자부품 제조업,32602,    전자부품 제조업,    전자부품 제조업,2005/11/29,20160428.0,83.0,65.4,15.84,-9.02,148.21,481.83,38.66,-2.65,-5.08,6.57,138.81,44.08,2.27,-2.91,-4.09,-4.38,-5.56,-7.82,-19.98,-14.19,1.91,4.89,3.52,24.6,12.13,7.4,49.31,14.84,30.1,0.0,0.03,-2.55,-10.37,-5.33,0.0,-592.0,-4.38,-5.43,-15.94,31.54,0.0,12138.03,,-352.62,40.29,1.88,4.17,4.19,5.06,,,,,,30041.0,,,,26.5,55.93,162.82,13.09,89.88,10.12,2012,12
