회사명,거래소코드,회계년도,감사의견코드(IFRS),감사의견(IFRS),기수(IFRS),소속코드,업종코드,회계년월,산업명,산업코드,산업명.1,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),year,month
(주)극동자동화,272420,2017/12,,,,4,1,2017/12,    전기 및 통신 공사업,64203,    전기 및 통신 공사업,    전기 및 통신 공사업,2017/06/28,20181115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,12
(주)금오하이텍,165270,2013/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,12
(주)금오하이텍,165270,2014/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)금오하이텍,165270,2015/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)금오하이텍,165270,2016/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,12
(주)나노트로닉스,10670,2011/12,UQ,,37.0,4,1,2012/12,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",32702,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996/05/14,20140411.0,129.2,117.95,2.28,16.8,139.61,322.22,44.96,0.21,-0.02,9.82,61.54,74.32,32.66,2.53,-9.94,1.85,0.92,-3.62,-8.09,2.06,0.36,0.81,1.24,5.31,0.87,5.26,69.39,68.8,420.34,0.0,1.09,-15.82,6.92,-6.98,0.0,-139.0,-36.77,-17.78,19.31,-5.03,0.0,1360.6,,34.46,41.73,0.33,17.03,0.52,0.57,,,,,,2067.74,,,,4.26,265.56,316.59,12.08,80.74,19.26,2011,12
(주)나노트로닉스,10670,2012/12,UQ,,38.0,4,1,2012/12,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",32702,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996/05/14,20140411.0,128.9,116.35,11.65,15.69,123.72,330.81,45.27,1.4,-0.57,10.55,67.19,69.97,47.33,17.18,-16.38,7.42,6.67,-6.36,-14.7,15.41,0.39,0.9,1.39,5.84,0.88,6.06,60.22,62.55,414.55,0.0,1.53,13.53,6.24,13.78,0.0,-257.0,-44.98,24.23,0.02,11.9,670.24,1489.91,,255.99,44.7,0.3,32.19,0.54,0.59,,,,,,1143.73,,,,2.22,266.99,320.94,5.89,155.74,-55.74,2012,12
(주)나이코,192240,2014/12,,,,4,1,2015/12,    기타 종이 및 판지 제품 제조업,31709,    기타 종이 및 판지 제품 제조업,    기타 종이 및 판지 제품 제조업,2014/02/28,20161223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)나이코,192240,2015/12,,,,4,1,2015/12,    기타 종이 및 판지 제품 제조업,31709,    기타 종이 및 판지 제품 제조업,    기타 종이 및 판지 제품 제조업,2014/02/28,20161223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)네오퍼플,28090,2011/12,UQ,,46.0,4,1,2012/12,    기타 식품 제조업,31007,    기타 식품 제조업,    기타 식품 제조업,1996/11/29,20130503.0,85.06,69.66,0.16,-8.83,164.34,58.57,49.25,-2.55,-4.02,6.77,131.41,50.29,13.84,-11.27,-16.22,-7.74,-8.49,-12.21,-33.54,-22.43,0.75,1.99,1.51,8.27,6.08,11.68,31.24,44.14,60.02,0.01,0.37,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,605.51,,-68.25,37.83,0.69,2.6,1.5,1.83,,,,,,-285.34,,,,-0.66,-2.28,-19.46,-0.88,0.0,0.0,2011,12
(주)네오퍼플,28090,2012/12,DS,"당기순손실 13,254백만원(영업손실 4,588백만원)이 발생한 상황은 회사의 계속기업으로서 존속능력에 중대한 의문을 제기하는 사항이나, 이러한 계속기업 불확실성을 해소할 만한 감사증거를 확보하지 못하였음.",47.0,4,1,2012/12,    기타 식품 제조업,31007,    기타 식품 제조업,    기타 식품 제조업,1996/11/29,20130503.0,98.41,84.59,30.92,-1.06,204.43,41.58,54.31,-2.52,-8.2,8.29,104.65,65.62,14.27,-18.38,-53.08,-10.43,-11.36,-32.81,-103.49,-34.58,0.62,1.88,1.8,6.71,14.7,25.25,14.45,54.42,24.83,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.35,,-77.06,32.85,0.47,5.46,0.94,1.1,,,,,,-11813.58,,,,-29.25,-258.29,-943.07,-47.31,0.0,0.0,2012,12
(주)넥스지,81970,2011/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,12
(주)넥스지,81970,2012/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,12
(주)넥스지,81970,2013/12,UQ,,13.0,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,1102.66,956.89,502.57,57.42,6.67,1159.27,0.0,999999999.0,999999999.0,0.0,39.31,63.15,42.96,6.85,8.09,4.48,3.45,4.07,4.57,3.68,0.5,0.54,1.37,6.03,3.94,18.52,19.71,60.55,92.67,0.01,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,3111.51,,213.03,93.75,0.73,7.78,0.8,0.92,,,,,,7734.19,,,,21.72,335.72,0.0,43.15,70.17,29.83,2013,12
(주)넥스지,81970,2014/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)넥스지,81970,2015/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)넥스지,81970,2016/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,12
(주)넥스지,81970,2017/12,DS,,17.0,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2007/08/20,20181011.0,796.01,716.56,221.13,54.43,10.2,1272.29,0.0,-169.56,999999999.0,0.0,41.61,62.25,44.97,-2.77,9.81,-0.98,-1.48,5.24,5.78,-1.63,0.53,0.59,1.42,8.6,4.91,21.65,16.86,42.42,74.37,0.01,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,3747.93,,-103.82,90.74,0.76,12.27,0.86,0.95,,,,,,10614.72,,,,26.29,603.28,0.0,49.17,64.85,35.15,2017,12
(주)넷웨이브,47730,2011/12,UQ,,19.0,4,1,2011/12,    통신 및 방송 장비 제조업,32604,    통신 및 방송 장비 제조업,    통신 및 방송 장비 제조업,2001/05/10,20121117.0,178.88,120.33,7.44,28.63,57.49,140.54,15.96,-52.67,-498.94,2.94,55.22,64.93,6.27,-42.64,-42.41,-31.67,-32.21,-32.04,-51.31,-51.59,0.76,1.21,3.49,3.3,3.33,10.13,36.01,110.67,109.76,0.01,0.0,-38.1,-20.5,-18.06,0.0,-461.0,712.27,154.12,-42.02,-30.23,0.0,943.81,,-402.46,63.5,0.66,8.74,0.96,1.36,,,,,,-2726.89,,,,-15.32,-90.59,-102.74,-17.96,0.0,0.0,2011,12
(주)다린,204690,2014/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2014/09/18,20170802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)다린,204690,2015/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2014/09/18,20170802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)다린,204690,2016/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2014/09/18,20170802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,12
(주)대국,42340,2011/12,,,,4,1,2011/12,    상품 종합 도매업,74608,    상품 종합 도매업,    상품 종합 도매업,2000/06/22,20120413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,12
(주)대원모방,311840,2018/12,,,,4,1,2018/12,    직물직조 및 직물제품 제조업,31302,    직물직조 및 직물제품 제조업,    직물직조 및 직물제품 제조업,2018/12/27,20200227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,12
(주)더블유게임즈,192080,2015/12,,,,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2015/11/04,20190312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)더블유게임즈,192080,2016/12,UQ,,5.0,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2015/11/04,20190312.0,562.11,562.11,26.67,60.73,15.53,4401.31,9.96,416.57,999999999.0,0.25,30.19,73.87,0.0,28.82,31.3,11.48,10.27,11.15,12.91,11.86,0.36,0.41,1.36,0.0,9.72,0.0,0.0,0.0,37.57,0.03,0.1,0.0,0.0,0.0,0.0,2952.0,0.0,0.0,0.0,0.0,0.0,9056.76,,2610.46,86.56,0.41,137.85,0.48,0.48,,,,,,72683.76,,,,16.63,6437.66,14175.84,46.7,32.46,67.54,2016,12
(주)더블유게임즈,192080,2017/12,UQ,,6.0,4,1,2017/12,    소프트웨어 개발 및 공급업,105802,    소프트웨어 개발 및 공급업,    소프트웨어 개발 및 공급업,2015/11/04,20190312.0,34.19,34.19,8.07,-20.29,146.45,4599.1,55.08,3.97,3.2,6.89,220.47,10.54,0.0,25.37,11.16,11.72,11.3,4.97,9.04,20.7,0.45,0.82,0.63,0.0,11.3,0.0,0.0,0.0,32.29,0.03,0.09,105.19,128.21,6.99,-27.59,2204.0,69.2,681.23,-67.44,0.0,80.61,18324.28,,4648.98,40.58,0.81,210.14,1.49,1.49,,,,,,105974.41,,,,10.63,5547.41,14702.74,33.18,28.19,71.81,2017,12
(주)데코앤이,17680,2011/12,UQ,,26.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,113.0,44.24,8.26,10.08,556.03,70.05,0.61,0.58,0.67,105.85,81.33,87.6,44.26,1.33,-0.65,2.43,1.97,-0.96,-6.84,14.01,1.48,10.52,12.14,2.85,8.75,5.45,66.99,128.07,41.74,0.01,0.16,51.1,-19.88,-6.62,0.0,-68.0,-8.47,-17.04,-20.27,-15.66,0.0,3815.03,,50.83,15.24,0.9,29.17,1.68,4.1,,,,,,24616.4,,,,21.46,394.49,2066868.41,12.92,60.51,39.49,2011,12
(주)데코앤이,17680,2012/12,UQ,,28.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,116.01,39.16,5.23,11.66,407.26,70.36,38.02,-1.09,0.33,17.43,78.61,84.5,49.39,-1.98,-1.08,-2.89,-3.22,-1.75,-10.19,-18.73,1.63,9.47,11.84,2.99,8.72,5.31,68.76,122.07,41.84,0.01,0.16,-12.85,-22.34,0.44,0.0,-65.27,-13.39,-2.93,-25.08,-18.44,0.0,3324.76,,-65.76,19.71,1.01,28.51,1.89,5.13,,,,,,22473.64,,,,25.22,415.85,2270065.03,13.54,63.36,36.64,2012,12
(주)데코앤이,17680,2013/12,UQ,,29.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,128.12,61.03,10.95,17.32,208.41,126.7,38.51,-1.81,6.75,7.58,65.09,78.89,48.56,-3.69,10.56,-4.95,-5.24,15.01,56.95,-19.88,1.42,5.39,7.71,2.94,8.82,6.8,53.68,124.06,41.4,0.01,0.2,-20.09,9.48,80.06,0.0,357.0,-40.18,49.1,2.21,-19.21,0.0,2656.89,,-97.96,32.42,0.96,30.71,1.74,4.27,,,,,,34682.15,,,,35.56,1072.73,406828.76,26.15,32.04,67.96,2013,12
(주)데코앤이,17680,2014/12,UQ,,30.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,160.09,63.21,18.53,26.14,105.97,104.18,14.34,-7.23,-6.68,4.95,62.5,69.66,41.79,-7.55,-6.07,-10.4,-10.71,-8.61,-22.57,-28.08,1.42,3.72,5.82,3.41,11.69,8.06,45.3,107.12,31.23,0.01,0.14,-19.24,-45.09,-17.77,0.0,-190.0,-56.99,-21.05,-51.52,-43.97,0.0,2145.68,,-162.07,48.55,1.08,46.34,1.88,4.17,,,,,,7446.39,,,,13.9,535.56,16198.36,6.95,118.08,-18.08,2014,12
(주)데코앤이,17680,2015/12,UQ,,31.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,184.0,63.59,21.51,32.94,69.71,106.5,17.02,-2.95,-3.92,13.48,47.25,72.16,53.57,-5.27,-6.84,-5.8,-6.23,-8.07,-15.02,-11.58,1.18,2.2,4.06,2.64,11.02,7.41,49.23,138.15,33.13,0.01,0.16,-40.55,1.33,22.98,0.0,-74.0,-1.39,-7.02,4.97,13.51,0.0,1066.39,,-56.22,58.92,1.05,46.13,1.67,4.51,,,,,,7094.17,,,,13.07,517.42,6070.24,11.14,103.0,-3.0,2015,12
(주)데코앤이,17680,2016/12,UQ,,32.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,209.93,99.92,49.44,36.02,53.88,100.19,14.04,-7.42,-10.36,13.14,48.02,68.79,47.76,-14.67,-15.66,-14.53,-15.15,-16.17,-26.12,-24.47,1.03,1.67,3.5,2.48,11.15,12.43,29.37,147.42,32.75,0.01,0.84,-13.01,-2.29,7.77,0.0,-126.0,65.34,9.52,-6.84,-25.4,0.0,805.2,,-118.14,64.99,0.97,30.46,1.46,3.59,,,,,,3864.79,,,,7.29,170.48,2941.19,6.98,213.94,-113.94,2016,12
(주)데코앤이,17680,2017/12,UQ,,33.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,117.38,64.33,34.02,8.17,94.34,62.8,20.19,-12.04,-46.32,8.67,87.14,55.16,47.23,-20.88,-45.45,-17.28,-17.94,-39.04,-67.27,-30.91,0.86,1.48,2.25,2.83,9.67,12.44,29.33,128.9,37.73,0.01,16.02,-15.44,5.67,-16.34,0.0,-296.0,-29.38,51.83,-15.27,-26.93,0.0,657.06,,-137.21,51.46,0.84,24.22,1.39,2.73,,,,,,-10005.99,,,,-17.86,-624.98,-9239.57,-21.36,0.0,0.0,2017,12
(주)데코앤이,17680,2018/12,DS,,34.0,4,1,2018/12,    봉제의복 제조업,31401,    봉제의복 제조업,    봉제의복 제조업,1993/09/03,20191120.0,130.31,93.29,12.6,16.07,121.53,51.48,32.48,-2.57,-2.5,16.27,68.44,69.1,47.08,-13.32,-20.49,-9.99,-11.22,-17.26,-35.94,-23.36,0.84,1.75,2.26,3.82,10.07,13.37,27.3,95.57,36.26,0.01,1.94,10.19,18.73,4.16,0.0,-107.0,-2.51,-18.19,48.74,-6.48,0.0,523.57,,-69.74,45.14,0.75,32.65,1.34,2.07,,,,,,6663.78,,,,10.02,426.95,1840.14,12.91,115.78,-15.78,2018,12
(주)동서,26960,2011/12,UQ,,37.0,4,1,2015/12,    음ㆍ식료품 및 담배 도매업,74603,    음ㆍ식료품 및 담배 도매업,    음ㆍ식료품 및 담배 도매업,1996/05/22,20160715.0,493.51,443.74,85.93,27.44,13.15,5555.16,0.0,999999999.0,999999999.0,0.0,74.21,34.41,17.8,11.85,22.52,7.4,5.78,10.98,12.22,6.49,0.49,0.55,0.83,16.27,10.01,11.63,31.39,22.43,36.45,0.04,0.07,15.19,9.81,8.21,-22.12,3312.0,12.13,40.07,-22.23,53.89,2.77,14871.09,,1762.42,88.38,1.03,5.83,1.18,1.28,,,,,,156005.52,,,,16.4,196.12,1023.52,35.2,20.48,79.52,2011,12
(주)동서,26960,2012/12,UQ,,38.0,4,1,2015/12,    음ㆍ식료품 및 담배 도매업,74603,    음ㆍ식료품 및 담배 도매업,    음ㆍ식료품 및 담배 도매업,1996/05/22,20160715.0,893.49,844.61,218.92,42.1,11.11,3073.34,0.0,63452.26,999999999.0,0.0,58.44,47.4,18.22,11.17,27.29,6.7,5.19,12.68,14.1,5.82,0.46,0.52,0.79,15.41,9.85,12.1,30.18,23.68,37.06,0.03,0.08,3.73,7.94,9.86,25.82,2084.0,-2.78,-13.45,48.69,-19.33,-2.26,7767.94,,867.45,90.0,0.98,5.8,1.13,1.22,,,,,,182101.51,,,,17.73,235.21,1408.78,39.61,18.03,81.97,2012,12
(주)동서,26960,2013/12,UQ,,39.0,4,1,2015/12,    음ㆍ식료품 및 담배 도매업,74603,    음ㆍ식료품 및 담배 도매업,    음ㆍ식료품 및 담배 도매업,1996/05/22,20160715.0,964.78,917.36,174.81,43.44,10.86,1980.77,0.0,999999999.0,999999999.0,0.0,57.13,48.47,18.57,10.83,26.89,6.02,4.76,11.82,13.04,5.29,0.44,0.49,0.84,17.7,9.94,14.27,25.59,20.62,36.7,0.03,0.07,2.32,8.36,8.59,1.02,1246.0,2.49,6.17,10.79,-0.46,-0.73,4717.86,,511.14,90.2,0.83,5.95,0.92,0.97,,,,,,191093.43,,,,17.17,239.2,1266.91,40.63,19.74,80.26,2013,12
(주)동서,26960,2014/12,UQ,,40.0,4,1,2015/12,    음ㆍ식료품 및 담배 도매업,74603,    음ㆍ식료품 및 담배 도매업,    음ㆍ식료품 및 담배 도매업,1996/05/22,20160715.0,1384.59,1321.02,126.16,45.94,9.45,2118.19,0.0,999999999.0,999999999.0,0.0,55.26,49.51,18.48,10.77,26.06,5.88,4.73,11.45,12.48,5.21,0.44,0.48,0.86,18.88,10.3,19.48,18.74,19.33,35.45,0.03,0.1,6.86,5.66,6.94,3.1,1284.0,-4.03,3.51,7.94,0.83,6.25,5041.68,,543.09,91.37,0.82,6.41,0.9,0.94,,,,,,198261.31,,,,16.86,262.64,1455.45,39.44,21.03,78.97,2014,12
(주)동서,26960,2015/12,UQ,,41.0,4,1,2015/12,    음ㆍ식료품 및 담배 도매업,74603,    음ㆍ식료품 및 담배 도매업,    음ㆍ식료품 및 담배 도매업,1996/05/22,20160715.0,1220.25,1161.33,70.76,45.76,10.2,2246.78,0.0,57058.87,999999999.0,0.0,55.28,49.84,17.47,9.59,24.53,4.92,4.02,10.28,11.18,4.41,0.42,0.46,0.83,17.89,9.99,21.4,17.05,20.41,36.52,0.03,0.15,1.34,6.86,6.07,-4.65,1225.0,5.35,6.16,7.57,13.12,-9.8,5109.27,,489.89,90.74,0.78,6.46,0.84,0.88,,,,,,193098.29,,,,15.37,244.79,1123.07,37.91,21.69,78.31,2015,12
(주)동성하이켐,13450,2011/12,,,,4,1,2014/12,    기초 화학물질 제조업,32001,    기초 화학물질 제조업,    기초 화학물질 제조업,1999/06/11,20150720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,12
(주)동성하이켐,13450,2012/12,,,,4,1,2014/12,    기초 화학물질 제조업,32001,    기초 화학물질 제조업,    기초 화학물질 제조업,1999/06/11,20150720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,12
(주)동성하이켐,13450,2013/12,,,,4,1,2014/12,    기초 화학물질 제조업,32001,    기초 화학물질 제조업,    기초 화학물질 제조업,1999/06/11,20150720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,12
(주)동성하이켐,13450,2014/12,,,,4,1,2014/12,    기초 화학물질 제조업,32001,    기초 화학물질 제조업,    기초 화학물질 제조업,1999/06/11,20150720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)드림티엔터테인먼트,220110,2015/12,UQ,,7.0,4,1,2019/12,"    그 외 기타 전문, 과학 및 기술 서비스업",137309,"    그 외 기타 전문, 과학 및 기술 서비스업","    그 외 기타 전문, 과학 및 기술 서비스업",2015/06/24,20200410.0,71.59,71.59,18.95,-18.46,824.53,206.57,44.71,3.97,4.74,3.01,494.28,46.54,18.3,8.33,5.07,5.52,5.35,3.26,31.9,49.5,0.64,5.94,1.2,0.0,8.76,0.0,0.0,0.0,41.69,0.02,0.11,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,2884.28,,240.16,10.82,0.58,8.99,1.38,1.38,,,,,,3284.7,,,,13.08,182.75,960.43,20.34,46.41,53.59,2015,12
(주)드림티엔터테인먼트,220110,2016/12,UQ,,8.0,4,1,2019/12,"    그 외 기타 전문, 과학 및 기술 서비스업",137309,"    그 외 기타 전문, 과학 및 기술 서비스업","    그 외 기타 전문, 과학 및 기술 서비스업",2015/06/24,20200410.0,117.96,117.96,68.62,9.26,106.51,424.72,0.0,3.74,-4.3,4.45,80.87,60.84,18.8,5.12,-2.99,5.9,4.87,-2.85,-19.55,20.47,0.95,4.0,1.96,0.0,14.33,0.0,0.0,0.0,25.47,0.04,0.07,12.98,-47.32,168.79,0.0,-129.0,-72.41,-61.42,-31.13,0.0,-30.55,2528.24,,129.41,48.42,0.85,15.91,1.85,1.85,,,,,,2827.16,,,,21.36,570.08,1044.32,15.49,78.82,21.18,2016,12
(주)드림티엔터테인먼트,220110,2017/12,UQ,,9.0,4,1,2019/12,"    그 외 기타 전문, 과학 및 기술 서비스업",137309,"    그 외 기타 전문, 과학 및 기술 서비스업","    그 외 기타 전문, 과학 및 기술 서비스업",2015/06/24,20200410.0,113.84,113.84,70.93,9.81,243.82,433.26,2.61,203.01,999999999.0,2.7,66.26,80.73,16.91,5.91,3.85,9.23,9.07,5.91,9.56,25.09,1.53,4.24,5.78,0.0,15.96,0.0,0.0,0.0,22.88,0.04,0.06,52.1,73.49,2.01,0.0,82.0,10.48,-14.62,130.21,0.0,75.72,3839.31,,227.04,29.09,1.12,53.18,2.09,2.09,,,,,,4877.1,,,,21.24,890.15,2408.89,17.57,51.72,48.28,2017,12
(주)드림티엔터테인먼트,220110,2018/12,DS,,10.0,4,1,2019/12,"    그 외 기타 전문, 과학 및 기술 서비스업",137309,"    그 외 기타 전문, 과학 및 기술 서비스업","    그 외 기타 전문, 과학 및 기술 서비스업",2015/06/24,20200410.0,69.71,69.71,8.84,-22.96,583.77,31.18,0.0,26.99,999999999.0,9.24,322.5,52.83,19.02,4.68,-39.94,6.79,5.68,-48.56,-189.23,20.88,1.22,4.46,5.32,0.0,9.8,0.0,0.0,0.0,37.25,0.03,0.1,-42.33,-85.3,-92.12,-1178.26,-832.0,-36.78,-64.03,-90.38,0.0,-54.4,2214.3,,103.53,14.62,0.82,35.8,1.58,1.58,,,,,,-3248.63,,,,-96.26,-937.92,-2428.32,-20.29,0.0,0.0,2018,12
