회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율(IFRS),[제조]총자본증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]유형자산증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]재고자산증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본사업이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]1주당순이익(IFRS),[제조]1주당매출액(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]비유동자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]매입채무회전률(IFRS),[제조]매입채무회전기간(IFRS),[제조]재고자산회전기간(IFRS),[제조]매출채권회전기간(IFRS),[제조]1회전기간(IFRS),[제조]운전자본회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]순운전자본비율(IFRS),[제조]부채비율(IFRS),[제조]자기자본배율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]비유동비율(IFRS),[제조]유동자산구성비율(IFRS),[제조]자기자본구성비율(IFRS),[제조]부가가치(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자본분배율(IFRS),[제조]이윤분배율(IFRS)
(주)ES큐브,050120,2011/12,2002/04/25,,    생활용품 도매업,5,20.38,-5.43,-6.99,0,-11.82,22.79,-28.54,-49.36,30.21,-7.03,-3.51,-6.3,-7.22,-126,1794.04,0.9,1.03,1.74,73.04,16.24,13.43,27.19,5,22.47,3.52,0.01,1.53,27.77,1.85,1.9,388.16,380.23,31.15,30.83,15.56,336.81,-142.77,67.56,41.53,86.54,7961.63,17.6,565.75,1105781.81,19.09,123.24,-23.24,-36.84
(주)ES큐브,050120,2012/12,2002/04/25,,    생활용품 도매업,5,5.94,-1.23,1.88,0,-0.8,9.82,-16.79,7.06,28.36,1.17,2.18,1.15,1.31,22,1888.5,0.98,1.12,1.59,111.17,17.59,22.03,16.57,3.28,20.75,0.13,0.01,2.08,31.52,2.57,2.63,484.22,471.49,68.9,27.76,12.02,340.97,20.03,72.83,34.99,89.27,11617.33,26,832.22,2361246.32,26.3,85.34,14.66,4.45
(주)ES큐브,050120,2013/12,2002/04/25,,    생활용품 도매업,5,3.72,6.34,9.61,0,-34.47,-48.39,108.04,3.74,25.75,-32.19,1.17,-32,-35.29,-469,1456.18,0.99,1.1,2.08,109.46,18.07,31.02,11.77,3.33,20.2,0.08,0.01,1.69,39.66,1.9,1.94,1208.64,1192.79,339.36,62.78,8.69,239.57,9.51,34.29,68.45,92.01,-5722.54,-12.05,-625.54,-3076633.35,-12.49,0,0,0
(주)ES큐브,050120,2014/12,2002/04/25,,    생활용품 도매업,5,-18.84,-5.46,-5.69,0,-30,56.34,-33.95,-37.85,17.79,-6.49,2.16,-5.22,-5.68,-66,1019.04,0.8,0.88,1.94,107.59,14.19,20.44,17.86,3.39,25.73,0.09,0.01,1.24,47.82,1.38,1.4,703.02,694.35,174.69,41.02,8.95,225.94,999999999,56.85,47.82,91.79,1481.4,3.3,231.32,0,3.98,210.16,-110.16,-162.84
(주)ES큐브,050120,2015/12,2002/04/25,,    생활용품 도매업,5,-0.81,4.92,8.84,0,-6.88,4.68,5.18,50.14,16.68,9.79,6,7.85,8.39,98,1010.79,0.8,0.86,1.54,111.32,14.34,21.47,17,3.28,25.45,0.09,0.01,1.51,59.65,1.67,1.7,1260.55,1238.36,814.29,44.14,5.02,245.92,999999999,54.67,47.94,95.22,6263.14,13.29,1050.25,0,16.98,40.09,59.91,57.64
(주)ES큐브,050120,2016/12,2002/04/25,,    생활용품 도매업,5,-5.61,121.67,55.62,383.86,683.64,148.93,92.07,5.77,18.24,50.17,3.68,23.05,30.46,438,874.94,0.46,0.61,0.81,85.07,14.63,17.16,21.27,4.29,24.95,0.13,0.01,0.96,13.21,1.06,1.07,949.52,940.31,626.84,37.16,49.59,335.56,11.58,87.45,41.54,66.85,20160.01,19.3,431.4,0,57.9,11.5,88.5,86.65
(주)ES큐브,050120,2017/12,2002/04/25,,    생활용품 도매업,5,6.57,0.37,2.24,-93.02,60.62,-1.61,3.16,-2.96,17.81,3.29,2.55,1.16,1.73,14,445.74,0.35,0.53,0.61,89.52,14.35,13.87,26.31,4.08,25.43,0.31,0.01,0.77,6.09,0.84,0.85,1095.59,1085.6,529.21,38.79,46.85,171.54,2.76,84.16,42.69,68.1,4476.07,4.27,59.63,0,12.06,53.04,46.96,27.23
(주)ES큐브,050120,2018/12,2002/04/25,,    생활용품 도매업,5,-15.62,3.46,-6.83,0,44.96,32.18,-35.09,37.25,17.93,-12.25,1.36,-3.6,-5.56,-46,376.11,0.29,0.45,0.45,64.64,11.66,12.68,28.78,5.65,31.3,0.12,0.02,0.54,3.41,0.85,0.86,77.08,75.59,49.78,-7.97,63.08,159.82,0.47,119.41,26.78,61.32,177.01,0.16,1.63,0,0.57,1403.03,-1303.03,-2167.18
(주)ES큐브,050120,2019/12,2002/04/25,,    생활용품 도매업,5,-8.88,25.43,-18.84,0,-2.8,40.72,-16.37,-16.38,20.4,-44.65,1.03,-10.42,-21.14,-158,334.36,0.23,0.47,0.3,55.45,10.35,8.43,43.29,6.58,35.26,0,0.02,0.39,2.66,1.07,1.09,44.35,43.49,24.83,-22.41,152.04,126.09,0.17,207.03,17.86,39.68,-6558.67,-4.82,-62.01,0,-22.99,0,0,0
(주)ES큐브,050120,2020/12,2002/04/25,,    생활용품 도매업,5,6.19,-39.74,35.13,0,-94.76,-33.37,-69.03,36.71,20.12,-96,1.59,-26.67,-45.82,-2765,363.68,0.28,0.48,0.33,54.62,13.02,7.24,50.38,6.68,28.03,0,0.02,0.64,5.44,1.9,1.97,90.15,82.48,15.15,-1,12.4,105.58,0.45,102.09,9.18,88.97,-23593.21,-28.77,-4259.32,0,-77.88,0,0,0
