회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
(주)에이치디,102210,2011/12,145814968,,31942343,,58363573,,47533638,,98281330,,92642673,
(주)에이치디,102210,2012/12,150666204,,34434225,,60242516,,52175324,,98490880,,98949832,
(주)에이치디,102210,2013/12,196371510,,33505491,,50303002,,64677652,,131693858,,107152052,
(주)에이치디,102210,2014/12,214641351,,33773165,,62264234,,71508966,,143132385,,106449705,
(주)에이치디,102210,2015/12,196849546,244946636,44725773,64555001,64055456,121526774,83067143,90699431,113782404,154247205,114961895,120927615
(주)에이치디,102210,2016/12,193099366,233592761,45822941,65236556,55364138,103386065,79790255,91280404,113309111,142312357,115822568,122289717
(주)에이치디,102210,2017/12,190938476,223964802,44421655,63438295,27580507,41678313,74627068,80900159,116311407,143064643,113159127,119432116
(주)에이치디,102210,2018/12,198332333,216611504,43233525,61973376,32230409,37568476,97480265,80963995,100852068,135647510,125257476,125257476
(주)에이치디,102210,2019/12,146820812,146820812,43503154,43503154,37778318,37778318,55424673,55424673,91396138,91396138,111779531,111779531
(주)에이치디,102210,2020/12,113373432,127931074,36952183,36952183,34492195,34492195,44137151,44137151,69236282,83793924,93822835,93822835
(주)에이팸,073070,2011/12,58113620,58511209,11705554,18931878,84600857,84430791,31907147,32740142,26206474,25771067,40152730,39482504
(주)에이팸,073070,2012/12,53300335,51324720,13471675,19522040,66216062,66706903,27449141,25123241,25851194,26201480,40725509,38926551
(주)에이팸,073070,2013/12,53792156,52851847,13149668,18830150,59339526,59105965,26628598,24137885,27163558,28713962,41149856,40128702
(주)에이팸,073070,2014/12,61100035,62170393,12944423,18746783,72617256,72014445,21517244,20084074,39582791,42086319,42506558,42787540
(주)에이팸,073070,2015/12,60073445,60585507,11904644,17917731,94203121,93390676,19883413,19880889,40190032,40704618,43458211,45226867
(주)에이팸,073070,2016/12,64300652,67282421,11299973,16606059,81961409,81686182,19812141,18965929,44488511,48316492,45731731,48693977
(주)에이팸,073070,2017/12,119266442,122608332,11400665,16170451,81475836,82326520,20398764,18951217,98867679,103657115,72075673,75723081
(주)에이팸,073070,2018/12,136216625,139724108,10909861,19552537,71232941,76202953,72820899,58753458,63395726,80970650,78782089,78302379
(주)에이팸,073070,2019/12,117564448,119641377,11862183,20320305,47823695,50587576,75393486,67766387,42170962,51874990,50720957,45072872
(주)에이팸,073070,2020/12,96416863,103027880,11208702,18904481,15311764,18443072,84046155,80872487,12370708,22155393,68424119,64148238
(주)이매진아시아,036260,2011/12,14825564,14784627,177173,177173,21407574,21407574,7550356,7451013,7275208,7333613,7546287,7504336
(주)이매진아시아,036260,2012/12,16490476,16449473,99536,139197,9157157,13685960,4366734,4826334,12123742,11623139,10455769,10130051
(주)이매진아시아,036260,2013/12,18276413,22486281,85011,332033,9668432,15196233,7155121,8914752,11121292,13571530,9014184,8792296
(주)이매진아시아,036260,2014/12,21690044,34158562,94303,263140,11467876,40261339,8138781,10656380,13551263,23502182,10006927,10661921
(주)이매진아시아,036260,2015/12,24368741,50748552,173081,6470096,18055936,45842816,7190360,22596774,17178381,28151778,15160163,19210137
(주)이매진아시아,036260,2016/12,40406703,41250449,553735,576643,21369545,32103084,19451914,15500555,20954789,25749894,34331914,33846462
(주)이매진아시아,036260,2017/12,38487193,54668991,456097,7523469,8727402,30211238,31440149,33334153,7047043,21334838,34768872,37633762
(주)이매진아시아,036260,2018/12,25901188,31930278,387505,416163,19199725,26187471,5441502,2953740,20459686,28976538,23471551,25253646
(주)이매진아시아,036260,2019/12,18295141,17924929,1054141,1239179,8023480,12690904,6118353,4665435,12176788,13259494,13314149,11915372
(주)이엠네트웍스,087730,2011/12,8680876,,2459112,,12667816,,4404021,,4276855,,6549108,
(주)이엠네트웍스,087730,2012/12,12250220,,2232771,,18613787,,4588349,,7661871,,8624174,
(주)이엠네트웍스,087730,2013/12,14283482,,2279913,,20784560,,4595791,,9687692,,10278707,
(주)이엠네트웍스,087730,2014/12,20687703,,8059045,,24833985,,10607253,,10080450,,13469931,
(주)이엠네트웍스,087730,2015/12,23654780,,8561137,,22700031,,10810302,,12844478,,15060314,
(주)이엠네트웍스,087730,2016/12,22382137,,8309430,,18302905,,11522862,,10859274,,14295564,
(주)이엠네트웍스,087730,2017/12,19650394,,7911371,,16336622,,10638423,,9011971,,12466347,
(주)이엠네트웍스,087730,2018/12,76180499,,8443246,,13316221,,28910667,,47269831,,28496640,
(주)이엠네트웍스,087730,2019/12,57032067,58841584,16299568,16726592,13459066,12991455,21635744,19299170,35396323,39542414,5704736,5053855
(주)이엠네트웍스,087730,2020/12,37047129,36952833,10385462,10487193,17895594,17787242,15745674,15637951,21301455,21314882,-5462160,-6053353
