[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
29.84,1.12,1.27,12.15,78.36,9.11,7569.57,0.77,25.3,2017,0
33.98,1.39,1.48,8.32,80.98,15.43,9863.42,3.04,23.81,2018,0
60.03,1.45,5.86,2.02,191.36,-12.94,17425.29,7.63,28.79,2011,0
61.98,1.2,6.08,15.81,216.7,-10.65,15920.4,9.57,28.88,2012,0
60.4,1.38,9.3,3.74,220.15,-2.42,36087.79,8.26,28.32,2017,0
89.44,1.29,1.09,-0.86,500.27,10.28,7149.96,2.64,26.06,2011,0
91.37,1.17,0.97,5.32,631.95,4.8,6646.65,2.95,26.19,2012,0
89.2,0.92,0.83,4.0,733.62,-3.89,5553.36,2.68,33.11,2013,0
90.5,0.81,0.78,-0.29,698.29,0.53,5144.03,1.59,32.34,2014,0
91.5,0.7,0.65,-0.41,905.17,1.0,4336.53,-1.63,23.58,2015,0
91.09,0.68,0.56,-1.65,790.47,7.02,3903.02,-1.29,26.38,2016,0
91.47,0.64,0.44,13.71,708.73,21.77,3514.4,4.26,49.47,2017,0
90.39,0.67,0.38,-1.48,618.73,6.53,3443.56,-1.24,31.08,2018,0
53.64,1.13,1.43,30.7,149.79,50.65,2085.45,-3.25,8.19,2011,0
76.35,1.26,1.17,-1.35,339.48,9.16,1528.22,7.97,29.11,2012,0
73.44,1.72,1.45,4.83,204.36,-2.56,1896.79,1.55,14.88,2013,0
80.08,1.53,1.38,-6.52,304.03,-4.39,1718.63,0.65,15.51,2014,0
76.86,1.14,1.11,8.0,222.09,-1.61,1218.28,-0.87,16.53,2015,0
76.99,1.26,1.43,3.07,252.94,0.84,1522.44,0.6,15.34,2016,0
79.59,1.52,1.74,0.65,266.88,0.03,1801.44,2.17,15.42,2017,0
85.77,1.5,1.58,-8.72,292.76,-2.52,1613.44,-0.56,12.41,2018,0
42.29,0.7,1.41,44.28,81.65,333.07,7044.0,-1.87,14.06,2011,0
53.6,0.8,0.91,-4.84,89.27,0.04,7465.64,1.68,30.62,2012,0
47.04,2.65,5.24,116.02,135.82,24.01,48166.03,2.03,6.02,2013,0
46.88,1.68,4.49,20.13,130.06,25.52,51527.28,1.79,6.67,2014,0
42.9,1.6,4.57,9.7,125.25,-1.11,58947.48,2.14,6.8,2015,0
40.53,1.55,5.39,-1.57,123.45,-14.43,64634.65,-1.87,3.94,2016,0
41.14,1.49,5.75,-12.97,125.96,-12.66,60025.2,-3.28,4.84,2017,0
39.48,1.53,6.13,0.28,124.21,-4.69,58818.91,-0.23,6.61,2018,0
77.76,1.26,14.14,30.7,500.58,-21.67,12458.29,5.69,19.63,2018,0
