[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
34.01,-18.9,13.37,-3.56,13.65,-2.24,74.11,-8.66,-7.5,2014,0
25.02,-5.66,43.59,-24.15,4.75,-15.46,120.82,-33.57,106.72,2015,0
40.89,-4.8,35.43,37.65,6.63,0.36,75.81,1.21,49.82,2016,0
51.64,4.82,63.12,-0.48,4.0,-15.56,142.37,-31.04,-73.58,2017,0
60.85,8.14,73.99,-1.79,3.4,-22.19,224.81,-51.67,0.0,2018,0
39.37,-30.4,40.55,4.74,6.64,-0.44,58.86,-1.4,2.89,2011,0
41.17,-30.55,39.27,7.82,7.06,1.05,55.25,4.49,23.0,2012,0
35.98,-23.73,34.59,-7.4,8.4,1.26,58.88,5.74,-5.16,2013,0
36.65,-14.26,32.3,4.44,7.61,1.31,62.82,4.75,22.12,2014,0
36.47,-6.2,31.64,3.51,7.54,2.42,63.5,7.74,-9.04,2015,0
32.47,-7.81,39.88,3.36,7.26,1.71,64.77,4.64,-0.05,2016,0
34.3,-9.47,36.27,12.15,8.56,0.91,68.27,2.61,1.54,2017,0
29.99,-7.04,28.48,8.32,11.07,3.03,56.79,9.65,57.14,2018,0
74.13,35.39,17.3,2.02,21.57,4.63,80.91,13.29,0.0,2011,0
80.04,43.1,12.23,15.81,24.61,6.94,72.45,15.67,0.0,2012,0
80.43,33.87,19.64,37.71,21.24,6.69,72.51,17.76,0.0,2013,0
81.03,40.03,26.49,3.21,23.29,6.2,73.38,15.64,0.0,2014,0
75.9,37.19,22.55,6.88,56.52,5.59,75.43,13.66,0.0,2015,0
81.4,39.14,25.53,12.31,59.98,5.33,78.36,12.62,0.0,2016,0
82.51,45.03,22.11,3.74,59.98,4.93,71.75,14.33,0.0,2017,0
81.32,45.89,21.67,6.48,59.98,5.46,75.8,13.35,0.0,2018,0
41.38,33.11,8.25,-0.86,11.34,4.12,58.96,2.99,0.0,2011,0
41.67,35.08,7.47,5.32,9.81,5.21,60.28,3.46,0.0,2012,0
46.1,39.81,9.05,4.0,8.88,5.79,65.28,2.89,0.27,2013,0
45.66,39.12,9.03,-0.29,8.22,3.77,69.11,1.73,-5.25,2014,0
44.89,39.93,10.14,-0.41,6.36,-4.56,113.41,-1.93,-3.02,2015,0
40.03,34.96,10.81,-1.65,6.45,-3.96,105.09,-1.39,0.14,2016,0
35.78,30.73,10.77,13.71,7.28,15.44,55.34,4.88,-4.14,2017,0
30.55,25.62,9.63,-1.48,8.71,-4.84,75.79,-1.26,4.31,2018,0
41.38,13.76,3.93,30.7,22.55,-4.12,165.42,-5.18,-22.84,2011,0
35.13,24.78,3.24,-1.35,27.56,11.04,42.51,12.28,6.03,2012,0
39.71,20.28,1.85,4.83,41.87,1.71,66.65,2.07,-0.4,2013,0
38.33,25.73,1.89,-6.52,32.96,0.77,74.84,0.85,13.53,2014,0
43.82,24.09,2.63,8.0,18.82,-1.33,92.07,-1.11,-25.92,2015,0
45.04,27.23,2.08,3.07,19.81,0.75,78.77,0.77,205.02,2016,0
45.38,28.37,2.68,0.65,16.26,2.28,68.8,2.78,-21.27,2017,0
