[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
1.11,0.12,10.94,28.63,2054.47,66.02,45.44,82.64,44.84,2017,0
65.39,38.61,7.29,34.87,2580.56,43.74,73.74,60.03,59.56,2017,0
-13.84,4.57,8.94,47.19,2628.61,36.84,73.16,72.86,53.89,2018,0
-17.61,33.51,3.59,18.63,2639.28,92.24,43.02,61.78,57.97,2017,0
33.98,30.43,5.73,58.08,2206.33,34.17,70.97,84.94,64.78,2016,0
5.92,14.35,5.26,63.86,2522.85,30.93,71.67,91.6,52.9,2017,0
13.61,11.6,5.99,59.67,2815.45,35.28,68.24,90.0,50.64,2018,0
-6.99,25.56,12.65,79.64,2048.08,15.26,85.67,93.93,81.98,2018,0
32.94,34.51,3.78,60.67,2052.9,34.28,68.65,91.45,25.26,2011,0
-3.45,-0.31,4.91,62.1,2046.6,34.86,67.09,94.42,39.61,2012,0
15.22,12.83,7.5,65.97,2309.22,28.75,73.42,92.46,52.88,2013,0
11.43,19.15,28.68,64.89,2133.81,23.08,80.76,83.35,77.66,2018,0
26.84,141.83,8.85,70.21,2187.18,28.34,72.88,95.2,54.38,2018,0
15.03,16.25,7.1,59.16,2194.43,33.87,70.36,87.52,62.98,2015,0
7.4,6.57,7.3,50.2,2338.63,43.91,61.57,87.51,52.74,2016,0
6.95,8.0,8.77,26.08,2094.13,74.5,44.13,75.0,43.6,2016,0
-4.93,0.69,11.02,31.63,2108.63,69.16,45.06,79.43,42.9,2017,0
-1.55,2.33,8.99,37.59,2157.66,59.28,51.06,82.56,25.04,2018,0
18.61,29.93,11.76,-32.41,351.46,198.26,32.66,33.97,61.46,2016,0
5.09,0.05,19.19,-7.84,2635.03,191.15,10.92,48.1,76.5,2014,0
2.4,-2.67,18.85,-25.09,2339.76,207.67,10.92,45.71,39.83,2015,0
26.33,12.67,20.49,-23.2,2636.2,231.7,10.92,40.77,80.61,2016,0
14.78,34.09,18.53,-13.21,2500.16,244.23,10.92,37.6,64.64,2018,0
26.08,22.49,6.59,36.84,2037.02,57.26,51.75,84.28,53.51,2012,0
12.62,12.73,6.15,38.45,2296.31,57.62,49.06,88.39,49.79,2013,0
21.18,15.09,5.88,49.44,2642.89,44.42,60.92,87.97,53.12,2014,0
16.29,4.65,7.03,53.41,660.14,29.66,79.71,68.4,65.17,2014,0
68.88,82.7,10.31,-8.08,2396.42,127.84,35.27,50.63,44.87,2018,0
11.92,6.08,4.06,42.65,2170.46,53.76,61.59,71.43,57.82,2011,0
13.86,16.27,4.36,44.66,2523.62,49.84,63.71,72.81,72.08,2012,0
14.55,11.32,4.12,35.44,2218.64,36.12,80.64,53.59,46.29,2016,0
-6.07,8.55,3.29,38.85,2400.52,36.62,79.16,56.91,33.69,2017,0
36.62,4.19,5.76,28.39,2501.11,45.95,80.07,43.38,25.58,2018,0
12.63,15.12,5.7,3.43,2602.61,135.08,49.31,37.52,60.23,2011,0
-1.99,8.84,6.13,-4.47,2610.63,148.68,42.66,38.57,50.96,2018,0
28.86,12.28,9.78,34.6,2218.47,40.6,77.11,56.38,23.21,2016,0
23.84,18.49,10.62,34.51,2628.59,37.2,80.24,53.13,10.66,2017,0
-7.85,-6.48,5.25,61.2,991.09,35.06,66.98,94.21,-11.5,2017,0
37.3,33.35,6.19,10.54,2473.23,105.65,41.7,55.19,61.67,2012,0
11.73,5.74,7.45,11.9,2474.32,106.41,42.74,53.81,44.43,2015,0
22.86,5.13,7.3,2.83,2501.04,123.79,42.98,46.06,41.16,2016,0
15.79,-5.22,7.09,-3.31,2370.45,155.74,41.28,37.7,27.82,2017,0
15.92,-1.29,9.24,4.15,2272.79,158.35,49.16,32.11,30.11,2018,0
20.86,3.71,1.97,21.72,2087.14,89.53,46.86,59.36,30.02,2011,0
53.2,22.59,1.68,10.34,2224.35,119.56,43.21,47.5,30.68,2012,0
9.16,7.1,1.63,31.62,2339.81,130.9,38.99,46.61,34.7,2013,0
13.78,27.32,1.8,8.48,2270.29,123.47,35.61,52.15,43.17,2014,0
13.52,10.17,1.81,7.9,2265.15,134.37,32.0,50.61,34.71,2015,0
92.11,333.24,5.17,55.05,2430.17,30.38,77.92,72.67,72.83,2013,0
5.25,8.82,3.91,48.48,1014.85,48.0,56.79,90.04,34.95,2018,0
2.71,3.91,4.01,60.84,2077.12,38.13,62.55,95.2,52.51,2017,0
4.78,3.66,3.69,50.62,2153.11,48.02,53.33,95.2,0.0,2018,0
9.1,10.17,6.24,57.85,2745.8,39.33,62.98,94.13,78.66,2017,0
-43.35,-44.45,3.5,57.1,2065.6,38.72,64.06,92.83,46.89,2015,0
