[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
35.98,-23.73,-7.4,8.4,41.12,34.59,0.76,1.26,5.74,2013,0
36.65,-14.26,4.44,7.61,37.18,32.3,3.36,1.31,4.75,2014,0
36.47,-6.2,3.51,7.54,36.5,31.64,3.8,2.42,7.74,2015,0
32.47,-7.81,3.36,7.26,35.23,39.88,9.87,1.71,4.64,2016,0
34.3,-9.47,12.15,8.56,31.73,36.27,9.11,0.91,2.61,2017,0
29.99,-7.04,8.32,11.07,43.21,28.48,15.43,3.03,9.65,2018,0
74.13,35.39,2.02,21.57,19.09,17.3,-12.94,4.63,13.29,2011,0
80.04,43.1,15.81,24.61,27.55,12.23,-10.65,6.94,15.67,2012,0
80.43,33.87,37.71,21.24,27.49,19.64,35.04,6.69,17.76,2013,0
81.03,40.03,3.21,23.29,26.62,26.49,0.07,6.2,15.64,2014,0
75.9,37.19,6.88,56.52,24.57,22.55,35.72,5.59,13.66,2015,0
81.4,39.14,12.31,59.98,21.64,25.53,-13.32,5.33,12.62,2016,0
82.51,45.03,3.74,59.98,28.25,22.11,-2.42,4.93,14.33,2017,0
81.32,45.89,6.48,59.98,24.2,21.67,13.69,5.46,13.35,2018,0
41.38,33.11,-0.86,11.34,41.04,8.25,10.28,4.12,2.99,2011,0
41.67,35.08,5.32,9.81,39.72,7.47,4.8,5.21,3.46,2012,0
46.1,39.81,4.0,8.88,34.72,9.05,-3.89,5.79,2.89,2013,0
45.66,39.12,-0.29,8.22,30.89,9.03,0.53,3.77,1.73,2014,0
44.89,39.93,-0.41,6.36,-13.41,10.14,1.0,-4.56,-1.93,2015,0
40.03,34.96,-1.65,6.45,-5.09,10.81,7.02,-3.96,-1.39,2016,0
35.78,30.73,13.71,7.28,44.66,10.77,21.77,15.44,4.88,2017,0
30.55,25.62,-1.48,8.71,24.21,9.63,6.53,-4.84,-1.26,2018,0
41.38,13.76,30.7,22.55,-65.42,3.93,50.65,-4.12,-5.18,2011,0
35.13,24.78,-1.35,27.56,57.49,3.24,9.16,11.04,12.28,2012,0
39.71,20.28,4.83,41.87,33.35,1.85,-2.56,1.71,2.07,2013,0
38.33,25.73,-6.52,32.96,25.16,1.89,-4.39,0.77,0.85,2014,0
43.82,24.09,8.0,18.82,7.93,2.63,-1.61,-1.33,-1.11,2015,0
45.04,27.23,3.07,19.81,21.23,2.08,0.84,0.75,0.77,2016,0
45.38,28.37,0.65,16.26,31.2,2.68,0.03,2.28,2.78,2017,0
41.66,27.43,-8.72,14.58,12.49,4.43,-2.52,-0.63,-0.68,2018,0
35.79,-8.05,44.28,12.98,-0.62,18.75,333.07,-2.87,-2.81,2011,0
32.5,-3.91,-4.84,12.37,49.61,17.25,0.04,2.81,3.52,2012,0
61.25,16.15,116.02,8.22,52.42,28.66,24.01,0.81,1.94,2013,0
63.5,12.8,9.7,4.43,54.59,69.57,-1.11,1.22,2.87,2015,0
68.27,12.97,-1.57,4.34,24.58,74.47,-14.43,-1.01,-14.59,2016,0
68.15,14.05,-12.97,5.08,20.26,73.16,-12.66,-1.8,-20.37,2017,0
69.74,13.59,0.28,7.0,37.29,62.34,-4.69,-0.12,-2.8,2018,0
92.89,74.47,30.7,15.13,51.71,15.06,-21.67,4.03,7.9,2018,0
64.51,22.31,41.54,4.24,27.54,32.39,47.8,8.49,12.25,2011,0
58.74,29.02,2.38,10.47,35.16,27.08,19.02,10.81,20.94,2012,0
60.1,32.91,16.35,12.09,29.79,22.24,12.52,7.32,14.17,2013,0
61.4,38.51,11.73,9.19,31.66,15.75,8.07,8.84,16.07,2014,0
50.78,35.78,-0.4,9.05,22.99,12.12,27.01,6.76,10.26,2015,0
60.2,31.68,28.29,7.52,19.5,31.37,3.73,5.11,7.24,2016,0
56.56,35.36,14.53,11.73,36.3,22.75,25.03,9.68,23.25,2017,0
52.04,35.78,2.57,8.22,25.89,18.09,13.24,7.93,12.42,2018,0
50.06,2.22,-28.11,2.4,0.0,96.41,-4.0,-58.01,-59.57,2011,0
42.28,-8.24,-10.15,5.12,-37.85,47.16,3.85,-8.84,-14.7,2012,0
