[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
94.52,0.96,1.94,8.99,1225.98,11.89,973.13,10.0,25.14,2018,0
37.3,1.26,4.58,31.33,136.75,34.04,17409.08,10.27,19.89,2015,0
57.81,0.91,1.19,60.92,151.48,52.92,6740.87,5.01,33.86,2015,0
86.47,0.67,1.63,-35.89,830.0,-27.18,2379.48,21.72,42.03,2018,0
68.2,1.06,3.54,29.4,247.16,-27.87,2608.51,17.27,22.35,2015,0
65.96,1.71,2.3,29.07,177.89,16.33,6691.31,17.6,34.98,2014,0
26.69,0.58,12.74,89.8,136.07,19.99,6852.7,0.92,14.88,2016,0
29.23,0.26,6.32,2.32,147.26,13.87,17347.8,2.84,17.56,2018,0
58.78,0.95,14.14,4.56,225.5,18.12,6871.99,5.06,20.32,2015,0
86.88,1.51,1.71,18.87,403.27,15.11,3383.63,17.09,41.88,2012,0
89.19,1.14,1.37,-13.24,693.9,1.51,3089.71,-11.67,15.76,2018,0
91.44,0.81,3.43,6.84,994.28,-23.36,11215.96,5.77,30.84,2011,0
89.48,0.92,3.86,8.78,1032.98,30.46,14291.72,8.94,34.73,2012,0
39.4,0.69,0.53,15.4,671.9,-3.44,1477.26,-7.24,33.79,2016,0
42.63,0.69,0.86,187.78,94.23,333.07,6725.67,6.09,36.99,2016,0
47.9,1.06,3.73,15.28,143.97,-12.9,18816.23,8.08,39.24,2016,0
53.26,1.29,1.94,13.04,114.45,0.4,14305.3,3.23,19.64,2011,0
83.63,2.04,2.45,23.86,295.38,31.94,18352.68,14.09,30.84,2016,0
81.85,1.0,0.68,36.87,581.22,67.6,2213.28,-6.1,27.0,2015,0
65.6,1.67,2.42,21.43,319.25,21.63,2555.25,5.9,34.96,2017,0
92.93,1.33,7.6,129.4,1189.76,130.04,6451.05,10.62,24.63,2018,0
35.83,0.73,2.54,-12.72,136.69,-6.4,6771.43,1.4,16.44,2018,0
81.05,1.45,2.53,31.03,806.18,44.56,6648.89,13.97,38.58,2013,0
87.32,1.52,2.49,15.0,734.22,-7.35,9342.13,17.4,42.87,2015,0
74.18,0.78,4.81,9.9,387.6,19.37,3361.96,7.76,39.97,2014,0
83.02,0.63,1.55,-17.09,321.84,76.57,2527.64,-6.35,36.87,2017,0
69.74,0.56,5.16,175.79,295.51,68.96,6620.93,18.32,41.92,2017,0
88.45,1.25,2.69,3.32,569.72,2.31,3172.35,4.88,30.68,2012,0
90.96,1.16,2.36,-1.65,693.34,4.23,2872.36,0.27,30.13,2013,0
92.46,0.99,2.59,15.22,985.58,-6.95,8907.11,11.01,35.27,2013,0
86.09,1.62,3.32,14.86,464.29,13.96,11305.22,17.83,34.75,2015,0
78.09,0.71,1.01,3.56,333.48,14.59,2488.09,1.37,34.7,2013,0
85.44,0.39,0.26,75.55,365.63,91.48,1289.87,24.2,85.72,2017,0
82.46,0.7,1.78,76.42,473.5,53.89,8392.43,6.38,39.9,2014,0
76.62,1.02,0.83,21.5,276.57,24.21,6841.28,7.37,38.87,2016,0
68.84,0.83,0.65,22.73,210.86,27.05,6810.87,6.82,42.06,2017,0
54.69,0.8,0.57,33.83,129.68,49.15,6789.04,3.59,43.07,2018,0
60.66,0.63,1.34,-2.26,163.35,-2.56,6766.5,2.47,26.57,2015,0
95.2,0.48,1.2,26.84,2214.57,4.71,4956.79,2.71,40.38,2018,0
89.77,0.6,2.21,0.82,829.23,-13.71,4431.06,8.91,42.51,2018,0
80.86,2.02,3.75,3.6,390.6,4.55,6627.27,24.2,60.24,2017,0
32.18,1.18,1.35,-1.94,92.14,-21.19,6797.02,2.55,19.39,2014,0
84.47,0.44,4.16,0.01,622.75,-4.0,2277.64,1.11,12.6,2016,0
84.71,0.87,7.81,2.61,622.91,17.05,4548.69,4.19,15.09,2017,0
79.43,2.2,2.4,-4.93,335.46,-6.52,18130.68,3.39,9.09,2017,0
36.64,1.34,3.09,7.24,90.73,0.06,17957.68,4.7,17.36,2012,0
68.83,0.86,2.08,6.64,454.52,6.86,8439.27,6.89,25.76,2013,0
63.22,1.67,4.78,18.41,197.7,17.2,14363.7,7.35,16.68,2013,0
38.0,1.21,2.27,14.82,137.13,16.03,17667.54,-0.51,14.81,2016,0
38.52,1.05,2.15,0.67,102.61,0.5,18021.67,2.08,18.04,2017,0
61.45,2.63,14.14,48.58,342.89,86.82,2463.63,8.34,11.1,2012,0
29.91,1.29,3.64,6.22,119.04,1.93,6713.31,3.83,12.76,2016,0
41.01,1.31,2.55,5.53,108.34,4.67,18929.71,1.96,25.68,2014,0
39.0,1.14,2.86,3.08,116.15,-4.31,17900.11,-2.84,21.47,2018,0
84.75,1.07,1.7,7.73,372.23,6.7,1275.51,4.07,35.24,2015,0
87.06,0.99,1.55,8.49,419.23,14.73,1292.7,10.36,48.07,2016,0
91.42,1.09,1.57,0.88,640.42,-0.67,1397.96,10.86,52.54,2017,0
90.54,1.06,1.64,12.56,626.63,1.8,1467.71,11.01,53.42,2018,0
92.64,0.73,0.8,80.19,861.97,55.77,2371.39,9.98,64.66,2018,0
94.21,0.69,1.45,-7.85,1158.98,-13.47,2718.73,-5.34,28.5,2017,0
75.01,0.95,2.67,0.76,362.09,-11.86,2699.44,1.12,18.71,2013,0
33.64,1.06,2.36,5.03,93.44,-0.27,18805.73,-7.94,10.68,2018,0
86.17,0.67,0.74,-1.66,398.78,5.06,2619.66,2.68,54.27,2014,0
87.5,0.69,0.69,3.99,400.99,6.61,2577.98,1.86,49.03,2015,0
88.16,0.71,0.71,-2.04,441.24,-1.06,2710.04,-3.25,36.08,2017,0
