,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
178,(주)극동자동화,272420,Dec-17,2017-06-28,2018-11-15,삭제빔,(코넥스),  전문직별 공사업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,(주)금오하이텍,165270,Dec-13,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,(주)금오하이텍,165270,Dec-14,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,(주)금오하이텍,165270,Dec-15,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,(주)금오하이텍,165270,Dec-16,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,(주)나노트로닉스,10670,Dec-11,1996-05-14,2014-04-11,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  의료, 정밀, 광학기기 및 시계 제조업",4,-15.82,-36.77,-17.78,6.92,-6.98,19.31,0,-5.03,32.66,-9.94,1.85,-3.62,-8.09,-139,1360.6,0.36,0.81,1.24,5.31,0.87,5.26,69.39,68.8,420.34,0,1.09,0.33,0.52,0.57,129.2,117.95,2.28,139.61,16.8,322.22,61.54,74.32,41.73,2067.74,4.26,265.56,316.59,12.08,80.74,19.26,-82.26,17.03,0.21
253,(주)나노트로닉스,10670,Dec-12,1996-05-14,2014-04-11,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  의료, 정밀, 광학기기 및 시계 제조업",4,13.53,-44.98,24.23,6.24,13.78,0.02,0,11.9,47.33,-16.38,7.42,-6.36,-14.7,-257,1489.91,0.39,0.9,1.39,5.84,0.88,6.06,60.22,62.55,414.55,0,1.53,0.3,0.54,0.59,128.9,116.35,11.65,123.72,15.69,330.81,67.19,69.97,44.7,1143.73,2.22,266.99,320.94,5.89,155.74,-55.74,-278.33,32.19,1.4
288,(주)나이코,192240,Dec-14,2014-02-28,2016-12-23,삭제빔,(코넥스),"  펄프, 종이 및 종이제품 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,(주)나이코,192240,Dec-15,2014-02-28,2016-12-23,삭제빔,(코넥스),"  펄프, 종이 및 종이제품 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,(주)네오퍼플,28090,Dec-11,1996-11-29,2013-05-03,,,  식료품 제조업,4,0,0,0,0,0,0,0,0,13.84,-16.22,-7.74,-12.21,-33.54,-120,605.51,0.75,1.99,1.51,8.27,6.08,11.68,31.24,44.14,60.02,0.01,0.37,0.69,1.5,1.83,85.06,69.66,0.16,164.34,-8.83,58.57,131.41,50.29,37.83,-285.34,-0.66,-2.28,-19.46,-0.88,0,0,0,2.6,-2.55
364,(주)네오퍼플,28090,Dec-12,1996-11-29,2013-05-03,,,  식료품 제조업,4,0,0,0,0,0,0,0,0,14.27,-53.08,-10.43,-32.81,-103.49,0,419.35,0.62,1.88,1.8,6.71,14.7,25.25,14.45,54.42,24.83,0.02,0,0.47,0.94,1.1,98.41,84.59,30.92,204.43,-1.06,41.58,104.65,65.62,32.85,-11813.58,-29.25,-258.29,-943.07,-47.31,0,0,0,5.46,-2.52
401,(주)넥스지,81970,Dec-11,2007-08-20,2018-10-11,,,  출판업,4,8.38,253.22,97.03,13.3,12.28,-6.22,6.07,-41.13,37.98,13.93,12.1,9.78,11.06,536,3848.02,0.7,0.79,2.67,5.94,3.9,10.65,34.27,61.41,93.47,0.01,0,0.83,0.95,1.14,624.92,548.19,74.08,13.53,56.38,1025.65,37.34,67.12,88.08,7702.45,22.97,97.64,0,34.75,46,54,40.09,4.38,999999999
402,(주)넥스지,81970,Dec-12,2007-08-20,2018-10-11,,,  출판업,4,-16,4.5,19.38,5.66,8.98,-1.06,-13.93,35.6,42.6,14.28,9.18,7.71,8.61,461,3232.31,0.54,0.6,1.54,5.72,3.26,9.53,38.31,63.82,111.79,0.01,0,0.73,0.83,0.97,786.25,653.94,96.23,10.08,54.85,1117.7,40.9,62.84,90.84,6896.19,19.46,83.64,0,37.04,50.72,49.28,38.54,2.31,132.67
403,(주)넥스지,81970,Dec-13,2007-08-20,2018-10-11,,,  출판업,4,0,0,0,0,0,0,0,0,42.96,8.09,4.48,4.07,4.57,265,3111.51,0.5,0.54,1.37,6.03,3.94,18.52,19.71,60.55,92.67,0.01,0,0.73,0.8,0.92,1102.66,956.89,502.57,6.67,57.42,1159.27,39.31,63.15,93.75,7734.19,21.72,335.72,0,43.15,70.17,29.83,18.75,7.78,999999999
404,(주)넥스지,81970,Dec-14,2007-08-20,2018-10-11,,,  출판업,4,23.89,-10.16,1.92,9.26,2.81,13.56,-28.48,6.12,41.29,4.74,3.23,2.79,3.07,198,3809.47,0.59,0.65,1.65,7.16,3.75,14.97,24.39,50.97,97.35,0.01,0,0.81,0.91,1.05,588.33,515.64,324.09,13.36,54.42,1193.09,39.03,65.57,88.21,7262.42,18.64,350.9,0,33.1,71.63,28.37,14.31,10.03,550.26
405,(주)넥스지,81970,Dec-15,2007-08-20,2018-10-11,,,  출판업,4,4.41,55.54,12.39,-1.78,1.8,-9.23,-57.39,-14.68,42.82,1.93,1.42,1.15,1.28,77,3977.58,0.59,0.66,1.61,7.84,3.32,19.18,19.03,46.58,109.86,0.01,0,0.81,0.94,1.07,718.82,635.35,396.12,9.37,52.17,1214.61,43.09,60.6,91.43,9308.53,24.33,323.36,1388.57,40.63,76.97,23.03,4.76,8.66,194.94
406,(주)넥스지,81970,Dec-16,2007-08-20,2018-10-11,,,  출판업,4,8.91,-23.53,-1.18,1.31,1.83,2.92,3.47,-28.08,39.09,1.84,-0.63,1.19,1.3,80,4332.17,0.65,0.71,1.67,10.78,3.84,52.69,6.93,33.85,95.17,0.01,0,0.94,1.06,1.18,887.11,815.13,544.68,8.81,54.62,1236.81,41.82,61.56,91.9,8817.26,22.75,358.2,2073.75,35.34,80.15,19.85,5.2,8.79,-229.76
407,(주)넥스지,81970,Dec-17,2007-08-20,2018-10-11,,,  출판업,4,0,0,0,0,0,0,0,0,44.97,9.81,-0.98,5.24,5.78,368,3747.93,0.53,0.59,1.42,8.6,4.91,21.65,16.86,42.42,74.37,0.01,0,0.76,0.86,0.95,796.01,716.56,221.13,10.2,54.43,1272.29,41.61,62.25,90.74,10614.72,26.29,603.28,0,49.17,64.85,35.15,19.95,12.27,-169.56
448,(주)넷웨이브,47730,Dec-11,2001-05-10,2012-11-17,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-38.1,712.27,154.12,-20.5,-18.06,-42.02,0,-30.23,6.27,-42.41,-31.67,-32.04,-51.31,-461,943.81,0.76,1.21,3.49,3.3,3.33,10.13,36.01,110.67,109.76,0.01,0,0.66,0.96,1.36,178.88,120.33,7.44,57.49,28.63,140.54,55.22,64.93,63.5,-2726.89,-15.32,-90.59,-102.74,-17.96,0,0,0,8.74,-52.67
576,(주)다린,204690,Dec-14,2014-09-18,2017-08-02,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,(주)다린,204690,Dec-15,2014-09-18,2017-08-02,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,(주)다린,204690,Dec-16,2014-09-18,2017-08-02,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,(주)대국,42340,Dec-11,2000-06-22,2012-04-13,,,  도매 및 상품 중개업,4,-10.21,6.5,23.97,-32.48,-82.63,-63.6,0,-65.31,1.76,-48.82,-65.89,-77.01,-632.8,-1270,1975.05,1.58,12.96,3.32,70.83,9.86,97.83,3.73,5.15,37.02,0.03,0,1.32,3,3.14,36.5,35,2.48,2137.6,-60.48,9.02,1459.83,34.76,4.47,5358.59,47.91,3330.58,13588.06,24.48,220.01,-120.01,-199.4,140.32,-5.94
686,(주)대원모방,311840,Dec-18,2018-12-27,2020-02-27,삭제빔,(코넥스),  섬유제품 제조업; 의복제외,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,(주)더블유게임즈,192080,Dec-15,2015-11-04,2019-03-12,삭제,유가증권시장상장,  출판업,4,0,0,0,0,0,0,0,0,0,27.9,8.77,8.93,9.28,2527,9041.12,0.32,0.33,12.79,0,8.25,0,0,0,44.25,0.02,0.12,0.32,0.33,0.33,2967.63,2967.63,579.23,3.88,94.21,4309.27,2.6,97.5,96.26,55263.79,14.45,5628.53,11733.49,45.13,36.05,63.95,61.82,124.7,999999999
740,(주)더블유게임즈,192080,Dec-16,2015-11-04,2019-03-12,삭제,유가증권시장상장,  출판업,4,0,0,0,0,0,0,0,0,0,31.3,11.48,11.15,12.91,2952,9056.76,0.36,0.41,1.36,0,9.72,0,0,0,37.57,0.03,0.1,0.41,0.48,0.48,562.11,562.11,26.67,15.53,60.73,4401.31,30.19,73.87,86.56,72683.76,16.63,6437.66,14175.84,46.7,32.46,67.54,67.03,137.85,416.57
741,(주)더블유게임즈,192080,Dec-17,2015-11-04,2019-03-12,삭제,유가증권시장상장,  출판업,4,105.19,69.2,681.23,128.21,6.99,-67.44,-27.59,0,0,11.16,11.72,4.97,9.04,2204,18324.28,0.45,0.82,0.63,0,11.3,0,0,0,32.29,0.03,0.09,0.81,1.49,1.49,34.19,34.19,8.07,146.45,-20.29,4599.1,220.47,10.54,40.58,105974.41,10.63,5547.41,14702.74,33.18,28.19,71.81,33.63,210.14,3.97
768,(주)데코앤이,17680,Dec-11,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,51.1,-8.47,-17.04,-19.88,-6.62,-20.27,0,-15.66,44.26,-0.65,2.43,-0.96,-6.84,-68,3815.03,1.48,10.52,12.14,2.85,8.75,5.45,66.99,128.07,41.74,0.01,0.16,0.9,1.68,4.1,113,44.24,8.26,556.03,10.08,70.05,81.33,87.6,15.24,24616.4,21.46,394.49,2066868.41,12.92,60.51,39.49,-5.03,29.17,0.58
769,(주)데코앤이,17680,Dec-12,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-12.85,-13.39,-2.93,-22.34,0.44,-25.08,0,-18.44,49.39,-1.08,-2.89,-1.75,-10.19,-65.27,3324.76,1.63,9.47,11.84,2.99,8.72,5.31,68.76,122.07,41.84,0.01,0.16,1.01,1.89,5.13,116.01,39.16,5.23,407.26,11.66,70.36,78.61,84.5,19.71,22473.64,25.22,415.85,2270065.03,13.54,63.36,36.64,-7.95,28.51,-1.09
770,(주)데코앤이,17680,Dec-13,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-20.09,-40.18,49.1,9.48,80.06,2.21,0,-19.21,48.56,10.56,-4.95,15.01,56.95,357,2656.89,1.42,5.39,7.71,2.94,8.82,6.8,53.68,124.06,41.4,0.01,0.2,0.96,1.74,4.27,128.12,61.03,10.95,208.41,17.32,126.7,65.09,78.89,32.42,34682.15,35.56,1072.73,406828.76,26.15,32.04,67.96,40.38,30.71,-1.81
771,(주)데코앤이,17680,Dec-14,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-19.24,-56.99,-21.05,-45.09,-17.77,-51.52,0,-43.97,41.79,-6.07,-10.4,-8.61,-22.57,-190,2145.68,1.42,3.72,5.82,3.41,11.69,8.06,45.3,107.12,31.23,0.01,0.14,1.08,1.88,4.17,160.09,63.21,18.53,105.97,26.14,104.18,62.5,69.66,48.55,7446.39,13.9,535.56,16198.36,6.95,118.08,-18.08,-87.36,46.34,-7.23
772,(주)데코앤이,17680,Dec-15,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-40.55,-1.39,-7.02,1.33,22.98,4.97,0,13.51,53.57,-6.84,-5.8,-8.07,-15.02,-74,1066.39,1.18,2.2,4.06,2.64,11.02,7.41,49.23,138.15,33.13,0.01,0.16,1.05,1.67,4.51,184,63.59,21.51,69.71,32.94,106.5,47.25,72.16,58.92,7094.17,13.07,517.42,6070.24,11.14,103,-3,-61.37,46.13,-2.95
773,(주)데코앤이,17680,Dec-16,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-13.01,65.34,9.52,-2.29,7.77,-6.84,0,-25.4,47.76,-15.66,-14.53,-16.17,-26.12,-126,805.2,1.03,1.67,3.5,2.48,11.15,12.43,29.37,147.42,32.75,0.01,0.84,0.97,1.46,3.59,209.93,99.92,49.44,53.88,36.02,100.19,48.02,68.79,64.99,3864.79,7.29,170.48,2941.19,6.98,213.94,-113.94,-224.54,30.46,-7.42
774,(주)데코앤이,17680,Dec-17,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,-15.44,-29.38,51.83,5.67,-16.34,-15.27,0,-26.93,47.23,-45.45,-17.28,-39.04,-67.27,-296,657.06,0.86,1.48,2.25,2.83,9.67,12.44,29.33,128.9,37.73,0.01,16.02,0.84,1.39,2.73,117.38,64.33,34.02,94.34,8.17,62.8,87.14,55.16,51.46,-10005.99,-17.86,-624.98,-9239.57,-21.36,0,0,0,24.22,-12.04
775,(주)데코앤이,17680,Dec-18,1993-09-03,2019-11-20,,,"  의복, 의복 액세서리 및 모피제품 제조업",4,10.19,-2.51,-18.19,18.73,4.16,48.74,0,-6.48,47.08,-20.49,-9.99,-17.26,-35.94,-107,523.57,0.84,1.75,2.26,3.82,10.07,13.37,27.3,95.57,36.26,0.01,1.94,0.75,1.34,2.07,130.31,93.29,12.6,121.53,16.07,51.48,68.44,69.1,45.14,6663.78,10.02,426.95,1840.14,12.91,115.78,-15.78,-158.73,32.65,-2.57
819,(주)동서,26960,Dec-11,1996-05-22,2016-07-15,삭제,피흡수합병,  도매 및 상품 중개업,4,15.19,12.13,40.07,9.81,8.21,-22.23,-22.12,53.89,17.8,22.52,7.4,10.98,12.22,3312,14871.09,0.49,0.55,0.83,16.27,10.01,11.63,31.39,22.43,36.45,0.04,0.07,1.03,1.18,1.28,493.51,443.74,85.93,13.15,27.44,5555.16,74.21,34.41,88.38,156005.52,16.4,196.12,1023.52,35.2,20.48,79.52,63.98,5.83,999999999
820,(주)동서,26960,Dec-12,1996-05-22,2016-07-15,삭제,피흡수합병,  도매 및 상품 중개업,4,3.73,-2.78,-13.45,7.94,9.86,48.69,25.82,-19.33,18.22,27.29,6.7,12.68,14.1,2084,7767.94,0.46,0.52,0.79,15.41,9.85,12.1,30.18,23.68,37.06,0.03,0.08,0.98,1.13,1.22,893.49,844.61,218.92,11.11,42.1,3073.34,58.44,47.4,90,182101.51,17.73,235.21,1408.78,39.61,18.03,81.97,68.89,5.8,63452.26
821,(주)동서,26960,Dec-13,1996-05-22,2016-07-15,삭제,피흡수합병,  도매 및 상품 중개업,4,2.32,2.49,6.17,8.36,8.59,10.79,1.02,-0.46,18.57,26.89,6.02,11.82,13.04,1246,4717.86,0.44,0.49,0.84,17.7,9.94,14.27,25.59,20.62,36.7,0.03,0.07,0.83,0.92,0.97,964.78,917.36,174.81,10.86,43.44,1980.77,57.13,48.47,90.2,191093.43,17.17,239.2,1266.91,40.63,19.74,80.26,66.19,5.95,999999999
822,(주)동서,26960,Dec-14,1996-05-22,2016-07-15,삭제,피흡수합병,  도매 및 상품 중개업,4,6.86,-4.03,3.51,5.66,6.94,7.94,3.1,0.83,18.48,26.06,5.88,11.45,12.48,1284,5041.68,0.44,0.48,0.86,18.88,10.3,19.48,18.74,19.33,35.45,0.03,0.1,0.82,0.9,0.94,1384.59,1321.02,126.16,9.45,45.94,2118.19,55.26,49.51,91.37,198261.31,16.86,262.64,1455.45,39.44,21.03,78.97,66.08,6.41,999999999
823,(주)동서,26960,Dec-15,1996-05-22,2016-07-15,삭제,피흡수합병,  도매 및 상품 중개업,4,1.34,5.35,6.16,6.86,6.07,7.57,-4.65,13.12,17.47,24.53,4.92,10.28,11.18,1225,5109.27,0.42,0.46,0.83,17.89,9.99,21.4,17.05,20.41,36.52,0.03,0.15,0.78,0.84,0.88,1220.25,1161.33,70.76,10.2,45.76,2246.78,55.28,49.84,90.74,193098.29,15.37,244.79,1123.07,37.91,21.69,78.31,64.72,6.46,57058.87
824,(주)동성하이켐,13450,Dec-11,1999-06-11,2015-07-20,삭제,피흡수합병,  화학물질 및 화학제품 제조업; 의약품 제외,4,20.83,-3.24,-3.01,16.1,13.16,29.6,13.34,0.83,11.21,4.66,15.09,11.38,19.2,694,14601.82,2.44,4.12,6.47,17.41,9.79,10.81,33.77,20.96,37.27,0.04,0.06,2.53,3.92,5.07,183.5,146.72,72.94,70.72,29.77,752.35,59.04,65.42,58.58,26766.67,29.5,101.64,534.37,12.98,47.46,52.54,35.9,7.7,69.39
825,(주)동성하이켐,13450,Dec-12,1999-06-11,2015-07-20,삭제,피흡수합병,  화학물질 및 화학제품 제조업; 의약품 제외,4,2.01,21.46,87.54,32.48,23.01,3.38,13.54,27.1,12.7,5.19,13.52,10.35,18.41,801,14894.89,2,3.55,4.66,15.58,8.57,11.68,31.25,23.43,42.58,0.03,0.08,2.32,3.49,4.49,215.78,162.6,61.07,83.87,27.39,925.45,90.01,51.04,54.39,29811.48,24.8,113.35,580.27,14.17,47.76,52.24,36.6,7.22,18.66
826,(주)동성하이켐,13450,Dec-13,1999-06-11,2015-07-20,삭제,피흡수합병,  화학물질 및 화학제품 제조업; 의약품 제외,4,2.6,5,-30.3,9.2,12.6,47.09,-1.29,15.83,13.51,4.99,12.68,8.57,15.5,790,15282.38,1.72,3.11,4.32,13.23,7.64,11.73,31.12,27.58,47.78,0.02,0.11,1.85,2.85,3.63,170.55,137.45,37.65,78.31,28.44,1042.1,55.72,68.75,56.08,32786.54,24.98,97.9,312.63,15.19,46,54,32.85,6.58,8.84
827,(주)동성하이켐,13450,Dec-14,1999-06-11,2015-07-20,삭제,피흡수합병,  화학물질 및 화학제품 제조업; 의약품 제외,4,15.48,5.47,-1.26,3.86,20.17,6.19,-44.35,-17.91,12.09,2.4,11.53,4.48,7.4,381,15343.32,1.86,3.08,6.12,15.64,6.35,9.79,37.27,23.34,57.47,0.02,0.08,1.76,2.68,3.23,214.57,182.38,38.74,54.11,37.53,1088.73,45.78,70.29,64.89,29147.17,21.38,87.32,294.24,11.69,60.45,39.55,20.56,7.23,11.95
950,(주)드림티엔터테인먼트,220110,Dec-15,2015-06-24,2020-04-10,,,"  기타 전문, 과학 및 기술 서비스업",4,0,0,0,0,0,0,0,0,18.3,5.07,5.52,3.26,31.9,139,2884.28,0.64,5.94,1.2,0,8.76,0,0,0,41.69,0.02,0.11,0.58,1.38,1.38,71.59,71.59,18.95,824.53,-18.46,206.57,494.28,46.54,10.82,3284.7,13.08,182.75,960.43,20.34,46.41,53.59,24.94,8.99,3.97
951,(주)드림티엔터테인먼트,220110,Dec-16,2015-06-24,2020-04-10,,,"  기타 전문, 과학 및 기술 서비스업",4,12.98,-72.41,-61.42,-47.32,168.79,-31.13,0,0,18.8,-2.99,5.9,-2.85,-19.55,-129,2528.24,0.95,4,1.96,0,14.33,0,0,0,25.47,0.04,0.07,0.85,1.85,1.85,117.96,117.96,68.62,106.51,9.26,424.72,80.87,60.84,48.42,2827.16,21.36,570.08,1044.32,15.49,78.82,21.18,-19.3,15.91,3.74
952,(주)드림티엔터테인먼트,220110,Dec-17,2015-06-24,2020-04-10,,,"  기타 전문, 과학 및 기술 서비스업",4,52.1,10.48,-14.62,73.49,2.01,130.21,0,0,16.91,3.85,9.23,5.91,9.56,82,3839.31,1.53,4.24,5.78,0,15.96,0,0,0,22.88,0.04,0.06,1.12,2.09,2.09,113.84,113.84,70.93,243.82,9.81,433.26,66.26,80.73,29.09,4877.1,21.24,890.15,2408.89,17.57,51.72,48.28,21.93,53.18,203.01
953,(주)드림티엔터테인먼트,220110,Dec-18,2015-06-24,2020-04-10,,,"  기타 전문, 과학 및 기술 서비스업",4,-42.33,-36.78,-64.03,-85.3,-92.12,-90.38,-1178.26,0,19.02,-39.94,6.79,-48.56,-189.23,-832,2214.3,1.22,4.46,5.32,0,9.8,0,0,0,37.25,0.03,0.1,0.82,1.58,1.58,69.71,69.71,8.84,583.77,-22.96,31.18,322.5,52.83,14.62,-3248.63,-96.26,-937.92,-2428.32,-20.29,0,0,0,35.8,26.99
954,(주)드림티엔터테인먼트,220110,Dec-19,2015-06-24,2020-04-10,,,"  기타 전문, 과학 및 기술 서비스업",4,-28.6,40.32,-86.34,-57.3,214.2,98.57,0,0,59.44,5.7,13.91,5.03,21.97,21,485.28,0.88,3.85,1.31,0,32.24,0,0,0,11.32,0.09,0.03,0.8,2.69,2.69,174.91,174.91,12.61,72.21,31.27,70.92,46.45,73.02,58.07,1665.42,63.94,805.29,2105.86,43.36,40.57,59.43,13.15,21.69,16.1
985,(주)디아이디,74130,Dec-11,2005-07-27,2015-07-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,33.63,72.19,73.27,44.82,-23.87,25.51,0,67.88,-1,-2.43,-6.92,-6.54,-36.02,-938,39751.27,2.69,11.9,5.96,18.94,11.84,7.65,47.71,19.27,30.82,0.42,0.04,2.22,4.9,6.61,75.21,53.31,7.26,484.75,-17.01,446.27,282.89,51.62,17.1,19197.33,5.83,12.52,30.44,2.56,102.04,-2.04,-94.92,6.09,-6.2
986,(주)디아이디,74130,Dec-12,2005-07-27,2015-07-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,6.39,-1.84,-1.19,7.21,28.27,15.08,0,9.3,4.44,1.74,5.93,4.07,26.82,689,42289.49,2.33,11.42,5.03,15.36,9.18,5.13,71.17,23.76,39.76,0,0.05,1.92,4.35,6.08,82.26,59.51,9.84,324.92,-11.95,572.42,189.46,55.41,23.53,70054.86,19.83,47.45,132.68,8.8,50.65,49.35,19.82,5.17,3.9
987,(주)디아이디,74130,Dec-13,2005-07-27,2015-07-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-13.02,-75.02,-69.58,-29.21,-76.24,3.28,0,-87.32,-2.94,-6.72,-12.76,-15.42,-119.38,-2156,36781.62,2.3,11.69,6.74,22.71,11.86,7.19,50.77,16.07,30.77,0,0.04,1.66,3.48,4.11,101.09,97.66,1.21,606.65,0.88,136,135.39,80.84,14.15,38810.42,15.52,115.04,3758.27,5.6,163.64,-63.64,-119.85,7.27,-11.51
988,(주)디아이디,74130,Dec-14,2005-07-27,2015-07-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-73.35,5.55,27.26,-54.38,-28.83,-73.73,0,-80.23,-3.07,-6.02,-9.11,-6.11,-95.83,-569,9802.94,1.01,8.3,3.39,44.92,12.58,11.28,32.37,8.13,29.01,0.21,0.02,0.68,1.45,1.49,60.71,59.15,38.02,1151.84,-30.13,96.78,669.06,46.55,7.99,43745.62,38.35,109.18,3807.18,23.7,83.72,16.28,-25.42,4.71,-4.58
1012,(주)디에스,51710,Dec-11,2004-06-18,2013-05-01,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-41.54,-20.43,-0.48,-20.26,-52.34,-38.36,0,-10.9,-1.83,-4.95,-7.74,-11.06,-131.56,-2810,43213.4,2.24,21.89,4.22,14.65,14.13,6.11,59.77,24.92,25.82,0,0.04,1.79,4.76,7.05,51.99,31.11,11.27,958.66,-37.28,209.28,631.27,40.37,9.45,18682.99,5.27,12.61,37.45,2.09,187.8,-87.8,-236.47,5.31,-3.26
1013,(주)디에스,51710,Dec-12,2004-06-18,2013-05-01,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-26.15,-1.17,-34.52,-54.96,-27.63,-85.72,0,-92.73,-8.42,-3.34,-36.54,-10.53,-120.72,-981,28629.55,3.16,36.17,4.6,26.48,39.92,8.72,41.86,13.79,9.14,0,0.02,2.87,10.03,16.15,15.38,12.22,0.75,747.64,-69.69,132.94,740.3,12.66,11.8,23320.96,18.63,35.46,247.27,3.67,74.79,25.21,-91.04,9.34,-6.57
1032,(주)디에이치패션,45260,Dec-11,2001-11-08,2012-08-01,,,  도매 및 상품 중개업,4,-20.44,-6.67,-19.47,-12.15,24.46,21.49,0,-87.32,15.14,-183.56,-10.89,-22.75,-28.38,-182,81.14,0.12,0.15,0.16,5.1,3.44,30.65,11.91,71.54,106.19,0.01,0,0.32,0.59,0.66,2170.05,2118.72,704.07,5.2,23.58,116.41,79.2,24.72,95.06,-3920.05,-13,-32.42,-339.92,-98.06,0,0,0,0.32,-6.6
1129,(주)디지텍시스템스,91690,Dec-11,2007-07-04,2015-01-21,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,1.36,10.49,5.73,23.68,5.84,38.85,-74.16,46.77,9.93,3.57,5.01,2.99,4.31,355,10110.52,0.84,1.25,1.99,3.7,8.21,7.39,49.39,98.68,44.47,0.01,0.22,1.03,1.45,2.38,290.63,174.18,19.31,59.77,39.92,1654.7,62.53,60.86,62.59,24505.42,13.41,45.53,113.33,17.69,47.13,52.87,20.19,2.41,8.22
