,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
9939,완리인터내셔널홀딩스,900180,Dec-14,2011-06-13,2018-05-23,삭제,,  전문 서비스업,4,6.7,25.59,21.66,15.99,18.86,3.07,35.59,35.94,29.39,15.48,14.57,9.66,15.04,409,4883.78,0.62,0.97,0.87,10.89,5.84,23.97,15.23,33.52,62.54,0.01,0,1.17,2.18,2.72,136.06,105.2,38.76,54.01,7.18,331.64,112.28,27.1,64.93,55298.25,13.51,23.66,40.72,23.25,0,0,66.56,0.95,9.69
9940,완리인터내셔널홀딩스,900180,Dec-15,2011-06-13,2018-05-23,삭제,,  전문 서비스업,4,13.46,7.53,8.83,20.98,16.16,53.67,-3.4,19.02,28.53,13.18,12.82,7.86,12.38,394,2995.31,0.6,0.94,0.87,9.79,5.27,37.54,9.72,37.28,69.2,0.01,0,1.19,1.92,2.39,185.86,153.21,85.6,60.41,15.9,378.14,105.2,34.42,62.34,56961.34,11.5,21.59,38.77,21.11,0,0,62.42,0.94,7.25
9941,완리인터내셔널홀딩스,900180,Dec-16,2011-06-13,2018-05-23,삭제,,  전문 서비스업,4,-18.74,-3.57,-4.3,-1.69,11.45,3.3,-38.2,0.07,29.1,10.02,8.58,4.48,6.73,242,2433.98,0.45,0.67,0.69,7.32,3.68,28.8,12.67,49.87,99.1,0.01,0,0.84,1.27,1.53,209.85,174.13,95.38,41.51,18.93,326.36,90.33,36.17,70.67,38521.13,7.91,15.74,27.76,17.57,0,0,57.04,0.75,6.13
9942,완리인터내셔널홀딩스,900180,Dec-17,2011-06-13,2018-05-23,삭제,,  전문 서비스업,4,-21.26,-6.23,1.58,-2.48,-5.48,-9.67,-13.72,-7,25.75,10.98,6.3,3.94,5.67,184,1684.24,0.36,0.52,0.55,5.97,3.17,29.65,12.31,61.15,115.24,0.01,0,0.67,1.03,1.25,169.32,139.65,86.12,46,13.72,326.59,97.09,33.5,68.49,25421.57,5.35,10.93,18.37,14.72,0,0,74.58,0.62,999999999
9943,우경(주),25920,Dec-11,1995-08-07,2013-07-10,,,  1차 금속 제조업,4,-16.11,-2.52,14.7,53.25,-14.5,102.24,0,140.62,10.71,-15.84,-1.76,-12.58,-49.7,-3159,19857.4,0.79,3.14,1.67,8.22,3.38,0,0,44.4,108.14,0.01,0.09,0.68,1.51,1.85,88.66,71.46,2.05,418.66,-7.43,116.68,217.21,58.12,19.28,1642.31,3.28,10.29,162.93,4.99,167.47,-67.47,-317.35,2.04,-0.26
9944,우경(주),25920,Dec-12,1995-08-07,2013-07-10,,,  1차 금속 제조업,4,37.88,4.33,-4.95,6.18,-27.62,14.21,0,-31.66,9.65,-10.01,-2.89,-8.79,-54.5,-2567,25178.57,0.88,5.44,2.22,9.53,3.73,21.2,17.22,38.3,97.8,0.01,0,0.68,1.45,1.72,86.25,76.24,5.77,660.91,-9.96,69.78,285.25,62.51,13.14,2307.25,4.33,13.86,267.84,5.09,111.3,-11.3,-196.81,2.78,-0.44
10014,우양에이치씨(주),101970,Dec-12,2012-07-26,2015-03-17,,,  금속가공제품 제조업; 기계 및 가구 제외,4,20.62,36.01,53.64,35.52,73.67,26.1,-3.78,16.79,18.77,3.33,8.49,2.45,9.74,594,18974.02,0.74,2.93,2,19.65,12.72,9.04,40.36,18.58,28.7,0.14,0.04,0.57,1.17,1.24,97.03,91.46,3.48,260.08,-1.88,1161.43,139.7,61.2,27.77,44189.46,13.98,66.68,102.46,21.83,44.97,55.03,15.25,2.86,2.06
10015,우양에이치씨(주),101970,Dec-13,2012-07-26,2015-03-17,,,  금속가공제품 제조업; 기계 및 가구 제외,4,11.64,44.83,28.27,18.15,48.06,11.72,69.94,-10.35,17.11,5.07,6.85,3.32,10.52,663,12120.16,0.66,2.08,1.62,21.47,11.85,9.64,37.85,17,30.79,0.1,0.04,0.58,1.1,1.16,129.45,123.49,1.01,187.33,13.17,1332.22,121.03,57.88,34.8,55243.66,14.8,90.14,143.28,24.44,44.17,55.83,20.73,2.27,2.71
10036,울트라건설(주),4320,Dec-11,1991-12-06,2015-04-13,,,  종합 건설업,4,-26.7,-27.66,22.77,9.24,-46.08,2.32,0,110.21,-5.28,-10.14,-8.27,-7.94,-63.53,-7775,63711.85,0.78,6.1,2.17,2.76,2298.64,3.1,117.79,132.47,0.16,0.07,0,0.6,1.22,2.2,105.44,42.71,20.24,1019.79,3.2,141.78,425.61,61.99,8.93,-8958.35,-1.3,-39.2,-29861.17,-1.74,0,0,0,18.91,-7.28
10037,울트라건설(주),4320,Dec-12,1991-12-06,2015-04-13,,,  종합 건설업,4,-12.96,-13.52,-5.06,-18.91,8.21,-27.41,0,-40.94,6.57,0.98,2.84,0.71,6.79,606,55455.28,0.72,7.02,1.76,2.22,2000.76,3.46,105.46,164.05,0.18,0.02,0,0.61,1.22,2.7,94.99,49.01,15.2,738.73,-2.93,153.42,373.25,55.5,11.92,59302.1,10.65,300.05,312116.3,13.23,65.52,34.48,7.44,21.03,1.25
