[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
36.65,1.22,32.3,198.5,7.61,3.36,1.31,4.75,37.18,2014,0
36.47,1.3,31.64,186.04,7.54,3.8,2.42,7.74,36.5,2015,0
32.47,1.19,39.88,188.59,7.26,9.87,1.71,4.64,35.23,2016,0
34.3,1.12,36.27,235.08,8.56,9.11,0.91,2.61,31.73,2017,0
29.99,1.39,28.48,194.32,11.07,15.43,3.03,9.65,43.21,2018,0
74.13,1.45,17.3,66.59,21.57,-12.94,4.63,13.29,19.09,2011,0
80.04,1.2,12.23,61.35,24.61,-10.65,6.94,15.67,27.55,2012,0
80.43,1.21,19.64,94.98,21.24,35.04,6.69,17.76,27.49,2013,0
81.03,1.09,26.49,77.55,23.29,0.07,6.2,15.64,26.62,2014,0
75.9,1.19,22.55,69.36,56.52,35.72,5.59,13.66,24.57,2015,0
81.4,1.13,25.53,82.28,59.98,-13.32,5.33,12.62,21.64,2016,0
82.51,1.38,22.11,65.57,59.98,-2.42,4.93,14.33,28.25,2017,0
81.32,1.27,21.67,61.18,59.98,13.69,5.46,13.35,24.2,2018,0
41.38,1.29,8.25,11.8,11.34,10.28,4.12,2.99,41.04,2011,0
41.67,1.17,7.47,9.45,9.81,4.8,5.21,3.46,39.72,2012,0
46.1,0.92,9.05,12.1,8.88,-3.89,5.79,2.89,34.72,2013,0
45.66,0.81,9.03,10.5,8.22,0.53,3.77,1.73,30.89,2014,0
44.89,0.7,10.14,9.3,6.36,1.0,-4.56,-1.93,-13.41,2015,0
40.03,0.68,10.81,9.79,6.45,7.02,-3.96,-1.39,-5.09,2016,0
35.78,0.64,10.77,9.33,7.28,21.77,15.44,4.88,44.66,2017,0
30.55,0.67,9.63,10.64,8.71,6.53,-4.84,-1.26,24.21,2018,0
41.38,1.13,3.93,86.43,22.55,50.65,-4.12,-5.18,-65.42,2011,0
35.13,1.26,3.24,30.98,27.56,9.16,11.04,12.28,57.49,2012,0
39.71,1.72,1.85,36.17,41.87,-2.56,1.71,2.07,33.35,2013,0
38.33,1.53,1.89,24.88,32.96,-4.39,0.77,0.85,25.16,2014,0
43.82,1.14,2.63,30.1,18.82,-1.61,-1.33,-1.11,7.93,2015,0
45.04,1.26,2.08,29.89,19.81,0.84,0.75,0.77,21.23,2016,0
45.38,1.52,2.68,25.64,16.26,0.03,2.28,2.78,31.2,2017,0
41.66,1.5,4.43,16.59,14.58,-2.52,-0.63,-0.68,12.49,2018,0
35.79,0.7,18.75,136.46,12.98,333.07,-2.87,-2.81,-0.62,2011,0
32.5,0.8,17.25,86.55,12.37,0.04,2.81,3.52,49.61,2012,0
61.25,2.65,28.66,112.58,8.22,24.01,0.81,1.94,52.42,2013,0
59.51,1.68,60.43,113.29,4.52,25.52,1.0,2.0,55.12,2014,0
63.5,1.6,69.57,133.09,4.43,-1.11,1.22,2.87,54.59,2015,0
68.27,1.55,74.47,146.75,4.34,-14.43,-1.01,-14.59,24.58,2016,0
68.15,1.49,73.16,143.09,5.08,-12.66,-1.8,-20.37,20.26,2017,0
92.89,1.26,15.06,28.6,15.13,-21.67,4.03,7.9,51.71,2018,0
64.51,0.9,32.39,90.53,4.24,47.8,8.49,12.25,27.54,2011,0
58.74,1.25,27.08,49.48,10.47,19.02,10.81,20.94,35.16,2012,0
60.1,1.58,22.24,46.91,12.09,12.52,7.32,14.17,29.79,2013,0
61.4,1.57,15.75,37.62,9.19,8.07,8.84,16.07,31.66,2014,0
50.78,1.61,12.12,22.97,9.05,27.01,6.76,10.26,22.99,2015,0
56.56,2.05,22.75,30.82,11.73,25.03,9.68,23.25,36.3,2017,0
52.04,1.72,18.09,22.4,8.22,13.24,7.93,12.42,25.89,2018,0
50.06,0.42,96.41,148.74,2.4,-4.0,-58.01,-59.57,0.0,2011,0
42.28,0.73,47.16,139.1,5.12,3.85,-8.84,-14.7,-37.85,2012,0
41.4,0.92,33.64,139.4,6.68,7.46,3.27,6.85,38.53,2013,0
42.09,0.79,48.55,141.45,4.84,3.77,1.97,3.68,33.93,2014,0
43.43,0.8,50.32,128.17,4.48,-0.8,3.62,6.54,36.21,2015,0
40.55,0.78,39.5,109.21,4.35,4.94,3.5,5.21,36.86,2016,0
48.92,0.8,48.4,144.41,4.07,-14.92,-7.4,-11.04,15.78,2017,0
43.43,0.6,68.47,105.94,3.37,3.67,-12.5,-14.04,-39.63,2018,0
