회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
대한해운(주),005880,2011/12,-51.33,-386.49,-63.58,  수상 운송업,1992/04/23,,113.96,102.56,17.63,2.3,1613.23,116.48,64.7,-1.85,-8.67,7.77,1391.92,18.75,-15.23,-28.72,-144.19,-10.01,-10.22,-71.36,0.36,2.48,0.44,20.5,5.38,9.02,40.48,17.8,67.85,0.02,0.06,-37.82,-85.21,0,-225131,-34.44,-38.05,-36.79,-29.25,0,47810.23,,-13730.89,5.84,0.96,0.46,1.92,2.11,,,,,,-941534.79,,,,-54.57,-72.23,0,-117.56,0,0,0
덕양산업(주),024900,2020/12,-1.77,-12.88,-4.96,  자동차 및 트레일러 제조업,1997/06/23,,74.9,71.18,12.06,-19.93,819.81,272.39,18.68,-0.14,-1.95,4.02,372.55,59.5,1.35,-0.04,-0.7,0,-0.1,-0.86,2.53,22.08,6.24,96.62,6.29,4.67,78.23,3.78,58.03,0,0.01,1.33,-5.37,0,-182,10.38,0.87,1.65,30.84,0,39675.29,,-15.4,10.87,1.83,8.75,4.27,4.46,,,,,,84970.86,,,,16.56,56.94,235.77,6.58,81.21,18.79,-10.59
도레이케미칼(주),008000,2014/12,-3,-7.57,-7.66,  화학물질 및 화학제품 제조업; 의약품 제외,1976/06/23,2018/03/20,164.7,105.68,33.95,15.83,150.82,127.75,40.94,3.14,-0.91,4.12,149.76,40.29,14.66,4.32,-2.47,5.33,5.23,13.15,1.21,3.04,2,8.78,7.7,12.66,28.84,41.57,47.43,0.02,0.26,-6.84,-5.35,0,-510,-11.27,-9.09,-3.28,2.1,43.08,20571.77,,888.43,39.87,1.73,2.36,3.06,4.7,,,,,,118728.66,,,,15.62,33.41,75.75,12.45,71.61,28.39,-19.88
동국제강(주),001230,2012/12,-2.41,-8.43,-10.98,  1차 금속 제조업,1988/05/09,,113.52,80.31,17.72,5.15,228.81,593.23,54.21,-0.31,-0.25,4.1,186.52,43.28,3.77,-0.85,-2.99,-0.31,-0.69,-2.24,0.81,2.63,1.48,5.31,5.9,7.38,49.47,68.76,61.84,0.01,0.26,-8.2,-10.7,0,-3686,-0.47,-0.5,-16.65,-33.93,0,127307.82,,-1082.23,30.41,0.93,1.75,1.77,2.66,,,,,,564990.15,,,,6.06,12.86,25.36,7.18,57.29,42.71,-41.61
동국제강(주),001230,2013/12,-1.28,-4.87,-14.99,  1차 금속 제조업,1988/05/09,,91.15,64.83,14.42,-4.03,247.84,541.94,57.23,0.4,0.41,3.9,203.69,41.44,6.46,1.21,-1.77,1.13,0.88,2.97,0.73,2.45,1.26,5.89,5.1,7.02,52.01,61.92,71.54,0.01,0.25,-2.26,-8.65,0,-1924,-2,0.9,-6.4,-7.6,0,108223.73,,1312.12,28.75,0.86,1.51,1.71,2.42,,,,,,646808.89,,,,7.1,15.14,30.57,9.67,46.15,53.85,-18.31
동국제강(주),001230,2014/12,-3.26,-12.25,-9.3,  1차 금속 제조업,1988/05/09,,72.72,46.9,7.31,-14.36,239.51,394.92,58.67,-0.11,-1.09,3.72,209.58,38.27,5.48,-0.34,-4.82,0.03,-0.23,-0.78,0.68,2.32,1.12,5.29,4.66,7.31,49.92,68.96,78.36,0.01,0.38,-2.81,-3.77,0,-3708,3.21,2.45,-10.25,10.34,0,80762.25,,-271.16,29.45,0.76,1.36,1.69,2.49,,,,,,382945.7,,,,4.33,8.57,18.96,6.31,79.69,20.31,-76.37
동국제강(주),001230,2015/12,-2.85,-11.23,-5.74,  1차 금속 제조업,1988/05/09,,72.14,54.73,11.96,-13.25,207.04,349,53.99,1.27,-0.37,3.42,201.72,34.3,9.59,3.39,-3.92,2.61,2.46,7.98,0.73,2.36,1.14,6.45,4.68,8.93,40.89,56.59,78.05,0.01,0.45,-22.11,-6.44,0,-2556,-9.14,-17.1,-30.19,-52.54,0,59987.64,,2030.69,32.57,0.84,1.32,1.99,2.87,,,,,,550928.48,,,,7.99,13.55,30.94,9.63,60.87,39.13,-40.73
동국제강(주),001230,2018/12,-5.15,-14.25,-1.4,  1차 금속 제조업,1988/05/09,,67.32,40.09,10.63,-18.42,181.97,326.81,46.89,1.22,-1.86,4.29,175,37.94,8.07,2.43,-5.1,2.53,2.45,6.58,1.01,2.71,1.57,7.23,7.41,10.51,34.72,50.5,49.24,0.02,0.24,-5.92,-14.57,-6674.97,-3157,-7.07,-12.01,6.07,14.05,-39.93,62504.03,,1518.99,35.47,1.14,1.69,2.82,4.64,,,,,,325094.09,,,,5.67,9.62,25.1,5.45,99.08,0.92,-93.66
동국제강(주),001230,2019/12,-1.46,-3.63,-5.14,  1차 금속 제조업,1988/05/09,,68.12,40.91,13.76,-16.7,179.63,313.91,49.27,1.36,0.27,4.5,179.85,35.68,8.98,2.91,-1.44,3.09,2.95,8.27,1.01,2.85,1.6,6.84,7.7,10.77,33.88,53.36,47.43,0.01,0.27,-5.08,-3.95,0,-725,-4.17,-1.64,-10.72,-11.86,13.52,59292.35,,1724.31,35.76,1.11,1.7,2.75,4.6,,,,,,569305.74,,,,10.47,17.61,48.09,10.06,56.97,43.03,-14.35
동부건설(주),005960,2011/12,-6.69,-34.29,-1.07,  종합 건설업,1978/10/30,,77.41,74.21,7.86,-13.8,509.14,326.11,49.78,-1.3,-1.6,7.51,321.16,47.28,10.73,-5.09,-7.22,-4.13,-4.72,-23.4,0.93,4.59,1.84,32.93,6.25,5.62,64.95,11.08,58.44,0.22,0.03,2.85,-30.49,0,-8452,12.34,13.28,-6.72,-45.69,0,93471.84,,-4761.32,16.42,0.86,7.04,1.87,1.98,,,,,,249327.75,,,,9.7,81.41,371.95,10.61,103.45,-3.45,-68
