회사명,거래소코드,회계년도,산업명,상장일,상장폐지일,[제조]매출액(수익)(*)(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
현대비앤지스틸(주),004560,2018/12,  1차 금속 제조업,1987/03/24,,712681665,249.38,132.62,33.91,35.42,58.53,503.04,19.42,10.63,13.39,2.91,64.79,59.13,9.59,4.92,2.73,6.07,5.89,3.27,5.2,9.38,1.2,1.91,2.85,4.74,5.31,13.56,26.91,76.93,68.76,0.01,0,-1.81,3.6,4.65,-1.64,1280,1.76,-1.89,7.77,26.3,13.98,46921.95,,2307.13,63.08,1.43,3.9,2.06,3.65,,,,,,89227.1,,,,14.73,50.95,108.03,12.52,46.82,53.18,21.79
현대비앤지스틸(주),004560,2019/12,  1차 금속 제조업,1987/03/24,,733254621,396.45,242.55,50.18,44.87,51.04,530.62,19.18,11.7,15.39,2.66,60.41,60,10.02,4.98,2.97,6.2,6.02,3.59,5.55,9.3,1.21,1.87,2.99,4.74,5.3,16.32,22.36,77.01,68.83,0.01,0,2.89,0.5,5.48,12.01,1433,-0.24,-1.65,1.98,-15.44,4.22,48276.44,,2404.39,66.21,1.53,3.99,2.03,3.54,,,,,,82725.93,,,,13.59,45.12,113.38,11.28,45.08,54.92,26.32
현대비앤지스틸(주),004560,2020/12,  1차 금속 제조업,1987/03/24,,680242923,341.89,222.78,33.42,44.26,51.35,564.22,17.89,11.08,14.02,2.59,56.67,62.56,10.34,4.91,3.47,5.41,5.31,3.75,5.68,8.03,1.08,1.64,2.8,4.81,4.64,15.34,23.79,75.95,78.59,0.01,0,-7.23,6.55,6.33,8.37,1553,0.25,-0.25,11.08,-0.32,-8.54,44786.23,,2199.11,66.07,1.39,3.7,1.76,2.79,,,,,,90614.44,,,,13.97,49.55,135.89,13.32,45.97,54.03,26.04
현대약품(주),004310,2011/11,  의료용 물질 및 의약품 제조업,1978/05/30,,114276100,194.22,156.36,30.25,27.05,50.45,741.83,17.72,2.55,2.85,9.74,66.57,55.76,40.18,3.03,0.48,4.9,4.41,0.69,1,6.63,1.46,2.19,3.29,13.4,4.23,45.02,8.11,27.24,86.21,0.01,0,0,0,0,0,22,0,0,0,0,0,4081.29,,123.58,66.47,1.72,5.61,2.61,3.24,,,,,,34028.13,,,,21.68,83.98,5195.33,29.78,84.68,15.32,1.6
현대약품(주),004310,2012/11,  의료용 물질 및 의약품 제조업,1978/05/30,,102253367,196.66,141.66,37.12,28.25,50.37,708.75,19.54,-3.4,-7.38,4.44,63.93,57.49,38.4,-4.22,-4.74,-2.47,-2.81,-3.16,-4.78,-4.23,0.67,1,1.54,4.97,2.11,19.22,18.99,73.46,173.18,0,0,-10.52,-4.49,-4.46,0,-207,-18.73,-8.22,-1.53,41.28,0,3651.91,,-154.24,66.5,0.78,2.77,1.18,1.54,,,,,,25712.28,,,,17.15,79.56,4127.24,25.15,112.12,-12.12,-18.85
현대약품(주),004310,2013/11,  의료용 물질 및 의약품 제조업,1978/05/30,,108135474,219.62,162.39,38.44,30.57,41.69,719.32,14.47,2.25,3.52,3.89,62.17,56.12,37.65,2.02,1.35,1.84,1.49,1,1.42,2.18,0.74,1.08,1.71,4.8,2.53,17.42,20.96,76.07,144.42,0.01,0,5.75,-4.34,1.49,0,60,0.75,-1.26,-6.61,-12.98,0,3861.98,,78.11,70.58,0.88,3.25,1.3,1.78,,,,,,29382.14,,,,20.49,90.01,2431.23,27.17,87.35,12.65,4.97
현대약품(주),004310,2014/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대약품(주),004310,2015/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대약품(주),004310,2016/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대약품(주),004310,2017/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
