회사명,거래소코드,회계년도,매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)DB하이텍,000990,2010/12,-49.85,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,224.88,167.25,67.07,12.51,247.03,187.47,56.82,-3.82,-2.05,8.79,268.87,22.52,-21.57,-61.04,-30.83,-18.32,-18.43,-9.31,-37.78,-75.28,0.3,1.23,0.38,3.47,5.07,7.16,51,105.33,72.04,0.01,0.73,-49.34,-35.16,0,-5072,-59.87,-50.43,-45.2,-71.33,0,14602.72,,-8913.44,28.82,0.79,0.43,1.41,2.38,,,,,,377761.65,,,,27.35,47.49,117,60.93,41.59,58.41,-50.6
(주)DB하이텍,000990,2011/12,-10.94,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,35.2,25.5,5.04,-42.95,289.22,143.54,59,-0.75,-0.79,7.71,298.42,23.33,16.62,-7.81,-17.74,-2.91,-3.34,-7.59,-27.74,-12.22,0.43,1.56,0.56,7.04,6.12,20.51,17.79,51.83,59.6,0.01,0,-13.19,-22.6,0,-2541,-7.89,-14.1,-10.08,-3.28,0,12865.19,,-1005.29,25.69,0.72,0.7,1.87,2.54,,,,,,217837.57,,,,18.17,29.75,78.9,39.45,62.53,37.47,-44.96
(주)DB하이텍,000990,2013/12,-16.42,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,46.76,31.58,7.39,-23.99,416.9,92,62.73,-0.16,-0.44,8.85,408.01,21.07,18.08,-1.95,-16.82,-0.6,-0.87,-7.49,-33.51,-3.88,0.45,1.99,0.59,6.51,7.74,20.81,17.54,56.05,47.13,0.01,0,-8.58,-29.61,0,-2066,-7.2,-1.55,-27.88,-8.69,0,11092.77,,-215.91,19.35,0.63,0.75,1.86,2.6,,,,,,191554.48,,,,18.1,31.86,112.45,38.8,67.15,32.85,-43.35
(주)DB하이텍,000990,2017/12,-12.08,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,243.53,191.87,74.02,20.97,118.07,204.8,35.77,6.05,5.83,6.09,140.48,35.58,37.3,21.07,16.21,14.66,14.46,11.12,27.62,35.9,0.69,1.7,1.08,8.98,6.94,17.41,20.96,40.64,52.61,0.01,0,0.73,33.31,24.71,2546,1.44,3.63,-4.14,-1.74,-16.95,15271.17,,3217.06,45.86,1.19,1.23,1.88,2.38,,,,,,329388.04,,,,33.14,63.21,148.35,48.46,40.2,59.8,33.45
(주)DB하이텍,000990,2018/12,-1.54,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,244.51,217.15,75.96,21.24,91,250.9,28.6,6.77,8.44,5.06,122.34,35.95,32.17,16.88,12.97,11.34,10.97,8.43,17.12,22.28,0.65,1.32,1.01,11.35,7.25,19.03,19.18,32.15,50.33,0.02,0,7.3,22.51,-21.19,2002,7.56,6.69,8.4,-42.83,-21.09,15036.21,,2538.53,52.36,1.29,1.16,1.82,2.16,,,,,,309084.25,,,,28.98,61.13,140.95,46.18,42.92,57.08,28.09
(주)HJ중공업,097230,2010/12,-13.92,  종합 건설업,2007/08/31,,79.27,70.87,32.09,-9.58,284.77,817.47,34.35,0.54,0.56,6.54,243.79,36.64,10.29,3.78,-2.28,1.89,1.53,-0.92,-3.58,5.93,0.4,1.57,0.66,8.38,19.62,9.35,39.05,43.58,18.6,0.04,0.05,-7.93,-6.09,0,-1512,-27.89,-0.87,-18.03,-37.11,-69.33,66256.75,,2504.17,25.99,0.48,0.83,1.04,1.18,,,,,,548737,,,,7.29,17.28,131.52,17.32,40.02,59.98,-13.17
(주)HJ중공업,097230,2011/12,-8.72,  종합 건설업,2007/08/31,,96.33,81.81,34.4,-1.29,276.93,772.2,48.42,0.55,0.52,6.6,248.82,33.99,7.85,3.73,-3.35,1.85,1.48,-1.33,-5.07,5.65,0.4,1.51,0.61,8.86,10.97,10.41,35.07,41.19,33.26,0.03,0.11,-6.49,-4.59,0,-2007,-1.53,-2.58,-13.26,23.47,-9.82,59879.7,,2236.02,26.53,0.52,0.91,1.12,1.29,,,,,,494018,,,,7.02,15.81,125.15,17.09,41.15,58.85,-19.62
(주)HJ중공업,097230,2012/12,-11.83,  종합 건설업,2007/08/31,,92.89,83.75,29.88,-2.64,283.85,709.67,56.24,0.27,0.75,5.43,251.29,34.54,7.49,2.08,-2.09,1.05,0.78,-0.78,-2.95,2.95,0.37,1.42,0.57,8.72,9.73,11.03,33.1,41.84,37.52,0.02,0.13,-6.42,-8.1,0,-1095,-7.72,-7.2,-4.91,-37.93,-50.99,52793.54,,1095.79,26.05,0.53,0.84,1.09,1.25,,,,,,543885,,,,8.26,19.11,156.53,21.33,39.22,60.78,-9.78
(주)HJ중공업,097230,2013/12,-0.78,  종합 건설업,2007/08/31,,84.9,66.58,17.98,-7.42,307.77,472.61,56.46,-0.4,-0.64,4.69,237.61,41.73,2.57,-2.75,-7.52,-0.77,-1.05,-2.87,-11.28,-4.15,0.38,1.51,0.62,6.13,10.82,10.62,34.37,59.57,33.75,0.02,0.16,1.49,-4.44,0,-2931,-3.21,-9.66,22.63,168.88,0,39241.14,,-1079.4,24.52,0.47,0.89,1,1.19,,,,,,358044,,,,5.36,12.86,109.23,14.16,78.13,21.87,-53.12
(주)HJ중공업,097230,2014/12,-0.36,  종합 건설업,2007/08/31,,93.12,70.06,12.33,-3.02,311.31,307.71,52.96,-0.88,-1.07,4.58,243.01,40.92,-0.67,-5.75,-11.9,-2.05,-2.2,-4.56,-18.64,-9.03,0.38,1.57,0.65,4.01,10,9.67,37.73,91.07,36.52,0.01,0.23,-3.19,-3.88,0,-3674,-3.73,-1.84,-5.07,8.98,0,30961.17,,-1781.12,24.31,0.44,0.91,0.93,1.21,,,,,,291365,,,,4.5,11,96.65,11.56,96.22,3.78,-102.9
(주)HJ중공업,097230,2016/12,-9.7,  종합 건설업,2007/08/31,,89.96,64.36,5.26,-5.04,487.19,168.96,59.62,-0.58,-1.72,4.39,322.2,45.13,2.12,-2.82,-11.89,-1.21,-1.42,-5.99,-29.53,-7.01,0.5,2.49,0.88,3.63,17.69,8.73,41.82,100.48,20.63,0.01,0.08,-11.13,-34.57,0,-3216,-12.12,-17.24,-2.36,-22.77,0,27042.57,,-762.45,17.03,0.52,1.09,1.17,1.73,,,,,,221273,,,,4.21,9.42,89.18,7.87,127.06,-27.06,-151.15
(주)HJ중공업,097230,2017/12,-12.83,  종합 건설업,2007/08/31,,56.89,35.58,4.37,-34.12,628.81,108.99,58.98,-1.08,-1.78,3.84,400.64,45.03,0.87,-4.76,-11.34,-2.29,-2.47,-5.87,-37.73,-15.85,0.52,3.33,0.94,3.54,18.47,8.59,42.51,103.04,19.76,0.01,0.07,-19.97,-35.5,0,-2622,-25.45,-19.82,-20.15,5.11,0,23123.58,,-1100.33,13.72,0.48,1.17,1.15,1.7,,,,,,171765,,,,4.08,9.62,88.72,7,119.69,-19.69,-161.84
(주)HJ중공업,097230,2018/12,-30.76,  종합 건설업,2007/08/31,,80.41,56.15,10.7,-15.34,0,-133.46,61.15,0.62,0.91,4.82,0,62.95,8.29,3.63,-75.6,2.05,1.78,-36.99,0,0,0.49,0,1.02,2.76,14.13,7.12,51.3,132.07,25.83,0.01,0.1,-35.02,-222.45,0,0,-64.36,-56.21,-9.15,-26.83,0,16009.7,,581.56,-25.91,0.37,1.4,0.94,1.42,,,,,,390449,,,,14.28,61.34,1195.57,23,46.6,53.4,-328.76
(주)HJ중공업,097230,2019/12,-4.07,  종합 건설업,2007/08/31,,70.48,50.77,6.64,-22.05,908.28,58.86,45.25,0.69,0.79,8.7,477.43,52.65,10.9,5.15,18.8,3.87,3.22,11.77,0,0,0.63,0,1.49,3.69,12.67,8.93,40.86,98.93,28.81,0.01,0.13,-9.64,0,0,5185,-3.7,15.5,-24.43,-29.94,35.93,18223.9,,938.06,9.92,0.46,2.6,1.08,1.52,,,,,,333185,,,,13.49,54.33,1206.67,20.46,51.68,48.32,91.89
(주)MH에탄올,023150,2010/12,-14.59,  음료 제조업,1996/12/24,,59.65,48.97,1.16,-23.07,189.26,1040.05,7.09,0.77,0.88,10.58,190.63,34.1,14.74,6.26,-3.26,3.46,2.59,-1.35,-3.46,7.52,0.41,1.2,0.61,5.89,5.92,60.95,5.99,62.01,61.63,0.01,0,2.58,1.65,0,-225,1.5,-2.98,15.34,-21.46,-29.87,7864.07,,492.68,34.57,0.47,0.76,1.28,1.64,,,,,,13425.58,,,,9.95,18.42,431.7,24.39,34.52,65.48,-13.35
(주)MH에탄올,023150,2011/12,-18.64,  음료 제조업,1996/12/24,,58.36,45.92,5.22,-24.28,214.54,952.03,8.89,0.12,0.19,47.79,207.49,34.04,16.81,1.35,-9.73,1.33,0.45,-3.24,-9.74,1.35,0.33,1,0.5,4.99,4.83,148.03,2.47,73.2,75.61,0.01,0,-0.49,-8.46,0,-611,2.92,-0.4,-0.67,18.3,-82.51,6397.88,,86.18,31.79,0.36,0.6,0.98,1.22,,,,,,8741.25,,,,6.51,11.62,358.35,19.52,50.81,49.19,-49.85
(주)MH에탄올,023150,2014/12,-21.25,  음료 제조업,1996/12/24,,90.87,68.77,0.02,-3.38,62.03,1148.39,34.38,5.62,4.79,2.99,107.61,33.59,24.24,17.85,-0.41,8.45,8.13,-0.19,-0.38,17.72,0.46,0.99,0.68,5.03,4.65,26321.22,0.01,72.55,78.51,0.01,0,-34.05,15.27,0,-26,-48.75,-34.35,-33.46,-44.05,190.55,6638.69,,1185.18,61.72,0.55,0.92,1.36,1.87,,,,,,11295.12,,,,13.21,31.73,668.75,23.06,38.67,61.33,-1.8
(주)MH에탄올,023150,2016/12,-2.96,  음료 제조업,1996/12/24,,257.95,185.46,17.87,16.68,13.77,1383.19,7.58,29.41,36.46,3.35,82.78,27.25,30.54,24.28,16.66,15.84,15.69,10.76,13.41,19.55,0.65,0.81,0.9,10.7,4.65,0,0,34.12,78.55,0.01,0.07,-8.43,9.84,4.71,1129,1.48,-6.84,-12.41,53.72,7.05,6626.94,,1609.33,87.89,1.39,1.32,2.32,2.96,,,,,,17091.29,,,,23.63,46.21,828.18,34.95,28.32,71.68,47.65
(주)SH에너지화학,002360,2014/12,-0.43,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,291.69,224.49,37.69,35.8,31.46,147.71,8.64,26.68,27.78,4.25,59.85,54.47,14.4,9.21,7.25,19.24,19.23,15.13,21.7,27.66,2.09,3,4.53,17.87,7.43,95.77,3.81,20.42,49.11,0.02,0,0.23,20.89,238.32,147.2,-2.91,-1.99,2.16,16.36,231.12,2077.67,,191.4,76.07,2.64,7.31,3.87,4.94,,,,,,37108.64,,,,33.51,122,292.95,16.07,35.16,64.84,45.09
(주)SH에너지화학,002360,2015/12,-6.27,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,399.36,329.69,115.03,44.26,26.05,160.98,5.96,84.87,87.44,3.29,51.62,59.05,17.24,10.6,5.82,20.35,20.29,11.13,14.62,26.1,1.91,2.46,4.43,16.78,7.11,130.11,2.81,21.75,51.36,0.01,0,4.32,8.99,-22.92,113.4,4.91,-6.17,13.08,-14.38,7.89,1947.47,,206.5,79.33,2.6,6.79,3.37,4.21,,,,,,36388.74,,,,31.5,112.7,263.46,16.81,45.6,54.4,34.6
(주)SH에너지화학,002360,2017/12,-13.87,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,1057.37,816.13,399.76,63.29,16.36,189.4,2.84,162.17,999999999,2.46,35.02,69.9,13.98,7.54,5.25,11.57,11.35,7.91,9.21,13.39,1.51,1.78,4.82,11.92,5.24,114.68,3.18,30.62,69.67,0.01,0,0.66,3.22,-46.61,86.3,-2.2,-6.34,4.01,72.7,-41.16,1692.59,,127.6,85.94,1.95,5.98,2.19,2.68,,,,,,29127.7,,,,23.24,94.63,223.37,15.48,50.35,49.65,33.92
(주)SH에너지화학,002360,2018/12,-2.4,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,1287.95,953.73,441.48,64.61,16.17,185.76,2.86,22.72,999999999,2.62,34.8,70.04,6.68,1.14,1.11,1.93,1.7,1.64,2.21,1.97,1.48,1.72,4.94,8.69,6.5,133.77,2.73,41.99,56.11,0.01,0,-2.3,-1.92,-75.89,20.8,-3.39,-2.75,-2.1,11.35,-85.19,1651.96,,18.9,86.08,1.95,6.01,2.12,2.8,,,,,,19920.85,,,,16.27,67.41,164.52,10.85,76.76,23.24,10.21
(주)SH에너지화학,002360,2019/12,-23.28,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,1110.48,887.83,542.25,61.61,24.66,174.72,7.1,-24.12,999999999,2.12,40.26,67.71,4.73,-2.22,-2.19,-2.21,-2.55,-2.51,-2.84,-3.06,1.15,1.38,3.68,7.22,6.14,140.69,2.59,50.54,59.48,0.01,0,0.8,-5.94,-223.7,-25.8,10.49,8.67,-2.57,-24.72,-249.05,1267.34,,-28.17,80.22,1.54,4.45,1.66,2.16,,,,,,13705.14,,,,11.1,44.32,102.46,9.73,110.44,-10.44,-22.55
(주)SH에너지화학,002360,2020/12,-33.56,  화학물질 및 화학제품 제조업; 의약품 제외,1985/12/23,,979.37,849.69,445.74,55.43,30.38,161.16,9.63,-38.65,999999999,2.03,49.89,61.73,1.16,-8.39,-7.42,-6.26,-6.52,-5.77,-7.29,-8.31,0.78,0.99,2.21,7.1,5.37,80.22,4.55,51.38,67.98,0.01,0,-4.91,-7.76,0,-61.9,10.16,12.67,-13.3,-42.74,0,842.04,,-70.65,76.7,1.09,2.68,1.2,1.44,,,,,,8226.3,,,,7.01,27.05,65.54,8.79,189,-89,-84.43
(주)SIMPAC,009160,2013/12,-8.7,  1차 금속 제조업,1989/07/29,,81.19,62.03,7.16,-6.95,73.34,1436.01,18.32,16.58,999999999,2.67,121.32,30.01,20.1,11.47,9.74,8.26,6.93,5.89,10.11,11.9,0.6,1.04,0.98,8.07,3.06,5.4,67.6,45.23,119.21,0.01,0.17,13.59,11.16,3.93,742,-0.39,52.71,-28.88,1.17,-6.32,7074.15,,811.39,57.69,0.82,2.79,1.57,1.96,,,,,,46115.44,,,,12.74,62.56,349.24,22.41,38.71,61.29,43.46
(주)SIMPAC,009160,2016/12,-0.91,  1차 금속 제조업,1989/07/29,,113.8,84.21,33.41,5.13,73.81,1653.2,13.12,16.75,20.43,2.61,100.28,42.31,18.48,8.82,6.06,5.68,5.61,3.85,6.85,9.98,0.64,1.13,1.09,5.23,3.67,5.3,68.81,69.81,99.36,0.01,0.28,-1.17,3.62,-1.54,603,-1.26,-3.08,1.55,-18.23,10.95,9182.56,,810.25,57.53,0.79,1.49,1.52,2.15,,,,,,59093.1,,,,14.14,33.07,247.21,22.13,51.46,48.54,27.39
(주)SIMPAC,009160,2017/12,-13.64,  1차 금속 제조업,1989/07/29,,115.32,85.28,23.55,5.25,58.27,1656.02,14.49,10.1,12.3,2.11,95.71,39.53,16.31,5.07,5.59,3.01,2.93,3.23,5.36,4.86,0.58,0.96,0.98,5.41,3.21,6.04,60.39,67.43,113.85,0.01,0.39,-8.78,0.17,-20.32,509,-3.38,-4.4,-14.77,-14.59,-50.36,7929.7,,402.2,63.18,0.75,1.31,1.41,1.9,,,,,,43282.91,,,,11.36,25.07,218.27,18.77,60.25,39.75,29.79
(주)SIMPAC,009160,2020/12,-14.93,  1차 금속 제조업,1989/07/29,,141.82,88.93,49.68,14.13,58.9,1418.28,19.63,2.64,20.6,2.16,82.77,47.91,10.3,2.13,9.33,1.21,1.1,4.82,7.54,1.72,0.52,0.81,0.95,3.33,7.19,9.18,39.76,109.69,50.79,0.01,0.75,8.56,5.17,259.84,586,-13.51,-1.52,22.15,49.41,-30.1,5591.72,,119.02,62.93,0.66,1.49,1.14,1.73,,,,,,96471.6,,,,13.08,42.37,372.74,26.37,39.73,60.27,35.39
(주)SNT홀딩스,036530,2013/12,-5.54,  전문 서비스업,2002/10/22,,188.1,133.44,48.56,23.34,56.38,6893.14,3.75,30.38,999999999,3.75,78.46,49.82,12.51,5.38,3.41,4.29,4.01,2.55,4.41,6.3,0.75,1.17,1.46,5.33,4.29,4.96,73.64,68.5,85.07,0.01,0.21,3.58,4.85,-16.31,1542,0.21,0.22,7.2,10.92,-1.04,105630.49,,5682.21,63.95,0.99,1.6,1.52,2.13,,,,,,287320.84,,,,13.37,29.4,217.13,18.23,61.36,38.64,18.71
(주)SNT홀딩스,036530,2014/12,-1.52,  전문 서비스업,2002/10/22,,208.24,148.81,50.97,25.36,50.39,7211.28,1.64,34.38,999999999,3.35,77.02,48.79,11.1,4.22,4.32,3.39,3.13,3.2,5.51,4.8,0.74,1.14,1.46,5.22,4.7,5.4,67.58,69.96,77.68,0.01,0.22,-5.11,4.62,30.84,1999,-5.36,-3.15,-7.08,-8.75,-22.75,104022.7,,4389.41,66.49,1,1.62,1.5,2.11,,,,,,280175.76,,,,13.74,30.84,236.39,18.05,59.16,40.84,23.91
(주)SNT홀딩스,036530,2016/12,-4.65,  전문 서비스업,2002/10/22,,247.45,198.81,88.69,32.5,44.37,7282.62,0.32,286.46,999999999,3.46,65.64,54.54,13.08,4.7,0.66,3.52,3.3,0.46,0.47,4.72,0.7,1,1.51,6.08,4.86,6.81,53.62,60.02,75.05,0.01,0.24,1.88,0.43,-91.61,174,-2.1,-2.3,5.66,-11.86,-55.25,97137.72,,4566.18,69.27,0.94,1.67,1.31,1.67,,,,,,230370.32,,,,10.42,25.68,197.68,14.98,65.54,34.46,4.4
(주)SNT홀딩스,036530,2017/12,-1.92,  전문 서비스업,2002/10/22,,264.63,216.54,92.09,34.43,41.26,7389.65,0.3,178.66,999999999,4.97,63.09,55.34,13.58,4.02,1.71,3.01,2.78,1.19,1.14,3.98,0.69,0.99,1.54,6.66,4.77,6.28,58.12,54.79,76.48,0.01,0.19,-2.9,1.47,146.91,430,-3.08,-4.62,-1.46,-8.88,-16.11,95271.14,,3830.5,70.79,0.91,1.69,1.26,1.55,,,,,,220383.89,,,,10.27,25.21,214.2,14.61,66.85,33.15,11.74
(주)SNT홀딩스,036530,2018/12,-7.08,  전문 서비스업,2002/10/22,,306.08,248.36,70.44,37.2,40.62,7885.45,0.31,59.79,999999999,18.72,62.92,55.26,12.86,5.18,5.26,3.79,3.41,3.46,4.36,4.81,0.66,0.93,1.47,6.43,4.81,5.96,61.2,56.8,75.88,0.01,0.19,-1.51,9.82,303.74,1701,-1.31,-1.32,-1.66,2.03,19.81,85949.29,,4456,71.12,0.88,1.6,1.19,1.46,,,,,,283495.5,,,,13.41,33.17,309.23,20.23,50.66,49.34,26.01
(주)SNT홀딩스,036530,2020/12,-5.05,  전문 서비스업,2002/10/22,,269.15,222.26,79.06,34.38,40.37,10217.07,0.08,152.96,999999999,53.5,63.59,54.7,14.53,8.85,5.42,5.95,5.64,3.46,4.62,7.84,0.64,0.89,1.44,6.44,4.83,6.47,56.45,56.71,75.62,0.01,0.21,1.51,11.38,-40.18,2533,-10.91,6.02,-1.94,-5.86,0.64,88062.12,,7794.84,71.24,0.85,1.74,1.14,1.39,,,,,,271105.98,,,,11.94,35.33,269.56,18.88,49.39,50.61,28.73
(주)STX,011810,2010/12,-76.19,  도매 및 상품 중개업,1990/09/12,,81.52,66.21,16.37,-8.51,275.44,1061.85,44.12,0.73,3.06,2,234.46,37.55,6.56,2.21,5.68,0.77,0.61,1.58,20.1,3.48,0.28,1.58,0.56,5.6,1.42,4.34,84.15,65.14,257.89,0,0.37,-73.5,57.12,0,4651,-82.24,-64.31,-81.44,-57.66,0,81009.97,,1789.86,26.64,0.27,0.84,0.55,0.61,,,,,,589552,,,,9.68,42.82,102.4,14.57,28.37,71.63,38.97
(주)STX,011810,2013/12,-60.24,  도매 및 상품 중개업,1990/09/12,,62.06,54.71,5.09,-36.13,0,-331.39,106.44,-10.71,-19.27,4.23,0,59.11,-28.23,-39.27,-65.14,-29.51,-30.01,-49.79,-521.17,0,0.76,0,1.19,17.71,5.87,9.16,39.86,20.61,62.16,0.02,0.07,-73.5,-145.6,0,-26644,-79.37,-84.68,-46.53,-48.48,0,39841.76,,-15644.17,0,0.83,3.89,2.15,2.45,,,,,,-1245149,,,,-92.75,-577.77,-1841.96,-50.83,0,0,0
(주)STX,011810,2014/12,-33.27,  도매 및 상품 중개업,1990/09/12,,113.3,86.97,14.11,8.36,1239.93,125.29,70.99,0.76,11.12,4.04,385.85,71.2,7.42,2.18,23.28,3.6,2.75,29.3,0,0,1.26,0,3.59,10.84,6.74,9.99,36.54,33.69,54.17,0.02,0.13,-6.52,0,0,15611,-49.85,-34.16,12.6,120.72,0,7247.4,,158.24,7.46,0.87,10.1,1.94,2.36,,,,,,505161,,,,40.25,467.4,332342.76,30.9,17.28,82.72,75.34
(주)STX,011810,2015/12,-0.23,  도매 및 상품 중개업,1990/09/12,,104.09,67.59,8.89,2.8,1651.71,96.66,71.15,-0.84,-0.96,4.53,504.69,71.19,2.74,-2.1,-3,-1.85,-2.71,-3.88,-59.01,-41.17,1.29,19.65,4.49,6.23,8.39,11.01,33.14,58.63,43.53,0.01,0.28,0.97,-22.76,0,-1642,-5.9,1.03,0.95,52.33,0,54621.31,,-1144.46,5.71,0.95,15.55,1.82,2.56,,,,,,79567,,,,6.28,78.33,102008.97,4.88,114.02,-14.02,-61.56
(주)STX,011810,2018/12,-16.68,  도매 및 상품 중개업,1990/09/12,,91.21,63.3,9.55,-7.35,765.34,129.42,59.84,-1.12,1.91,3.88,204.91,76.32,1.33,-0.98,0.61,-2.09,-2.5,1.54,17.12,-27.73,2.54,28.2,10.62,9.66,12.81,15.56,23.46,37.77,28.49,0.02,0.14,-11.71,49.97,-97.28,471,4.93,-13.55,-11.12,-28.74,-133.55,78552.83,,-772.37,11.56,1.57,20.73,3.34,5.12,,,,,,83521,,,,15.07,112.51,232002.78,5.56,65.19,34.81,10.9
(주)STX,011810,2019/12,-2.12,  도매 및 상품 중개업,1990/09/12,,87.86,60.85,9.1,-9.53,895.02,114.58,59.3,0.11,-1.63,4.71,308.59,68.99,3.16,0.12,-2.26,0.87,0.31,-5.96,-54.53,2.91,2.64,24.45,9.65,11.85,10.91,16.44,22.2,30.79,33.46,0.02,0.16,1.09,-11.47,-460.27,-1664,21.6,32.4,-8.62,-8.22,0,74576.54,,88.61,10.05,1.72,17.88,3.64,5.24,,,,,,51064,,,,9.12,56.6,30577.25,3.47,120.67,-20.67,-65.05
(주)STX,011810,2020/12,-33.69,  도매 및 상품 중개업,1990/09/12,,69.81,47.55,5.7,-22.4,655.62,57.24,58.73,-0.04,-1,3.62,364.19,51.8,4.14,-0.05,-2.1,0.31,-0.08,-3.47,-48.03,-0.71,1.66,14.14,4.14,8.84,6.82,9.48,38.49,41.3,53.55,0.02,0.16,10.26,-50.05,0,-1032,113.14,71.35,-17.21,-14.11,0,49453.63,,-24.99,13.23,1.22,6.9,2.76,4.02,,,,,,61014,,,,9.88,31.77,363.74,6.25,96.63,3.37,-33.51
(주)TCC스틸,002710,2012/12,-2.54,  1차 금속 제조업,1984/12/21,,113.94,61.44,8.23,4.89,142.04,1322.32,41.57,0.57,1.04,5.63,145.39,39.93,8.66,1.18,0.02,1.48,1.19,0.02,0.07,2.63,1,2.22,1.67,5.56,6.66,12.94,28.2,65.63,54.78,0.01,0,20.4,-0.29,-96.47,0,70.34,21.31,19.05,26.39,-48.05,29490.44,,349.06,41.31,1.32,4.39,2.49,4.52,,,,,,49856.28,,,,9.11,39.33,130.33,9.94,62.91,37.09,0.25
(주)TCC스틸,002710,2013/12,-0.1,  1차 금속 제조업,1984/12/21,,141.27,66.03,8.87,11.82,164.27,1134.48,46.96,-0.59,-1.15,5.46,157.32,40.47,5.34,-1.55,-3.98,-1.06,-1.42,-3.66,-8.85,-3.59,0.92,2.32,1.54,4.6,7.22,12.53,29.14,79.38,50.56,0.01,0,-0.6,-9.16,0,0,8.84,-1.49,0.73,16.43,0,27824.04,,-430.32,37.84,1.27,3.33,2.28,4.54,,,,,,40058.31,,,,7.37,26.42,80.14,8,100.61,-0.61,-49.82
(주)TCC스틸,002710,2015/12,-4.47,  1차 금속 제조업,1984/12/21,,156.35,124.48,6.79,23,337.6,383.32,44.68,2.17,-1.48,3.26,158.36,63.81,8.85,3.2,-22.23,3.67,3.42,-23.77,-80.07,11.53,1.07,3.61,2.18,5.72,6.45,13.02,28.03,63.79,56.61,0.01,0,-31.69,-54.43,0,0,-52.61,-57.14,2.98,-60.62,4502.76,24291.05,,776.81,22.85,1.09,4.44,2.09,3.3,,,,,,46811.29,,,,12.44,65.15,220.79,9.44,104.11,-4.11,-235.45
(주)TCC스틸,002710,2016/12,-10.36,  1차 금속 제조업,1984/12/21,,128.15,73.14,9.46,9.38,173.78,460.96,41.38,2.53,5.68,4.26,156.9,42.69,9.35,3.45,3.81,4.97,4.66,5.14,17.99,16.21,1.35,4.69,2.98,8.82,7.12,13.93,26.2,41.4,51.27,0.02,0.5,-24.84,20.26,0,807,-9.97,19.03,-49.71,5.89,-3.18,19892.74,,687.08,36.53,1.46,6.51,2.46,3.42,,,,,,81464.7,,,,28.79,126.13,435.09,18.33,57.28,42.72,20.81
