회사명,거래소코드,회계년도,매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
자화전자(주),033240,2014/12,-30.4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1999/01/06,,310.84,286.7,74.75,42.81,38.64,2785.05,10.4,49.52,999999999,1.56,51.14,63.12,22.8,7.9,6.9,8.16,7.19,6.28,9.15,10.32,0.91,1.31,2.57,13.26,9.89,13.86,26.33,27.53,36.91,0.03,0.11,0.7,8.11,-48.88,1333,6.38,9.51,-3.82,-44.18,-53.52,18218.26,,1439.11,72.13,1.04,4.57,1.41,1.58,,,,,,73150.55,,,,20.34,104.24,201.3,22.43,41.27,58.73,30.74
자화전자(주),033240,2015/12,-18.03,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1999/01/06,,312.18,285.41,79.29,39.56,45.24,2964.12,9.11,41.49,999999999,1.58,60.7,58.21,26.93,9.05,7.78,7.33,6.37,5.48,7.72,9.05,0.7,1,1.79,14.24,10.13,13.9,26.26,25.64,36.05,0.03,0.1,11.04,6.43,-9.49,1206,5.49,25.8,2.41,13.09,-6.12,14933.77,,1350.99,68.85,0.88,3.53,1.16,1.27,,,,,,82900.87,,,,20.76,110.78,206.19,31.01,41.19,58.81,25.08
자화전자(주),033240,2018/12,-19.59,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1999/01/06,,267.48,229.07,49.76,34.87,27.17,3094.54,8.89,-5.99,999999999,1.78,56.34,55.7,13.8,-2.15,-0.36,-1.12,-1.9,-0.32,-0.46,-2.75,0.88,1.28,2.16,13.51,8.55,15,24.33,27.01,42.7,0.02,0.14,-23.56,-2.35,-105.42,-76,-13.17,-10.89,-31.33,13.3,-127.67,20019.13,,-431.17,78.64,0.99,2.91,1.49,1.67,,,,,,109748.65,,,,31.16,104.58,212.39,30.63,62.06,37.94,-1.17
자화전자(주),033240,2020/12,-17.17,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1999/01/06,,297.65,252.35,60.06,36.9,30.66,3044.17,12.15,-41.9,999999999,1.32,58.06,55.57,9.12,-6.42,-2.11,-4.55,-5.48,-1.8,-2.3,-7.01,0.85,1.09,1.84,9.75,6.79,19.05,19.16,37.42,53.75,0.01,0,2.16,-2.21,0,-377,-16.52,-6.31,10.13,-4.6,0,16798.15,,-1079.08,76.53,1.18,2.84,1.59,1.9,,,,,,86008.35,,,,24.16,93.94,242.75,28.6,77.67,22.33,-7.37
전방(주),000950,2011/12,-7.35,  섬유제품 제조업; 의복제외,1968/10/21,,58.68,24.42,3.06,-17.56,119.64,2724.53,40.27,-3.75,-4.49,4.39,164.86,24.94,-3.83,-8.97,-12.38,-5.45,-5.53,-7.63,-15.44,-10.74,0.62,1.2,0.82,4.14,7.01,20.6,17.72,88.07,52.04,0.01,0,9.39,-14.7,0,0,12.7,10.08,7.38,4.71,0,182449.13,,-16371.15,45.53,0.99,1.01,2.45,5.99,,,,,,10873.59,,,,2.09,3.53,17.09,3.55,289.42,-189.42,-348.86
전방(주),000950,2012/12,-3.7,  섬유제품 제조업; 의복제외,1968/10/21,,42.63,16.34,0.95,-27.31,168.87,2305.17,49.86,-4.14,-3.03,3.87,214.32,20.29,-4.37,-13.04,-11.9,-7.19,-7.25,-6.62,-16.75,-17.56,0.56,1.35,0.72,4.11,7.18,19.63,18.6,88.71,50.82,0.01,0,4.34,-15.39,0,-31060,11.75,10.81,-15.13,-10.36,0,175691.71,,-22902.53,37.19,0.82,0.87,2.46,6.14,,,,,,17039.08,,,,3.14,4.75,15.75,5.77,182.2,-82.2,-206.18
전방(주),000950,2013/12,-0.45,  섬유제품 제조업; 의복제외,1968/10/21,,45.35,17.36,1.65,-25.75,162.21,2316.39,49.74,0.74,0.96,3.73,206.18,21.37,6.87,2.49,0,1.4,1.37,0,0.25,3.64,0.55,1.46,0.7,4.29,7.95,23.17,15.75,85.16,45.91,0.01,0,-3.08,0.49,0,419,-3.66,-4.39,2.08,2.17,0,174907.1,,4352.22,38.14,0.81,0.83,2.64,6.9,,,,,,58060.41,,,,11.05,16.8,59.44,19.76,57.69,42.31,-0.01
전방(주),000950,2014/12,-16.55,  섬유제품 제조업; 의복제외,1968/10/21,,37.71,16.01,1.9,-34.21,186.62,2042.02,52.98,-1.1,-1.41,3.88,227.26,20.71,0.05,-4.61,-9.86,-2.17,-2.19,-4.69,-12.87,-6,0.48,1.3,0.6,3.78,6.6,25.99,14.04,96.49,55.34,0.01,0,-3.63,-11.84,0,-20676,-3.45,-2.83,-6.6,-12.92,0,145955.86,,-6728.69,34.89,0.66,0.72,2.26,5.6,,,,,,33384.72,,,,6.59,10,39.52,13.61,98.58,1.42,-72.43
전방(주),000950,2015/12,-3.23,  섬유제품 제조업; 의복제외,1968/10/21,,31.72,11.56,0.35,-37.12,179.43,2151.48,50.49,-1.11,-1.51,3.56,231.25,17.24,0.78,-4.43,-9.89,-2.02,-2.05,-4.57,-13.33,-5.79,0.46,1.31,0.57,4.05,7.08,34.34,10.63,90.18,51.57,0.01,0,2.59,5.36,0,-20607,8.65,7.08,-14.59,-5.69,0,141247.42,,-6251.39,35.79,0.63,0.68,2.44,6.15,,,,,,31706.73,,,,6.1,8.74,42.63,13.36,98.4,1.6,-74.01
전방(주),000950,2016/12,-15.38,  섬유제품 제조업; 의복제외,1968/10/21,,29.31,11.59,0.81,-39.04,191.29,1924.29,51.06,-1.28,-0.8,3.81,244.14,16.19,-1.06,-6.21,-8.73,-2.46,-2.48,-3.49,-9.87,-7.08,0.4,1.14,0.48,3.85,6.99,35.32,10.33,94.78,52.22,0.01,0,-6.81,-10.56,0,-14828,-3.69,-5.63,-12.49,-16.76,0,119524.2,,-7422.24,34.33,0.56,0.56,2.39,6.31,,,,,,33766.91,,,,6.98,9.67,52.58,16.82,80.13,19.87,-51.92
