회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)메타랩스,090370,2012/12,-16.13,-41.31,-4.01,"  의복, 의복 액세서리 및 모피제품 제조업",2006/12/26,,142.53,61.86,16.61,22.08,172.3,877.9,38.03,-1.83,-4.42,8.02,70.82,73.99,61.67,-5.65,-18.14,-4.57,-5.02,-12.86,0.89,2.28,3.29,2.15,5.93,5.55,65.71,169.56,61.54,0.01,0.4,-9.79,-19.45,0,-2669,-10.71,-16.08,-7.35,-7.35,0,14408.43,,-813.8,36.72,0.7,4.44,1.22,2.81,,,,,,10426.04,,,,6.71,33.66,0,7.16,207.88,-107.88,-253.38
에이치엘비글로벌(주),003580,2020/12,-23.12,-41.41,1,  비금속광물 광업; 연료용 제외,1990/03/23,,130.54,107.73,46.17,7.41,77.63,402.59,25.87,-3.18,-7.06,14.88,121.39,31.66,13.21,-40.09,-85.01,-10.36,-10.9,-18.34,0.27,0.46,0.44,6.02,6.48,34.91,10.45,60.62,56.33,0.01,0,1.06,-13.01,0,0,224.88,25.24,-28.67,60.14,0,1105.58,,-443.24,56.3,0.44,2.64,0.71,0.81,,,,,,-11450.37,,,,-8.76,-59.27,-366.38,-32.37,0,0,0
진원생명과학(주),011000,2016/12,-27.52,-41.44,10.6,  의료용 물질 및 의약품 제조업,1987/11/16,,184.5,160.03,72.41,36.91,83.15,221.99,33.61,-11.3,-14.89,10.66,35.57,80.58,25.81,-44.61,-49.72,-24.11,-24.69,-37.17,0.55,0.83,2.49,4.51,4.76,24.64,14.81,80.92,76.7,0.01,0,37.68,-9.09,-1203.36,-978,40.62,2.75,49.97,1.8,0,1946.43,,-868.27,54.6,0.51,8.55,0.71,0.84,,,,,,7742.69,,,,11.79,180.61,931.88,24.68,247.14,-147.14,-201.47
(주)인디에프,014990,2020/12,-15.05,-41.73,-24.57,"  의복, 의복 액세서리 및 모피제품 제조업",1989/06/20,,95.2,31.36,12.6,-2.8,236.6,139.79,43.12,-8.25,-11.98,4.53,149.67,55.53,45.96,-13.09,-14.19,-13.36,-13.89,-38.52,1.06,2.94,2.4,2.89,9.26,8.15,44.78,126.18,39.4,0.01,0.25,-7.21,-34.28,0,-368,6.45,-6.41,-7.83,-4.34,0,2591.94,,-339.41,29.71,0.99,15.86,1.9,5.56,,,,,,5787.44,,,,4.17,60.3,102.63,3.79,254.43,-154.43,-374.45
(주)이아이디,093230,2016/12,-23.95,-42.25,-12.42,  도매 및 상품 중개업,2007/11/01,,104.11,104.11,66.67,1.08,36.54,191.86,22,-2.15,-14.9,5.85,99.13,27.4,1.42,-7.73,-39.07,-3.71,-4.74,-8.44,0.61,1.09,0.81,111.37,22.86,34.53,10.57,3.28,15.97,0.12,0.01,-50.98,-26.08,0,-165,-50.41,-54.22,-39.67,0,0,497.38,,-38.47,73.24,1.13,1.44,2.56,2.62,,,,,,-8475.54,,,,-21.91,-51.22,-2966.63,-23.51,0,0,0
동원금속(주),018500,2019/03,-4.53,-42.35,6.92,  자동차 및 트레일러 제조업,1995/11/10,,40.71,22.65,1.46,-38.59,1136.09,168.88,44.21,-1.2,-0.86,5.03,908.49,26.5,9.5,-2.95,-4.96,-2.66,-2.69,-25.16,0.91,8.53,1.29,6.91,10.78,5.32,68.6,52.81,33.85,0.06,0.08,-5.65,-41.93,0,-487,3.04,2.13,-22.11,-23.78,0,9808.06,,-289.12,8.09,0.95,1.4,3.1,5.64,,,,,,117618.01,,,,24.1,42.22,69.23,25.65,70.69,29.31,-19.35
페이퍼코리아(주),001020,2015/12,-11.19,-43.06,-1.93,"  펄프, 종이 및 종이제품 제조업",1976/05/24,,66.48,32.01,9.94,-19.61,371.61,153.73,54.49,-2.67,-3.52,6.28,288.21,38.89,-0.49,-18.88,-24.12,-8.59,-8.76,-33.2,0.46,1.76,0.73,2.3,4.77,6.59,55.4,158.96,76.48,0.01,2.08,9.93,-27.62,0,-435,1.47,0.81,28.14,9.4,0,1632.26,,-308.19,21.2,0.49,0.79,1.28,2.89,,,,,,1960.26,,,,0.35,0.64,2.3,0.8,1418.22,-1318.22,-3024.05
(주)에이블씨엔씨,078520,2020/12,-28.44,-43.71,-27.16,  화학물질 및 화학제품 제조업; 의약품 제외,2011/09/07,,208.03,127.08,55.76,28.19,62.48,1159.69,18.19,-41.67,-318.67,2.88,74.28,54.29,47.64,-22.11,-31.81,-19.39,-19.76,-32.91,0.89,1.49,1.76,4.36,9.32,12.74,28.65,83.73,39.15,0.01,1.06,-41.2,-36.56,0,-3387,-27.17,-50.07,-30.85,-38.33,0,11375.44,,-2515.23,61.54,1.23,21.45,1.82,3.12,,,,,,-32027.59,,,,-12.57,-360.79,-1758.6,-10.41,0,0,0
아시아나항공(주),020560,2020/12,-3.68,-43.83,-44.08,  항공 운송업,2008/03/28,,45.48,41.79,9.58,-20.65,1171.55,277.21,61.09,-0.73,-0.23,4.67,1052.5,17.23,1.99,-7.09,-12.91,-1.95,-2.02,-27.67,0.28,3.9,0.33,18.59,10.83,33.91,10.76,19.63,33.7,0.02,0,2.58,30.07,0,-5373,-7.97,-4,52.89,-14.23,0,17449.37,,-1237.96,7.86,0.57,0.39,1.97,2.21,,,,,,1815624.06,,,,13.11,19.17,5082.59,46.61,41.18,58.82,-27.7
(주)마니커,027740,2020/12,-18.74,-43.96,-11.12,  식료품 제조업,2002/10/29,,51.85,46.44,14.45,-22.36,167.23,72.24,48.94,-7.63,-8.31,4.95,202.91,24.07,-4,-14.41,-16.37,-16.34,-16.49,-38.66,1.14,2.68,1.45,56.38,14.51,25.53,14.3,6.47,25.16,0.06,0.02,4.88,-18.42,0,-207,-4.92,-3.67,45.65,72.08,0,1355.41,,-195.25,37.42,1.9,1.89,5.51,6.11,,,,,,5189.1,,,,2.7,4.7,13.9,2.42,496.49,-396.49,-677.76
