,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
8444,빛샘전자(주),72950,2014-12-01,2012-03-21,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-2.87
8457,삼강엠앤티(주),100090,2017-12-01,2008-01-01,,  1차 금속 제조업,5,0,-28.88
8493,삼보산업(주),9620,2013-12-01,1993-12-07,,  1차 금속 제조업,5,0,4.28
8509,삼아제약(주),9300,2019-12-01,2000-07-19,,  의료용 물질 및 의약품 제조업,5,0,6.89
8527,삼영이엔씨(주),65570,2017-12-01,2003-01-21,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,6.07
8535,삼지전자(주),37460,2015-12-01,1999-12-16,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,2326.22
8542,삼천당제약(주),250,2012-12-01,2000-10-04,,  의료용 물질 및 의약품 제조업,5,0,-1.18
8556,삼천리자전거(주),24950,2016-12-01,1995-01-04,,  도매 및 상품 중개업,5,0,12.65
8646,성융광전투자유한공사,900150,2011-12-01,2010-09-15,2012-09-26,  전문 서비스업,4,0,-23.67
8667,세종텔레콤(주),36630,2011-12-01,2000-01-04,,  우편 및 통신업,6,0,-1.61
8668,세종텔레콤(주),36630,2012-12-01,2000-01-04,,  우편 및 통신업,6,0,-26.41
8697,스튜디오드래곤(주),253450,2017-12-01,2017-11-24,,  영상ㆍ오디오 기록물 제작 및 배급업,5,0,85.69
8705,시그네틱스(주),33170,2015-12-01,2010-11-26,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-10.91
8723,신라에스지(주),25870,2013-12-01,1995-07-07,,  식료품 제조업,5,0,-12.16
8746,신신제약(주),2800,2017-12-01,2017-02-28,,  의료용 물질 및 의약품 제조업,5,0,6.31
8756,신원종합개발(주),17000,2017-12-01,1994-12-07,,  종합 건설업,5,0,69.05
8809,씨아이에스(주),144630,2015-12-01,2014-04-25,2017-01-20,  기타 기계 및 장비 제조업,4,0,24.15
8810,씨아이에스(주),222080,2017-12-01,2015-09-02,,  기타 기계 및 장비 제조업,5,0,261121.24
8823,씨앤티85(주),56730,2017-12-01,2002-01-04,,  도매 및 상품 중개업,6,0,107.44
8827,씨에스베어링(주),297090,2019-12-01,2019-11-21,,  기타 기계 및 장비 제조업,5,0,58.39
8852,아미코젠(주),92040,2014-12-01,2013-09-12,,  식료품 제조업,5,0,17.91
8859,아비코전자(주),36010,2011-12-01,2002-07-03,,  전기장비 제조업,5,0,-45.11
8860,아비코전자(주),36010,2012-12-01,2002-07-03,,  전기장비 제조업,5,0,-7.56
8877,아이이(주),23430,2011-12-01,1994-10-07,2017-12-20,  우편 및 통신업,4,0,-13.39
8878,아이이(주),23430,2012-12-01,1994-10-07,2017-12-20,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,-34.55
8887,아이진(주),185490,2019-12-01,2015-11-16,,  연구개발업,5,0,108.59
8894,아이크래프트(주),52460,2013-12-01,2005-01-03,,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5,0,-13.1
8909,아이텍(주),119830,2018-12-01,2010-10-26,,"  기타 전문, 과학 및 기술 서비스업",5,0,19.57
8931,알서포트(주),131370,2013-12-01,2011-01-05,,  출판업,5,0,215019.55
8943,알에프머트리얼즈(주),327260,2019-12-01,2019-12-24,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-15.87
8944,알에프머트리얼즈(주),327260,2020-12-01,2019-12-24,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,12.35
8945,알에프에이치아이씨(주),218410,2017-12-01,2015-06-30,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,620452.28
9030,에스씨아이평가정보(주),36120,2016-12-01,1999-12-07,,  사업지원 서비스업,5,0,-1.69
9044,에스엔유프리시젼(주),80000,2018-12-01,2005-01-25,,  기타 기계 및 장비 제조업,5,0,-28.95
9049,에스엔케이폴리텍(주),91340,2013-12-01,2007-07-30,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,13.31
9057,에스와이(주),109610,2015-12-01,2015-12-29,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,2617146.32
9083,에스지에이솔루션즈(주),184230,2015-06-01,2013-12-20,,  출판업,5,0,199843.83
9089,에스지에이시스템즈(주),232290,2016-12-01,2016-03-30,2017-12-22,  출판업,4,0,179.88
9097,에스케이씨솔믹스(주),57500,2011-12-01,2001-12-26,2020-12-23,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,45.3
9098,에스케이씨솔믹스(주),57500,2012-12-01,2001-12-26,2020-12-23,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,5.58
9125,에스티팜(주),237690,2016-12-01,2016-06-23,,  의료용 물질 및 의약품 제조업,5,0,45.13
9130,에스퓨얼셀(주),288620,2018-12-01,2018-10-15,,  전기장비 제조업,5,0,55.17
9132,에스퓨얼셀(주),288620,2020-12-01,2018-10-15,,  전기장비 제조업,5,0,23.81
9133,에이비엘바이오(주),298380,2018-12-01,2018-12-19,,  의료용 물질 및 의약품 제조업,5,0,1661.03
9139,에이스하이텍(주),71930,2014-12-01,2004-01-16,2015-07-10,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,-51.94
9154,에이치엘비생명과학(주),67630,2012-12-01,2008-11-25,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,0,-69.39
9166,에이치엘비제약(주),47920,2018-12-01,2015-12-21,,  연구개발업,5,0,32.03
9208,에이피티씨(주),89970,2019-12-01,2018-08-23,,  기타 기계 및 장비 제조업,5,0,-2.81
9220,에코캡(주),128540,2019-12-01,2018-12-05,,  자동차 및 트레일러 제조업,5,0,-12.49
9222,에코플라스틱(주),38110,2011-12-01,2000-03-23,,  자동차 및 트레일러 제조업,5,0,60.87
9223,에코플라스틱(주),38110,2012-12-01,2000-03-23,,  자동차 및 트레일러 제조업,5,0,14.9
9235,에프엔에스테크(주),83500,2020-12-01,2017-02-27,,  기타 기계 및 장비 제조업,5,0,169.56
9281,엘비세미콘(주),61970,2018-12-01,2011-01-31,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,109.12
9295,엘티씨(주),170920,2014-12-01,2013-10-08,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,-15.92
9317,영신금속공업(주),7530,2013-12-01,1994-08-05,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,-0.07
9342,예스이십사(주),53280,2014-12-01,2008-05-07,,  소매업; 자동차 제외,5,0,25.9
9343,예스이십사(주),53280,2015-12-01,2008-05-07,,  소매업; 자동차 제외,5,0,-12.71
9349,오가닉티코스메틱스홀딩스컴퍼니리미티드,900300,2016-12-01,2016-11-04,,  전문 서비스업,5,0,18.61
9384,오션브릿지(주),241790,2016-12-01,2016-12-01,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,37.81
9385,오션브릿지(주),241790,2017-12-01,2016-12-01,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,60.15
9401,올릭스(주),226950,2018-12-01,2018-07-18,,  연구개발업,5,0,23.79
9424,와이더블유(주),51390,2011-12-01,2001-11-15,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,41.17
9425,와이더블유(주),51390,2012-12-01,2001-11-15,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,42.98
9434,와이아이케이(주),232140,2017-12-01,2015-12-24,,  기타 기계 및 장비 제조업,5,0,1504816.64
9438,와이엠씨(주),155650,2012-12-01,2012-11-15,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,8.6
9439,와이엠씨(주),155650,2013-12-01,2012-11-15,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,2.82
9473,우리산업(주),215360,2016-12-01,2015-05-06,,  자동차 및 트레일러 제조업,5,0,31.55
9520,우림피티에스(주),101170,2020-12-01,2009-04-28,,  기타 기계 및 장비 제조업,5,0,8.29
9550,우진비앤지(주),18620,2018-12-01,2008-05-20,,  의료용 물질 및 의약품 제조업,5,0,22.66
9559,원풍물산(주),8290,2013-12-01,1997-07-18,,"  의복, 의복 액세서리 및 모피제품 제조업",6,0,5.22
9575,위즈코프(주),38620,2011-12-01,2000-05-04,,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5,0,-28.97
9576,위즈코프(주),38620,2012-12-01,2000-05-04,,  소매업; 자동차 제외,5,0,-7.48
9585,윈텍(주),320000,2020-12-01,2019-09-18,,  기타 기계 및 장비 제조업,5,0,112294.78
9643,이노시스(주),56090,2016-12-01,2015-11-12,,"  의료, 정밀, 광학기기 및 시계 제조업",5,0,-19.93
9648,이니텍(주),53350,2011-12-01,2001-11-15,,  출판업,5,0,22.09
9660,이스트아시아홀딩스인베스트먼트리미티드,900110,2011-12-01,2010-04-23,,  전문 서비스업,5,0,18.88
9689,이오플로우(주),294090,2020-12-01,2020-09-14,,"  의료, 정밀, 광학기기 및 시계 제조업",5,0,inf
9695,이원컴포텍(주),88290,2013-12-01,2009-12-01,,  자동차 및 트레일러 제조업,5,0,1.65
9696,이원컴포텍(주),88290,2014-12-01,2009-12-01,,  자동차 및 트레일러 제조업,5,0,40.38
9711,이트론(주),96040,2019-12-01,2008-01-25,,  도매 및 상품 중개업,5,0,242.13
9723,이화전기공업(주),24810,2011-12-01,1994-12-29,,  전기장비 제조업,5,0,5.39
9724,이화전기공업(주),24810,2012-12-01,1994-12-29,,  전기장비 제조업,5,0,112.5
9732,이화전기공업(주),24810,2020-12-01,1994-12-29,,  전기장비 제조업,5,0,-6.25
9735,인베니아(주),79950,2012-12-01,2005-02-04,,  기타 기계 및 장비 제조업,5,0,-80.2
9754,인크로스(주),216050,2016-12-01,2016-10-31,,  전문 서비스업,5,0,18.63
