,회사명,거래소코드,종가(원),주가변동률,year
86,(주)골프존뉴딘홀딩스,121440,63000.0,-0.1523809523809524,2012
87,(주)골프존뉴딘홀딩스,121440,21100.0,-1.985781990521327,2013
88,(주)골프존뉴딘홀딩스,121440,29900.0,0.29431438127090304,2014
89,(주)골프존뉴딘홀딩스,121440,8710.0,-2.4328358208955225,2015
90,(주)골프존뉴딘홀딩스,121440,6150.0,-0.416260162601626,2016
91,(주)골프존뉴딘홀딩스,121440,5680.0,-0.08274647887323944,2017
92,(주)골프존뉴딘홀딩스,121440,3500.0,-0.6228571428571429,2018
93,(주)골프존뉴딘홀딩스,121440,2195.0,-0.5945330296127562,2019
94,(주)골프존뉴딘홀딩스,121440,7130.0,0.6921458625525947,2020
95,(주)광림,14200,3830.0,0.32506527415143605,2011
96,(주)광림,14200,2275.0,-0.6835164835164835,2012
97,(주)광림,14200,1885.0,-0.20689655172413793,2013
98,(주)광림,14200,1915.0,0.015665796344647518,2014
99,(주)광림,14200,10300.0,0.8140776699029126,2015
100,(주)광림,14200,4420.0,-1.330316742081448,2016
101,(주)광림,14200,3460.0,-0.2774566473988439,2017
102,(주)광림,14200,2895.0,-0.19516407599309155,2018
103,(주)광림,14200,1625.0,-0.7815384615384615,2019
104,(주)광림,14200,1700.0,0.04411764705882353,2020
105,(주)광무,29480,733.0,-1.776261937244202,2011
106,(주)광무,29480,1530.0,0.5209150326797386,2012
107,(주)광무,29480,764.0,-1.0026178010471205,2013
108,(주)광무,29480,1615.0,0.5269349845201239,2014
109,(주)광무,29480,2255.0,0.2838137472283814,2015
110,(주)광무,29480,1750.0,-0.2885714285714286,2016
111,(주)광무,29480,861.0,-1.032520325203252,2017
112,(주)광무,29480,568.0,-0.5158450704225352,2018
113,(주)광무,29480,555.0,-0.023423423423423424,2019
114,(주)광무,29480,632.0,0.12183544303797468,2020
115,(주)구영테크,53270,1675.0,0.04477611940298507,2011
116,(주)구영테크,53270,1470.0,-0.13945578231292516,2012
117,(주)구영테크,53270,2375.0,0.38105263157894737,2013
118,(주)구영테크,53270,1635.0,-0.4525993883792049,2014
119,(주)구영테크,53270,2005.0,0.18453865336658354,2015
120,(주)구영테크,53270,2325.0,0.13763440860215054,2016
121,(주)구영테크,53270,1900.0,-0.2236842105263158,2017
122,(주)구영테크,53270,1670.0,-0.1377245508982036,2018
123,(주)구영테크,53270,1150.0,-0.45217391304347826,2019
124,(주)구영테크,53270,4870.0,0.7638603696098563,2020
125,(주)국보디자인,66620,8340.0,0.5449640287769785,2011
126,(주)국보디자인,66620,8400.0,0.007142857142857143,2012
127,(주)국보디자인,66620,13100.0,0.35877862595419846,2013
128,(주)국보디자인,66620,18100.0,0.27624309392265195,2014
129,(주)국보디자인,66620,21650.0,0.16397228637413394,2015
130,(주)국보디자인,66620,15450.0,-0.40129449838187703,2016
131,(주)국보디자인,66620,20750.0,0.25542168674698795,2017
132,(주)국보디자인,66620,16400.0,-0.2652439024390244,2018
