,[제조]총자본증가율,[제조]총자본사업이익률,[제조]1주당매출액,[제조]비유동자산회전률,[제조]매출채권회전률,[제조]순운전자본회전률,[제조]현금비율,[제조]자기자본배율,[제조]노동소득분배율,[제조]이자보상배율(이자비용),label
288,1.1044376227831458,0.2655337262478417,1.323008772505547,1.073628705431397,1.6435306019304636,1.313905991010103,-0.7649111022256168,-0.6563828328905317,-0.14064670194368778,-0.25924939625113735,0
289,-0.25450222944049183,1.1486154247446125,-0.6475891303678918,-0.46491688789365304,-0.10418251647324937,-1.059464918660196,-0.3955642297076744,0.21844682652641437,-0.7129151049786254,-0.288715111653374,0
290,-0.8728469825861568,-1.1992517259638662,-0.915413075289721,-1.0260335160474947,-1.1959842982788942,-1.5799409953422794,2.955926397262225,-1.0709551748095003,-1.4301550921627928,-0.4357481904772323,0
291,2.59522426447644,-0.7161606085929851,-0.8319786001974316,-1.146703758661224,0.9315762080914212,-1.559121952274996,-0.7117525213573415,-0.3996547689485415,-1.4301550921627928,-0.26897810580306,0
292,-0.11639688983778257,1.1164832173965495,0.26234611353767023,1.115863290346202,2.76646741553665,2.146667713701436,-0.2620098743084185,-0.7628019524745747,-0.21036233635940013,-0.2411012614234388,0
293,0.9596564963718464,0.933662037657569,-0.295137668405064,0.1927359343511724,-0.6376293946558553,-0.5181697989108297,2.9117153003024714,0.46092117808775374,0.16730249113763818,-0.01899573157823752,0
294,-0.8645022490754193,-0.9831903317268895,1.1628477275478992,0.3616742740103934,-0.0564421343790861,-0.37243649743984647,-0.603330069289374,0.05911913051887018,1.0329767595446637,-0.27005099152934675,0
295,0.661332273362973,0.43284280588775687,2.91444719595357,0.5245791015389282,0.30264856572048904,1.313905991010103,-0.5217500689469715,0.467155833578536,-0.3599508499401342,-0.25724910082924674,0
296,0.8749574512378587,-0.9798663102770899,-0.7920364156047043,-1.0863686373543593,-0.5774349998414757,-1.746493339880546,-0.5931983595694305,-0.45273533586833997,-1.4301550921627928,-0.2665413822891205,0
297,-0.4339139999213528,-0.1300248262783154,0.25771259656390016,0.19876944648185874,-0.2349496500355224,0.41868713911691996,-0.3378003262394248,-0.20782086914078052,0.21947379371363468,-0.26146790571905243,0
298,-0.9425255074008169,-0.19982927672410783,0.5339931667582009,-0.86312868851896,1.3550126405787817,-0.018512765296029833,-0.015954066824075023,2.6478770831639142,0.3309726394844599,-0.2624498689261624,0
299,-0.09052821595449563,0.6289600714259356,-0.6460704202115621,-0.3683806938026694,-1.2644813682400848,-0.8512744879873629,1.2276146158147108,-0.3659231328622054,-0.37726433530827475,-0.252630236855063,0
300,0.03756344343532835,0.474947077585219,2.449692868177392,0.47631100449343633,-1.1067305404506762,-0.6639031003818129,-0.7495161666771311,0.6948067542402397,-0.5644808237557675,-0.26041320449660105,0
301,0.07135961415381614,0.6544442358743995,-0.5515954704371647,-0.7122908852517983,1.7576923851991146,-0.3932555405071296,-0.5325396818954827,-0.5363979629110277,-0.6944473872526088,-0.25417591968106934,0
302,0.29332952553943953,0.574667721079208,0.17647181391964253,0.13240081304430765,0.9502572271717462,-0.2891603251707131,1.7993325214400973,1.4844366215538394,-0.6485089394091427,-0.2080418334507373,0
