회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,label
(주)ES큐브,50120,2011-12-01,2002-04-25,,  도매 및 상품 중개업,5,21.63,27.82,30.73,12.78,-7.92,3.83,193.89,0.0,27.92,-8.99,-5.61,-8.65,-12.61,-206.0,2296.51,0.96,1.36,2.49,10.05,4.27,19.72,18.51,36.32,85.45,0.01,0.0,1.09,1.57,1.86,230.24,194.35,21.35,41.36,34.75,327.25,54.53,61.43,70.74,12044.17,21.71,279.2,1125.26,22.56,120.2,-20.2,-39.82,12.37,-245.99,2011,12,0
(주)ES큐브,50120,2012-12-01,2002-04-25,,  도매 및 상품 중개업,5,4.85,-26.25,10.17,-16.58,1.56,-33.37,0.0,0.0,28.02,-0.64,1.1,-0.78,0.29,5.0,2392.63,1.21,1.4,2.37,11.55,12.19,36.32,10.05,31.59,29.94,0.02,0.0,2.03,2.46,3.13,472.77,371.91,84.78,16.11,38.68,335.11,59.14,49.06,86.12,17991.74,38.87,565.49,2009.57,32.14,86.11,13.89,-2.0,17.59,1.72,2012,12,0
(주)ES큐브,50120,2013-12-01,2002-04-25,,  도매 및 상품 중개업,5,4.69,-31.56,-62.76,1.85,6.4,68.92,0.0,29.33,24.76,-28.08,-1.77,-35.23,-40.47,-520.0,1862.12,1.25,1.43,3.62,10.55,15.18,47.35,7.71,34.6,24.04,0.02,0.0,1.69,1.92,2.35,1056.51,883.95,278.73,11.25,73.67,228.55,20.72,81.37,89.89,1434.39,3.04,65.87,225.06,2.45,1052.79,-952.79,-1147.24,21.87,-37.44,2013,12,0
(주)ES큐브,50120,2014-12-01,2002-04-25,,  도매 및 상품 중개업,5,-24.13,5.59,18.41,20.1,0.17,20.49,0.0,-2.89,21.42,-1.38,1.57,-1.19,1.15,13.0,1218.29,0.86,0.97,4.64,7.2,13.48,41.31,8.83,50.69,27.07,0.01,0.0,0.94,1.05,1.23,769.89,668.53,425.42,14.07,71.03,228.93,20.95,81.63,87.66,5773.0,10.2,251.09,857.87,12.98,82.73,17.27,-10.66,19.86,22.2,2014,12,0
(주)ES큐브,50120,2015-12-01,2002-04-25,,  도매 및 상품 중개업,5,-5.19,-14.4,38.88,-1.75,1.85,-10.89,37.29,11.49,27.8,-5.47,-6.22,-4.11,1.56,18.0,1155.09,0.75,0.85,3.39,6.55,14.27,35.54,10.27,55.71,25.57,0.01,0.0,0.85,0.96,1.13,765.67,639.55,492.89,12.01,64.37,233.16,29.08,74.04,89.27,2670.29,4.8,135.68,575.47,6.33,197.05,-97.05,-86.4,19.76,-11.86,2015,12,0
(주)ES큐브,50120,2016-12-01,2002-04-25,,  도매 및 상품 중개업,5,-18.65,258.91,275.9,89.08,68.52,23.57,3206.73,9.8,28.68,62.82,3.25,26.79,38.07,546.0,861.65,0.43,0.57,1.0,4.82,13.3,31.4,11.62,75.74,27.45,0.01,0.0,0.68,0.74,0.88,1493.9,1275.25,918.41,46.68,45.15,344.51,75.71,48.39,68.18,26875.03,25.56,380.46,11735.41,78.38,16.17,83.83,80.15,7.59,8.98,2016,12,0
(주)ES큐브,50120,2017-12-01,2002-04-25,,  도매 및 상품 중개업,5,4.25,64.55,1.06,0.69,1.56,0.3,-92.01,12.07,27.1,4.86,2.53,1.65,2.41,21.0,429.41,0.34,0.49,0.66,4.53,13.8,31.59,11.55,80.64,26.45,0.01,0.0,0.66,0.7,0.83,1378.49,1153.05,654.97,45.42,44.7,174.95,75.33,48.2,68.77,7493.34,7.08,64.47,1606.97,20.96,55.49,44.51,23.19,3.83,2.86,2017,12,0
(주)ES큐브,50120,2018-12-01,2002-04-25,,  도매 및 상품 중개업,5,-5.55,30.79,22.82,6.17,-6.15,-11.71,-325.15,10.67,22.89,-18.13,-0.46,-5.61,-5.54,-47.0,405.6,0.31,0.47,0.55,3.84,11.85,31.55,11.57,95.04,30.79,0.01,0.0,0.49,0.7,0.86,119.8,95.25,71.07,58.92,6.62,164.19,95.22,40.08,62.93,1165.56,1.04,7.67,278.71,3.45,390.13,-290.13,-525.2,2.52,-0.82,2018,12,0
(주)ES큐브,50120,2019-12-01,2002-04-25,,  도매 및 상품 중개업,5,29.45,14.02,55.75,312.66,-18.89,696.75,244.07,-17.2,18.75,-31.5,-0.68,-4.78,-21.76,-166.0,512.29,0.15,0.6,0.51,5.18,0.42,45.77,7.97,70.5,875.4,0.0,0.0,0.13,0.22,0.23,156.01,152.69,48.38,526.65,27.78,129.45,141.72,77.38,15.96,-557.97,-0.12,-3.22,-148.46,-1.28,0.0,0.0,0.0,2.69,-0.68,2019,12,0
(주)ES큐브,50120,2020-12-01,2002-04-25,,  도매 및 상품 중개업,5,84.57,69.21,274.24,54.08,25.23,-10.26,82.61,23.11,29.93,-31.35,1.76,-4.29,-39.39,-2337.0,968.5,0.14,1.12,0.32,9.46,0.39,35.38,10.32,38.6,946.09,0.0,0.0,0.11,0.24,0.24,61.5,59.7,2.11,928.65,-28.21,100.46,565.03,45.07,9.72,3768.25,0.53,13.0,1164.79,4.67,212.62,-112.62,-671.19,3.46,3.09,2020,12,0
(주)가비아,79940,2011-12-01,2005-10-19,,  출판업,5,30.07,11.47,22.02,22.76,20.26,23.7,9.94,-53.95,44.79,13.28,14.9,11.9,18.06,372.0,4148.88,0.9,1.23,1.61,2306.01,12.66,111.27,3.28,0.16,28.83,0.04,0.0,1.41,2.03,2.03,207.38,207.27,86.37,33.47,22.99,432.15,74.21,44.4,74.92,25788.11,39.7,116.43,1336.55,48.81,47.92,52.08,27.2,2.51,22.28,2011,12,0
