,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
42,(주)강스템바이오텍,217730,2019/12,-34.48678047,106.2027826,-86.11505935,140.630773,13.09438593,44.42465659,55.26364053,80.49628733
43,(주)강스템바이오텍,217730,2020/12,52.18203293,2.122287323,33.20883056,-35.16906033,-19.23454687,-29.22087929,-27.40003258,-25.01867292
44,(주)강원에너지,114190,2010/11,235.0803215,10000,10000,10000,10000,10000,10000,10000
45,(주)강원에너지,114190,2011/11,64.02365593,23.54974177,439.8566766,14.38313217,102.8807851,27.16056251,87.31913556,235.202815
46,(주)강원에너지,114190,2012/12,111.9973776,12.88522795,-4.532229556,51.99076228,67.86152941,47.36466589,66.15740553,55.95123303
47,(주)강원에너지,114190,2013/12,-52.41844523,8.401544968,-45.20742372,24.16044226,-23.52431395,27.05562185,-18.84070426,-56.29632197
48,(주)강원에너지,114190,2014/12,1.619919709,108.965006,-16.77396695,67.54002832,-20.72170179,9.957757843,-7.459407187,-71.36322194
49,(주)강원에너지,114190,2015/12,-10.2807327,28.42589097,-28.95430906,23.54105751,28.94763664,12.16840173,27.47682984,-91.34361473
50,(주)강원에너지,114190,2016/12,-8.446208793,15.13261798,-72.83466194,4.173094188,-14.63758833,-2.642467157,-9.678325673,10000
51,(주)강원에너지,114190,2017/12,93.99321638,4.056291559,7.804426943,6.990558694,26.71828734,-12.31773709,20.71964144,486.0482273
52,(주)강원에너지,114190,2018/12,4.718161843,-4.030140981,50.46045459,-7.256297874,3.655599709,3.934945255,0.714945624,10000
53,(주)강원에너지,114190,2019/12,-50.4691913,-29.67697452,-78.15414437,11.88974756,-56.70968312,-57.92231837,-39.68595494,10000
54,(주)강원에너지,114190,2020/12,-9.881300473,-35.50941486,85.02155172,-55.95904356,-29.63477687,-19.06888836,-41.75364951,-62.36870644
55,(주)경윤하이드로에너지,19120,2010/12,-79.82634891,10000,10000,10000,10000,10000,10000,10000
56,(주)고려시멘트,198440,2014/12,-99.87072788,10000,10000,10000,10000,10000,10000,10000
57,(주)고려시멘트,198440,2015/12,0,10000,10000,10000,10000,10000,10000,10000
58,(주)고려시멘트,198440,2016/12,0,10000,10000,10000,10000,10000,10000,10000
59,(주)고려시멘트,198440,2017/12,876502.76,10000,10000,10000,10000,10000,10000,10000
60,(주)고려시멘트,198440,2018/12,-2.149836946,1.827352205,27.41928461,0.313981346,29.60952392,11.77977786,10.05786164,362.8461357
61,(주)고려시멘트,198440,2019/12,-17.31718659,4.844234147,63.61586778,3.690042085,-6.734119724,2.236035706,-0.393031557,-26.89324645
62,(주)고려시멘트,198440,2020/12,-1.042091709,-0.941798411,-49.84748351,-4.501114995,-17.33619393,4.428446221,-9.208480525,30.87817729
