회사명,,,회사명,,중복
글로벌스탠다드테크놀로지,,,로보스타,,9
글로벌스탠다드테크놀로지,,,로보티즈,,2
글로벌스탠다드테크놀로지,,,로지시스,,5
글로벌스탠다드테크놀로지,,,루멘스,,10
금오하이텍,,,루트로닉,,10
금오하이텍,,,룩손에너지홀딩스,,2
금오하이텍,,,룽투코리아,,10
금화피에스시,,,리노스,,10
금화피에스시,,,리더스코스메틱,,10
금화피에스시,,,리드,,4
금화피에스시,,,리드코프,,10
금화피에스시,,,리메드,,1
금화피에스시,,,링네트,,10
금화피에스시,,,링크제니시스,,2
금화피에스시,,,마니커에프앤지,,1
금화피에스시,,,마이스코,,2
금화피에스시,,,마이크로디지탈,,1
기가레인,,,마이크로컨텍솔루션,,10
기가레인,,,마이크로프랜드,,4
기가레인,,,마크로젠,,10
기가레인,,,매직마이크로,,5
기가레인,,,매커스,,10
기가레인,,,머큐리,,2
기가레인,,,멀티캠퍼스,,10
기산텔레콤,,,메드팩토,,1
기산텔레콤,,,메디아나,,6
기산텔레콤,,,메디콕스,,10
기산텔레콤,,,메디톡스,,10
기산텔레콤,,,메디프론디비티,,10
기산텔레콤,,,메지온,,8
기산텔레콤,,,메카로,,3
기산텔레콤,,,메타바이오메드,,10
기산텔레콤,,,멕아이씨에스,,5
기산텔레콤,,,멜파스,,10
까스텔바작,,,모다,,7
나노,,,모다이노칩,,10
나노,,,모두투어네트워크,,10
나노,,,모린스,,3
나노,,,모바일리더,,10
나노,,,모베이스,,10
나노,,,모베이스전자,,10
나노브릭,,,모비스,,4
나노신소재,,,모헨즈,,10
나노신소재,,,미래생명자원,,4
나노신소재,,,미래자원엠엘,,1
나노신소재,,,미래컴퍼니,,10
나노신소재,,,미성포리테크,,1
나노신소재,,,미코,,10
나노신소재,,,미투온,,4
나노신소재,,,바른손,,10
나노신소재,,,바른손이앤에이,,10
나노엔텍,,,바른전자,,10
나노엔텍,,,바이넥스,,10
나노엔텍,,,바이오니아,,10
나노엔텍,,,바이오로그디바이스,,6
나노엔텍,,,바이오빌,,9
나노엔텍,,,바이오솔루션,,2
나노엔텍,,,바이오스마트,,10
나노엔텍,,,바이오톡스텍,,10
나노엔텍,,,바텍,,10
나노엔텍,,,배럴,,2
나노트로닉스,,,백금티앤에이,,10
나노트로닉스,,,버킷스튜디오,,10
나무가,,,베노홀딩스,,6
나무가,,,베셀,,5
나무가,,,베스파,,2
나무가,,,보광산업,,5
나무가,,,보광티에스,,1
나스미디어,,,보라티알,,3
나스미디어,,,본느,,4
나스미디어,,,부-스타,,9
나스미디어,,,부방,,10
나스미디어,,,뷰웍스,,10
나스미디어,,,브리지텍,,10
나스미디어,,,브이원텍,,3
나이벡,,,브이티지엠피,,10
나이벡,,,블루베리엔에프티,,10
나이벡,,,블루젬디앤씨,,1
나이벡,,,블루콤,,9
나이벡,,,비덴트,,9
나이벡,,,비보존헬스케어,,10
나이벡,,,비씨월드제약,,6
나이벡,,,비아트론,,8
나이벡,,,비앤비성원,,1
나이스디앤비,,,비앤에스미디어,,3
나이스디앤비,,,비에이치,,10
나이스디앤비,,,비엔씨컴퍼니,,6
나이스디앤비,,,비엔에프코퍼레이션,,1
나이스디앤비,,,비엔지티,,10
나이스디앤비,,,비엘,,4
나이스디앤비,,,비엘팜텍,,10
나이스디앤비,,,비엠티,,10
나이스디앤비,,,비올,,1
나이코,,,비즈니스온커뮤니케이션,,3
나인테크,,,비츠로셀,,10
내츄럴엔도텍,,,비츠로시스,,10
내츄럴엔도텍,,,비츠로테크,,10
내츄럴엔도텍,,,비케이홀딩스,,10
내츄럴엔도텍,,,비트컴퓨터,,10
내츄럴엔도텍,,,비피도,,2
내츄럴엔도텍,,,빅솔론,,10
내츄럴엔도텍,,,빅텍,,10
네오리진,,,사람인에이치알,,8
네오리진,,,삼기,,9
네오리진,,,삼보판지,,10
네오리진,,,삼양옵틱스,,3
네오리진,,,삼우이엠씨,,2
네오리진,,,삼일,,10
네오리진,,,삼일기업공사,,10
네오리진,,,삼진,,10
네오리진,,,삼진엘앤디,,10
네오리진,,,삼표시멘트,,10
네오셈,,,삼화네트웍스,,10
네오셈,,,상보,,10
네오오토,,,상상인,,10
네오오토,,,상상인인더스트리,,10
네오오토,,,상아프론테크,,9
네오오토,,,상지카일룸,,10
네오오토,,,새로닉스,,10
네오위즈,,,서린바이오사이언스,,10
네오위즈,,,서부티엔디,,10
네오위즈,,,서산,,10
네오위즈,,,서연탑메탈,,9
네오위즈,,,서울리거,,10
네오위즈,,,서울옥션,,10
네오위즈,,,서울제약,,10
네오위즈,,,서원인텍,,10
네오위즈,,,서전기전,,6
네오위즈,,,서진시스템,,3
네오위즈홀딩스,,,서진오토모티브,,9
네오위즈홀딩스,,,서플러스글로벌,,3
네오위즈홀딩스,,,서한,,10
네오위즈홀딩스,,,서희건설,,10
네오위즈홀딩스,,,선광,,10
네오위즈홀딩스,,,선익시스템,,3
네오위즈홀딩스,,,성광벤드,,10
네오위즈홀딩스,,,성도이엔지,,10
네오위즈홀딩스,,,성우하이텍,,10
네오위즈홀딩스,,,성창오토텍,,10
네오크레마,,,세경하이테크,,1
네오티스,,,세기리텍,,1
네오티스,,,세동,,10
네오티스,,,세보엠이씨,,10
네오티스,,,세운메디칼,,10
네오티스,,,세원물산,,10
네오티스,,,세종메디칼,,2
네오티스,,,세중,,10
네오티스,,,세진티에스,,10
네오티스,,,세코닉스,,10
네오티스,,,세토피아,,5
네오팜,,,세화피앤씨,,7
네오팜,,,셀루메드,,10
네오팜,,,셀리드,,2
네오팜,,,셀리버리,,2
네오팜,,,셀바스에이아이,,10
네오팜,,,셀바스헬스케어,,5
네오팜,,,셀트리온,,6
네오팜,,,셀트리온제약,,10
네오팜,,,셀트리온헬스케어,,3
네오팜,,,셀피글로벌,,10
네오퍼플,,,소프트센,,10
네오퍼플,,,손오공,,10
네오펙트,,,솔고바이오메디칼,,10
네오펙트,,,솔루에타,,7
네온테크,,,솔본,,10
네이블커뮤니케이션즈,,,쇼박스,,10
네이블커뮤니케이션즈,,,수산아이앤티,,4
네이블커뮤니케이션즈,,,수젠텍,,1
네이블커뮤니케이션즈,,,슈프리마,,4
네이블커뮤니케이션즈,,,슈프리마아이디,,1
네이블커뮤니케이션즈,,,슈프리마에이치큐,,10
네이블커뮤니케이션즈,,,슈피겐코리아,,6
네이블커뮤니케이션즈,,,스마트솔루션즈,,9
네이처셀,,,스맥,,10
네이처셀,,,스카이문스테크놀로지,,10
네이처셀,,,스킨앤스킨,,8
네이처셀,,,스타플렉스,,10
네이처셀,,,스튜디오산타클로스엔터테인먼트,,6
네이처셀,,,스틸플라워,,7
네이처셀,,,스페이스솔루션,,1
네이처셀,,,스페코,,10
네이처셀,,,승일,,10
네이처셀,,,승화프리텍,,4
네패스,,,시공테크,,10
네패스,,,시냅스엠,,1
네패스,,,시너지이노베이션,,10
네패스,,,시노펙스,,10
네패스,,,시노펙스그린테크,,1
네패스,,,시스웍,,3
네패스,,,시큐브,,9
네패스,,,시티랩스,,9
네패스,,,신진에스엠,,9
네패스,,,신테카바이오,,1
넥스지,,,신화콘텍,,6
넥스지,,,실리콘화일,,3
넥스지,,,심텍,,5
넥스지,,,심텍홀딩스,,10
넥스지,,,심팩메탈,,7
넥스지,,,싸이맥스,,5
넥스지,,,싸이토젠,,2
넥스턴바이오사이언스,,,썬코어,,6
넥스턴바이오사이언스,,,썬테크놀로지스,,8
넥스턴바이오사이언스,,,썸에이지,,5
넥스턴바이오사이언스,,,쎄노텍,,5
넥스턴바이오사이언스,,,쎄니트,,10
넥스턴바이오사이언스,,,쎄트렉아이,,10
넥스턴바이오사이언스,,,쎌바이오텍,,10
넥스턴바이오사이언스,,,쏠리드,,10
넥스턴바이오사이언스,,,씨그널엔터테인먼트그룹,,6
넥스턴바이오사이언스,,,씨씨에스충북방송,,10
넥스트아이,,,씨앤에스자산관리,,7
넥스트아이,,,씨앤케이인터내셔널,,4
넥스트아이,,,씨에스,,10
넥스트아이,,,씨에스에이코스믹,,10
넥스트아이,,,씨엔플러스,,9
넥스트아이,,,씨엘인터내셔널,,5
넥스트아이,,,씨유메디칼시스템,,9
넥스트아이,,,씨유전자,,3
넥스트아이,,,씨제이이엔엠,,10
넥스트엔터테인먼트월드,,,씨젠,,10
넥스트엔터테인먼트월드,,,씨티네트웍스,,6
넥스트엔터테인먼트월드,,,씨티씨바이오,,10
넥스트엔터테인먼트월드,,,씨티앤티,,1
넥스트엔터테인먼트월드,,,씨티케이,,3
넥스트엔터테인먼트월드,,,아가방앤컴퍼니,,10
넥슨게임즈,,,아나패스,,10
넥슨게임즈,,,아난티,,10
넥슨게임즈,,,아라온테크,,3
넥슨게임즈,,,아리온테크놀로지,,10
넵튠,,,아모그린텍,,4
넵튠,,,아모텍,,10
넵튠,,,아미노로직스,,10
넵튠,,,아바코,,10
넵튠,,,아바텍,,8
넷웨이브,,,아스타,,3
노랑풍선,,,아스트,,6
노바렉스,,,아시아경제,,5
