[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
78.7,46.97,54.46,2.15,15.36,4.89,57.32,10.28,0.0,2011,0
71.26,50.87,29.38,35.51,5.69,9.46,57.35,17.0,34.16,2014,0
67.37,49.44,32.34,20.04,5.08,15.16,44.57,22.78,23.83,2015,0
62.59,45.8,32.71,22.15,5.53,14.9,46.38,20.49,35.47,2016,0
47.21,5.96,45.89,13.04,14.39,2.98,55.28,5.9,28.71,2011,0
51.02,-3.18,55.48,10.0,5.17,4.61,63.84,18.66,18.79,2014,0
49.99,1.2,57.98,10.77,4.32,2.38,68.41,9.74,12.43,2016,0
43.39,32.43,7.18,4.96,4.96,17.18,47.53,9.42,-12.91,2014,0
65.84,19.56,59.75,16.86,2.92,3.01,61.04,7.94,32.71,2012,0
41.07,33.42,21.41,-0.39,21.77,3.7,57.58,3.19,-15.74,2015,0
53.72,43.31,5.49,10.34,7.5,14.95,45.47,15.81,25.81,2014,0
79.26,57.15,70.78,18.95,2.93,15.5,54.76,21.11,18.77,2012,0
82.33,61.09,88.24,9.9,2.55,9.5,67.4,10.26,36.77,2014,0
65.86,53.57,17.98,6.38,14.96,9.78,49.86,14.05,72.31,2016,0
38.2,24.52,38.96,6.04,2.85,15.28,55.64,9.8,3.76,2015,0
21.08,-15.98,37.8,-7.64,10.69,14.55,35.63,19.08,0.0,2012,0
21.22,-16.29,36.89,-7.1,7.53,-2.84,62.6,-3.97,-4.66,2013,0
41.88,15.42,66.38,1.34,3.37,-1.29,95.06,-1.51,-31.33,2013,0
20.79,-15.07,16.98,7.93,7.96,4.12,41.62,11.7,-14.5,2016,0
22.41,-3.64,20.86,2.32,4.59,5.39,36.2,5.95,-12.61,2012,0
18.69,-2.89,14.89,6.06,5.66,5.08,40.99,4.5,-12.74,2014,0
19.27,-29.14,50.88,25.0,5.63,1.74,66.78,5.7,-0.57,2011,0
21.57,-24.9,58.15,19.22,5.83,0.24,64.81,0.75,4.14,2012,0
24.89,-22.06,58.65,4.28,6.44,5.2,52.76,16.12,0.76,2013,0
20.15,-12.43,21.26,-5.41,4.34,-10.52,50.94,-13.44,12.93,2012,0
17.77,0.73,19.54,3.28,7.23,-0.75,59.95,-0.69,-10.08,2018,0
58.9,46.5,22.44,10.2,4.74,8.34,40.61,11.22,32.62,2011,0
66.4,44.79,19.63,29.31,4.46,9.01,36.12,14.12,15.96,2012,0
62.44,40.44,31.48,8.87,3.58,4.23,66.21,4.15,53.67,2015,0
54.19,37.74,32.78,0.55,4.58,9.26,49.71,8.67,51.71,2016,0
44.98,26.77,37.1,6.87,5.27,5.32,61.7,4.12,36.59,2017,0
