[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
73.16,1.31,34.14,37.24,8.94,-11.93,9.26,19.53,53.89,2018,0
82.36,0.59,10.76,4.21,5.63,89.21,18.17,10.16,47.88,2016,0
30.67,1.0,5.73,22.18,5.69,67.6,-13.96,-7.28,9.39,2015,0
31.12,1.15,5.73,25.06,6.53,15.37,5.95,4.53,41.78,2018,0
84.09,1.33,1.72,7.6,20.08,130.04,8.77,11.42,61.29,2018,0
68.5,0.76,25.68,13.84,7.71,63.28,11.43,9.77,62.01,2018,0
58.71,1.25,30.99,25.63,4.7,72.42,6.5,8.61,43.42,2015,0
59.36,1.45,6.76,23.38,8.61,44.56,14.16,16.44,58.4,2013,0
53.72,1.35,5.49,18.96,7.5,25.64,14.95,15.81,54.53,2014,0
79.26,1.06,70.78,31.39,2.93,-6.66,15.5,21.11,45.24,2012,0
83.73,0.97,71.41,29.53,2.62,-0.58,14.66,19.3,45.49,2013,0
62.29,1.76,16.65,18.85,11.84,91.54,14.51,23.09,60.35,2014,0
67.59,0.7,34.91,21.27,2.7,53.89,10.48,8.54,45.06,2014,0
38.2,0.81,38.96,17.74,2.85,102.17,15.28,9.8,44.36,2015,0
36.82,1.02,45.51,30.52,2.67,24.21,14.18,9.17,46.49,2016,0
78.12,1.01,58.1,38.01,4.12,131.7,19.22,27.29,76.26,2012,0
81.49,0.73,55.86,28.28,26.08,5.46,12.08,11.73,66.77,2017,0
46.16,0.97,12.3,100.49,6.82,-8.95,-3.91,-9.51,7.9,2012,0
33.26,0.84,17.21,111.95,6.17,13.87,-7.95,-11.04,9.04,2013,0
34.79,1.33,24.09,30.88,9.61,8.0,11.95,10.97,43.2,2016,0
61.57,0.86,21.44,14.28,7.3,39.21,16.4,12.34,52.74,2016,0
54.1,1.5,36.45,98.57,5.46,-5.69,0.79,2.17,26.77,2013,0
52.19,0.86,33.86,100.52,4.38,-0.35,6.63,10.55,41.04,2018,0
66.33,0.86,30.46,45.28,4.01,6.86,9.86,10.12,50.78,2013,0
54.19,0.87,32.78,33.76,4.58,22.64,9.26,8.67,50.29,2016,0
44.98,0.93,37.1,34.54,5.27,28.37,5.32,4.12,38.3,2017,0
51.75,2.06,10.92,18.66,6.59,50.9,14.04,20.34,53.51,2012,0
36.28,1.15,11.84,7.29,6.43,77.36,-1.89,-1.05,7.5,2018,0
69.33,1.79,38.53,41.86,5.02,50.64,8.47,20.78,54.94,2011,0
84.06,1.3,29.28,29.07,6.12,28.54,-5.43,-12.64,51.52,2011,0
74.79,0.28,27.5,31.63,6.86,4.51,10.9,4.14,53.58,2012,0
62.11,2.43,25.58,34.92,8.37,-3.74,4.35,11.89,45.24,2011,0
61.6,1.8,34.04,37.77,12.33,2.31,5.39,11.86,50.52,2016,0
48.78,1.45,18.15,20.29,4.28,43.47,0.37,0.5,3.53,2015,0
71.89,1.12,51.56,29.7,13.7,66.99,7.9,10.75,49.51,2017,0
61.59,0.83,43.76,39.99,4.06,0.0,8.88,7.62,57.82,2011,0
54.99,0.81,33.02,22.42,3.67,4.03,15.1,10.01,62.04,2014,0
47.7,0.65,57.47,41.44,8.28,5.46,9.05,4.97,48.91,2015,0
31.7,0.53,67.78,33.03,6.53,26.78,4.95,2.07,40.51,2016,0
51.57,0.73,2.14,7.95,10.97,55.77,24.25,11.7,55.39,2018,0
49.57,0.99,33.01,100.53,4.72,-4.82,2.5,4.37,20.51,2014,0
29.42,1.0,0.34,18.86,3.29,62.78,4.95,3.46,15.01,2011,0
76.61,1.77,50.42,107.45,3.99,40.35,-0.76,-2.83,9.47,2016,0
64.46,0.39,3.62,4.21,4.24,149.14,31.79,9.25,60.14,2016,0
43.28,0.54,11.4,5.82,6.68,128.3,12.01,3.84,64.59,2016,0
81.13,0.92,43.44,11.42,12.5,17.11,0.74,0.75,-19.14,2011,0
52.09,1.13,18.49,20.72,13.3,69.32,5.87,5.2,44.34,2014,0
47.01,0.84,6.19,36.26,9.57,95.96,28.18,18.09,64.06,2012,0
